# histogram parameters 
# dx = 20.0
# dy = 0.08
# nx = 10
# ny = 15
# xmin = 0.0
# ymin = 0.0

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
13,1,1,10.000,0.040,11000.274,10109.570,7.126,890.703,890.704,1717896.394,1584.692,1793.557,1528.559,58.201,251.948,972.760,1509.525,240.473,0.536,9.051,22.238,14.462,72.642,0.294,-0.110,0.955,1.663E+01
25,1,2,10.000,0.120,11000.190,10072.305,7.653,927.885,927.885,1973924.455,1683.715,1826.566,1567.159,120.843,267.603,976.932,1549.928,231.760,1.067,8.504,22.251,14.027,60.004,0.149,-0.034,0.897,3.920E+01
37,1,3,10.000,0.200,10999.764,10050.498,8.143,949.269,949.266,2229055.304,1769.226,1840.938,1583.887,192.354,292.158,983.941,1569.472,213.201,1.666,7.736,21.755,13.720,46.865,0.388,-0.015,0.835,2.708E+01
49,1,4,10.000,0.280,10999.519,10042.218,8.585,957.298,957.301,2475538.830,1841.729,1836.179,1578.354,274.372,332.709,996.735,1567.133,187.864,2.483,6.836,20.921,14.311,34.378,0.647,-0.000,0.769,1.005E+01
61,1,5,10.000,0.360,10999.196,10050.102,8.867,949.091,949.094,2642045.111,1882.239,1808.149,1545.654,352.852,388.079,1016.558,1535.742,174.771,3.468,6.492,21.497,15.273,26.766,0.759,0.007,0.713,4.243E+00
73,1,6,10.000,0.440,10999.042,10071.736,9.015,927.312,927.305,2737070.307,1896.567,1757.396,1485.963,432.423,458.620,1045.522,1474.959,180.499,4.551,6.977,24.937,15.790,23.177,0.819,-0.010,0.664,1.305E+00
85,1,7,10.000,0.520,10998.734,10078.510,9.133,920.220,920.223,2810337.617,1912.367,1727.203,1450.130,487.129,509.109,1068.633,1438.226,185.424,5.205,7.346,27.776,15.677,21.359,0.829,-0.014,0.633,1.136E-01
14,2,1,30.000,0.040,10999.848,10135.994,6.968,863.855,863.854,1646850.003,1546.963,1766.223,1496.392,59.735,253.810,973.244,1476.397,243.804,1.176,9.377,22.785,31.128,73.858,0.159,-0.025,0.961,4.347E+01
26,2,2,30.000,0.120,11000.056,10101.528,7.431,898.516,898.528,1866533.919,1635.202,1797.311,1532.962,121.119,267.230,976.830,1514.323,238.328,2.301,8.944,22.939,30.672,63.106,0.266,-0.021,0.911,1.226E+02
38,2,3,30.000,0.200,10999.839,10098.360,7.786,901.457,901.479,2048276.263,1691.431,1793.211,1528.153,194.499,291.954,983.881,1510.837,229.396,3.707,8.633,23.489,30.520,51.788,0.434,-0.008,0.855,7.671E+01
50,2,4,30.000,0.280,10999.431,10088.989,8.170,910.436,910.441,2252484.435,1755.388,1790.551,1525.031,274.505,329.001,995.503,1509.314,218.379,5.135,8.233,23.985,29.877,41.588,0.504,-0.016,0.798,2.931E+01
62,2,5,30.000,0.360,10998.981,10073.083,8.499,925.904,925.898,2433406.983,1814.027,1786.959,1520.811,352.869,382.793,1014.552,1504.120,224.697,6.643,8.496,26.262,29.995,35.944,0.475,0.081,0.750,1.232E+01
74,2,6,30.000,0.440,10998.815,10057.249,8.737,941.527,941.566,2567500.911,1858.507,1773.431,1504.893,431.465,454.559,1043.747,1482.945,256.081,8.304,9.797,31.585,30.383,34.289,0.425,0.237,0.711,3.579E+00
86,2,7,30.000,0.520,10998.065,10048.945,8.873,949.108,949.120,2645267.898,1883.108,1757.728,1486.356,487.269,505.681,1067.004,1460.255,277.324,9.501,10.753,35.625,30.412,33.259,0.391,0.426,0.686,2.589E-01
15,3,1,50.000,0.040,11000.154,10126.114,6.900,874.041,874.040,1613691.027,1541.959,1776.604,1508.631,54.209,253.059,973.048,1488.226,247.288,1.587,9.434,22.597,50.664,77.741,-0.036,-0.064,0.978,5.478E+01
27,3,2,50.000,0.120,10999.979,10100.037,7.246,899.949,899.942,1774669.640,1607.659,1798.516,1534.375,120.496,267.993,977.039,1513.708,250.985,3.463,9.414,23.436,50.425,69.478,-0.011,-0.002,0.940,1.516E+02
39,3,3,50.000,0.200,10999.864,10095.122,7.486,904.743,904.741,1892748.157,1646.604,1796.029,1531.459,195.014,293.446,984.325,1509.337,259.362,5.646,9.750,25.123,50.694,62.110,0.138,-0.034,0.902,9.238E+01
51,3,4,50.000,0.280,10999.321,10079.743,7.740,919.566,919.578,2020390.655,1692.930,1799.193,1535.169,273.942,330.493,995.997,1510.260,275.422,7.919,10.335,27.524,50.671,56.446,0.166,0.076,0.866,3.840E+01
63,3,5,50.000,0.360,10998.962,10058.467,7.939,940.484,940.495,2120448.421,1733.488,1799.473,1535.497,353.459,388.281,1016.635,1503.319,312.704,10.235,11.750,31.919,50.658,53.645,0.152,0.436,0.837,1.490E+01
75,3,6,50.000,0.440,10998.537,10026.873,8.092,971.666,971.664,2195836.150,1771.995,1801.563,1537.945,433.469,459.057,1045.714,1493.940,365.265,12.620,13.739,37.490,50.937,52.720,0.111,0.828,0.817,5.471E+00
87,3,7,50.000,0.520,10998.387,10009.780,8.131,988.600,988.607,2213248.847,1786.223,1795.961,1531.379,487.305,508.325,1068.259,1477.229,403.629,14.355,15.282,41.454,51.294,52.564,0.080,0.983,0.808,5.469E-01
16,4,1,70.000,0.040,11000.297,10135.343,6.772,864.956,864.954,1555563.491,1517.797,1767.119,1497.449,61.091,254.591,973.448,1476.233,251.176,2.173,9.656,22.798,69.445,80.604,-0.255,-0.082,0.992,5.893E+01
28,4,2,70.000,0.120,11000.018,10090.128,7.045,909.899,909.890,1676127.375,1582.412,1808.440,1545.995,122.212,268.080,977.063,1523.706,261.573,4.257,9.741,23.446,70.318,77.351,-0.229,-0.015,0.977,1.955E+02
40,4,3,70.000,0.200,10999.863,10084.025,7.123,915.856,915.837,1712100.867,1597.141,1807.236,1544.587,194.224,293.074,984.214,1518.562,282.343,6.803,10.533,25.543,70.758,74.448,-0.094,0.049,0.964,1.366E+02
52,4,4,70.000,0.280,10999.369,10065.508,7.213,933.840,933.861,1752294.009,1619.997,1813.428,1551.826,274.281,330.641,996.046,1519.519,315.004,9.582,11.712,28.507,70.703,72.309,-0.058,0.305,0.953,5.619E+01
64,4,5,70.000,0.360,10998.964,10033.388,7.281,965.569,965.576,1779857.437,1646.874,1824.965,1565.293,354.065,387.203,1016.224,1521.796,366.445,12.275,13.539,32.765,70.453,71.154,-0.075,0.673,0.948,2.288E+01
