# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 11   | xlabel: Missing Momentum 
# xbin width = 0.100 
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.050,0.050,0.000,0.000
2,0.100,0.050,0.150,28.328,12.476
3,0.200,0.150,0.250,567.615,25.299
4,0.300,0.250,0.350,444.191,7.673
5,0.400,0.350,0.450,246.931,3.410
6,0.500,0.450,0.550,147.285,1.773
7,0.600,0.550,0.650,54.269,0.811
8,0.700,0.650,0.750,12.836,0.277
9,0.800,0.750,0.850,1.852,0.071
10,0.900,0.850,0.950,0.161,0.018
11,1.000,0.950,1.050,0.003,0.001
