# d2pol dilution factors (fieldON) 
# 
# Header Definitions: 
#        
# pm_bin      : missing momentum bin (GeV/c)
# thrq_bin    : neutron recoil angle bin (deg)# d2          : d(e ep) counts  
# d2_err       : d(e ep) counts absolute error  
# he4          : he4(e ep) counts  
# he4_err       : he4(e ep) counts absolute error  
# n14          : n14(e ep) counts  
# n14_err       : n14(e ep) counts absolute error  
# dilution       : dilution factor defined as N_D / (N_D + N_14 + N_He)
# dilution_err   : absolute error on dilution factor
thrq_bin,pm_bin,d2,d2_err,he4,he4_err,n14,n14_err,dilution,dilution_err
10.0, 0.040, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 0.120, 90.5, 9.513, 0.4, 0.645, 93.6, 9.673, 0.491, 0.037
10.0, 0.200, 387.6, 19.687, 7.6, 2.758, 422.5, 20.555, 0.474, 0.017
10.0, 0.280, 203.3, 14.259, 18.4, 4.287, 174.1, 13.195, 0.514, 0.025
10.0, 0.360, 73.3, 8.561, 14.1, 3.749, 23.0, 4.799, 0.664, 0.045
10.0, 0.440, 29.8, 5.458, 6.2, 2.495, 9.2, 3.029, 0.659, 0.071
10.0, 0.520, 10.2, 3.199, 0.8, 0.887, 1.2, 1.100, 0.837, 0.106
10.0, 0.600, 2.2, 1.468, nan, nan, 0.0, 0.044, nan, nan
10.0, 0.680, 0.1, 0.289, nan, nan, nan, nan, nan, nan
10.0, 0.760, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 0.840, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 0.920, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 1.000, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 1.080, nan, nan, nan, nan, nan, nan, nan, nan
10.0, 1.160, nan, nan, nan, nan, nan, nan, nan, nan
30.0, 0.040, nan, nan, nan, nan, nan, nan, nan, nan
30.0, 0.120, 2817.8, 53.083, 6.8, 2.608, 1038.7, 32.229, 0.729, 0.007
30.0, 0.200, 3328.9, 57.696, 81.7, 9.039, 3643.8, 60.364, 0.472, 0.006
30.0, 0.280, 929.0, 30.480, 88.1, 9.384, 760.1, 27.570, 0.523, 0.012
30.0, 0.360, 256.3, 16.009, 44.6, 6.680, 89.1, 9.440, 0.657, 0.024
30.0, 0.440, 88.9, 9.428, 16.5, 4.064, 26.7, 5.169, 0.673, 0.041
30.0, 0.520, 33.9, 5.822, 2.2, 1.480, 3.6, 1.889, 0.855, 0.056
30.0, 0.600, 11.8, 3.435, 0.0, 0.026, 0.0, 0.122, 0.999, 0.011
30.0, 0.680, 2.8, 1.674, nan, nan, nan, nan, nan, nan
30.0, 0.760, 0.3, 0.569, nan, nan, nan, nan, nan, nan
30.0, 0.840, 0.0, 0.092, nan, nan, nan, nan, nan, nan
30.0, 0.920, nan, nan, nan, nan, nan, nan, nan, nan
30.0, 1.000, nan, nan, nan, nan, nan, nan, nan, nan
30.0, 1.080, nan, nan, nan, nan, nan, nan, nan, nan
30.0, 1.160, nan, nan, nan, nan, nan, nan, nan, nan
50.0, 0.040, nan, nan, nan, nan, nan, nan, nan, nan
50.0, 0.120, 9323.8, 96.560, 29.7, 5.447, 3053.7, 55.260, 0.751, 0.004
50.0, 0.200, 7129.4, 84.436, 208.6, 14.442, 8942.7, 94.566, 0.438, 0.004
50.0, 0.280, 1630.7, 40.382, 172.4, 13.130, 1454.7, 38.140, 0.501, 0.009
50.0, 0.360, 503.3, 22.435, 80.1, 8.952, 158.7, 12.599, 0.678, 0.017
50.0, 0.440, 268.0, 16.371, 32.7, 5.716, 49.7, 7.053, 0.765, 0.023
50.0, 0.520, 159.4, 12.625, 5.0, 2.226, 7.8, 2.799, 0.926, 0.020
50.0, 0.600, 75.0, 8.659, 0.0, 0.032, 0.1, 0.225, 0.999, 0.003
50.0, 0.680, 20.2, 4.493, nan, nan, nan, nan, nan, nan
50.0, 0.760, 2.1, 1.445, nan, nan, nan, nan, nan, nan
50.0, 0.840, 0.0, 0.172, nan, nan, nan, nan, nan, nan
50.0, 0.920, nan, nan, nan, nan, nan, nan, nan, nan
50.0, 1.000, nan, nan, nan, nan, nan, nan, nan, nan
50.0, 1.080, nan, nan, nan, nan, nan, nan, nan, nan
50.0, 1.160, nan, nan, nan, nan, nan, nan, nan, nan
70.0, 0.040, nan, nan, nan, nan, nan, nan, nan, nan
70.0, 0.120, 5110.0, 71.485, 14.2, 3.773, 1871.6, 43.262, 0.730, 0.005
70.0, 0.200, 6778.8, 82.333, 241.6, 15.542, 10678.3, 103.336, 0.383, 0.004
70.0, 0.280, 1814.5, 42.597, 273.3, 16.531, 2194.3, 46.843, 0.424, 0.008
70.0, 0.360, 861.4, 29.349, 130.5, 11.425, 255.8, 15.995, 0.690, 0.013
70.0, 0.440, 481.1, 21.934, 44.3, 6.653, 66.8, 8.173, 0.812, 0.016
70.0, 0.520, 196.3, 14.011, 5.5, 2.349, 8.7, 2.957, 0.932, 0.017
70.0, 0.600, 50.8, 7.131, nan, nan, 0.0, 0.158, nan, nan
70.0, 0.680, 7.6, 2.755, nan, nan, nan, nan, nan, nan
70.0, 0.760, 0.4, 0.663, nan, nan, nan, nan, nan, nan
70.0, 0.840, 0.0, 0.065, nan, nan, nan, nan, nan, nan
70.0, 0.920, nan, nan, nan, nan, nan, nan, nan, nan
70.0, 1.000, nan, nan, nan, nan, nan, nan, nan, nan
70.0, 1.080, nan, nan, nan, nan, nan, nan, nan, nan
70.0, 1.160, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 0.040, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 0.120, 210.0, 14.491, nan, nan, 55.8, 7.468, nan, nan
90.0, 0.200, 1345.4, 36.679, 33.7, 5.809, 2225.5, 47.175, 0.373, 0.008
90.0, 0.280, 1014.4, 31.849, 116.8, 10.808, 1002.2, 31.657, 0.475, 0.011
90.0, 0.360, 558.5, 23.633, 84.0, 9.166, 144.4, 12.016, 0.710, 0.016
90.0, 0.440, 122.3, 11.061, 15.8, 3.970, 24.1, 4.909, 0.754, 0.034
90.0, 0.520, 5.7, 2.387, 0.5, 0.739, 0.9, 0.937, 0.800, 0.150
90.0, 0.600, 0.0, 0.116, nan, nan, nan, nan, nan, nan
90.0, 0.680, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 0.760, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 0.840, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 0.920, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 1.000, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 1.080, nan, nan, nan, nan, nan, nan, nan, nan
90.0, 1.160, nan, nan, nan, nan, nan, nan, nan, nan
