# d2pol dilution factors (fieldON) 
# 
# Header Definitions: 
#        
# pm_bin      : missing momentum bin (GeV/c)
# thrq_bin    : neutron recoil angle bin (deg)# d2          : d(e ep) counts  
# d2_err       : d(e ep) counts absolute error  
# he4          : he4(e ep) counts  
# he4_err       : he4(e ep) counts absolute error  
# n14          : n14(e ep) counts  
# n14_err       : n14(e ep) counts absolute error  
# dilution       : dilution factor defined as N_D / (N_D + N_14 + N_He)
# dilution_err   : absolute error on dilution factor
thrq_bin,pm_bin,d2,d2_err,he4,he4_err,n14,n14_err,dilution,dilution_err
10.0,0.040,23996.6,154.908,3.9,1.974,325.9,18.053,0.986,0.001
10.0,0.120,15524.2,124.596,33.2,5.764,3327.9,57.688,0.822,0.003
10.0,0.200,2117.0,46.011,51.5,7.175,2270.1,47.645,0.477,0.007
10.0,0.280,309.6,17.597,29.0,5.383,274.2,16.558,0.505,0.020
10.0,0.360,66.7,8.167,13.1,3.616,22.3,4.722,0.653,0.047
10.0,0.440,21.9,4.679,4.8,2.189,7.1,2.659,0.648,0.082
10.0,0.520,7.2,2.680,0.5,0.729,0.8,0.878,0.846,0.124
10.0,0.600,1.6,1.266,0.0,0.017,0.0,0.013,1.000,0.014
10.0,0.680,0.1,0.285,nan,nan,0.0,0.016,nan,nan
10.0,0.760,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.840,nan,nan,nan,nan,nan,nan,nan,nan
10.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
10.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
30.0,0.040,55364.4,235.296,6.4,2.529,908.5,30.141,0.984,0.001
30.0,0.120,37740.7,194.270,80.4,8.967,7373.8,85.871,0.835,0.002
30.0,0.200,3565.4,59.711,83.0,9.110,3885.3,62.332,0.473,0.006
30.0,0.280,444.8,21.089,45.0,6.708,421.4,20.527,0.488,0.017
30.0,0.360,95.6,9.780,18.0,4.239,31.6,5.617,0.659,0.039
30.0,0.440,28.9,5.380,6.4,2.533,9.5,3.076,0.646,0.071
30.0,0.520,10.2,3.190,0.8,0.881,1.2,1.080,0.840,0.105
30.0,0.600,3.2,1.784,0.0,0.036,0.0,0.065,0.998,0.023
30.0,0.680,0.7,0.838,nan,nan,0.0,0.034,nan,nan
30.0,0.760,0.1,0.249,nan,nan,nan,nan,nan,nan
30.0,0.840,0.0,0.065,nan,nan,nan,nan,nan,nan
30.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
30.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
50.0,0.040,76036.6,275.747,9.7,3.110,1221.8,34.955,0.984,0.000
50.0,0.120,53945.4,232.261,98.4,9.917,9166.7,95.743,0.853,0.001
50.0,0.200,4345.0,65.916,130.7,11.431,4974.8,70.532,0.460,0.005
50.0,0.280,584.7,24.180,66.7,8.168,587.4,24.237,0.472,0.014
50.0,0.360,153.1,12.375,26.5,5.145,48.8,6.986,0.670,0.031
50.0,0.440,71.7,8.465,8.9,2.986,13.5,3.679,0.761,0.044
50.0,0.520,36.6,6.053,1.3,1.161,2.0,1.424,0.916,0.044
50.0,0.600,11.1,3.331,0.0,0.112,0.0,0.119,0.998,0.015
50.0,0.680,1.1,1.061,nan,nan,nan,nan,nan,nan
50.0,0.760,0.0,0.195,nan,nan,nan,nan,nan,nan
50.0,0.840,nan,nan,nan,nan,nan,nan,nan,nan
50.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
50.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
50.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
50.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
70.0,0.040,74746.5,273.398,4.4,2.100,805.5,28.381,0.989,0.000
70.0,0.120,55006.2,234.534,104.6,10.227,10576.2,102.841,0.837,0.001
70.0,0.200,4298.1,65.560,148.5,12.188,5980.5,77.333,0.412,0.005
70.0,0.280,518.3,22.766,76.0,8.717,659.3,25.676,0.413,0.014
70.0,0.360,168.4,12.977,25.4,5.045,49.1,7.007,0.693,0.030
70.0,0.440,71.0,8.423,6.3,2.509,9.2,3.037,0.820,0.041
70.0,0.520,18.9,4.351,0.7,0.837,0.9,0.974,0.920,0.060
70.0,0.600,2.2,1.484,nan,nan,nan,nan,nan,nan
70.0,0.680,0.0,0.162,nan,nan,nan,nan,nan,nan
70.0,0.760,nan,nan,nan,nan,nan,nan,nan,nan
70.0,0.840,nan,nan,nan,nan,nan,nan,nan,nan
70.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
70.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
70.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
70.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.040,44037.4,209.851,2.6,1.621,358.9,18.945,0.992,0.000
90.0,0.120,40301.7,200.753,79.6,8.923,8204.8,90.581,0.829,0.002
90.0,0.200,4111.8,64.124,145.4,12.059,5503.1,74.183,0.421,0.005
90.0,0.280,342.1,18.495,37.4,6.116,358.7,18.939,0.463,0.018
90.0,0.360,31.2,5.584,4.4,2.095,7.7,2.777,0.720,0.068
90.0,0.440,1.0,1.010,0.1,0.374,0.1,0.353,0.794,0.357
90.0,0.520,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.600,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.680,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.760,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.840,nan,nan,nan,nan,nan,nan,nan,nan
90.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
90.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
90.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
90.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.040,14573.2,120.720,nan,nan,84.0,9.166,nan,nan
110.0,0.120,13094.8,114.433,21.6,4.648,2197.9,46.881,0.855,0.003
110.0,0.200,1725.3,41.537,23.6,4.856,1867.9,43.220,0.477,0.008
110.0,0.280,11.1,3.336,1.2,1.107,37.1,6.092,0.225,0.059
110.0,0.360,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.440,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.520,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.600,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.680,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.760,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.840,nan,nan,nan,nan,nan,nan,nan,nan
110.0,0.920,nan,nan,nan,nan,nan,nan,nan,nan
110.0,1.000,nan,nan,nan,nan,nan,nan,nan,nan
110.0,1.080,nan,nan,nan,nan,nan,nan,nan,nan
110.0,1.160,nan,nan,nan,nan,nan,nan,nan,nan
