# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss}   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,0.000,0.000
4,0.120,0.100,0.140,0.000,0.000
5,0.160,0.140,0.180,574.417,192.986
6,0.200,0.180,0.220,4338.705,351.627
7,0.240,0.220,0.260,9569.950,335.351
8,0.280,0.260,0.300,11481.132,241.821
9,0.320,0.300,0.340,10428.524,167.462
10,0.360,0.340,0.380,9734.540,133.752
11,0.400,0.380,0.420,9750.025,121.719
12,0.440,0.420,0.460,9076.708,109.775
13,0.480,0.460,0.500,8499.773,98.027
14,0.520,0.500,0.540,7285.369,81.559
15,0.560,0.540,0.580,6283.187,67.212
16,0.600,0.580,0.620,4899.182,51.472
17,0.640,0.620,0.660,3631.374,37.739
18,0.680,0.660,0.700,2570.250,26.729
19,0.720,0.700,0.740,1770.807,18.411
20,0.760,0.740,0.780,1160.614,12.256
21,0.800,0.780,0.820,730.570,7.867
22,0.840,0.820,0.860,457.182,5.012
23,0.880,0.860,0.900,265.818,3.042
24,0.920,0.900,0.940,150.279,1.805
25,0.960,0.940,0.980,81.329,1.037
26,1.000,0.980,1.020,42.691,0.584
27,1.040,1.020,1.060,20.109,0.309
28,1.080,1.060,1.100,9.713,0.161
29,1.120,1.100,1.140,3.948,0.076
30,1.160,1.140,1.180,1.596,0.037
31,1.200,1.180,1.220,0.406,0.016
32,1.240,1.220,1.260,0.062,0.005
33,1.280,1.260,1.300,0.008,0.002
34,1.320,1.300,1.340,0.000,0.000
35,1.360,1.340,1.380,0.000,0.000
36,1.400,1.380,1.420,0.000,0.000
37,1.440,1.420,1.460,0.000,0.000
38,1.480,1.460,1.500,0.000,0.000
39,1.520,1.500,1.540,0.000,0.000
40,1.560,1.540,1.580,0.000,0.000
