# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.003,0.002
3,-0.055,-0.056,-0.054,0.018,0.005
4,-0.053,-0.054,-0.052,0.063,0.009
5,-0.051,-0.052,-0.050,0.206,0.018
6,-0.049,-0.050,-0.048,0.535,0.037
7,-0.047,-0.048,-0.046,1.122,0.062
8,-0.045,-0.046,-0.044,2.151,0.095
9,-0.043,-0.044,-0.042,3.845,0.152
10,-0.041,-0.042,-0.040,7.117,0.267
11,-0.039,-0.040,-0.038,11.086,0.357
12,-0.037,-0.038,-0.036,16.078,0.503
13,-0.035,-0.036,-0.034,23.105,0.702
14,-0.033,-0.034,-0.032,31.884,0.896
15,-0.031,-0.032,-0.030,42.801,1.120
16,-0.029,-0.030,-0.028,54.755,1.379
17,-0.027,-0.028,-0.026,72.958,1.791
18,-0.025,-0.026,-0.024,92.216,2.195
19,-0.023,-0.024,-0.022,114.091,2.635
20,-0.021,-0.022,-0.020,139.612,3.143
21,-0.019,-0.020,-0.018,160.329,3.575
22,-0.017,-0.018,-0.016,190.941,4.123
23,-0.015,-0.016,-0.014,220.699,4.728
24,-0.013,-0.014,-0.012,242.126,5.208
25,-0.011,-0.012,-0.010,277.975,5.817
26,-0.009,-0.010,-0.008,296.393,6.154
27,-0.007,-0.008,-0.006,319.981,6.741
28,-0.005,-0.006,-0.004,358.792,7.524
29,-0.003,-0.004,-0.002,383.013,7.891
30,-0.001,-0.002,0.000,395.769,8.500
31,0.001,0.000,0.002,416.914,8.808
32,0.003,0.002,0.004,443.022,9.314
33,0.005,0.004,0.006,428.145,9.019
34,0.007,0.006,0.008,437.132,9.366
35,0.009,0.008,0.010,445.356,9.593
36,0.011,0.010,0.012,432.964,9.683
37,0.013,0.012,0.014,412.457,9.206
38,0.015,0.014,0.016,396.030,9.086
39,0.017,0.016,0.018,379.476,8.553
40,0.019,0.018,0.020,351.871,8.451
41,0.021,0.020,0.022,313.067,7.723
42,0.023,0.022,0.024,270.855,6.899
43,0.025,0.024,0.026,247.807,6.498
44,0.027,0.026,0.028,233.571,6.344
45,0.029,0.028,0.030,172.766,5.142
46,0.031,0.030,0.032,150.962,4.669
47,0.033,0.032,0.034,110.181,3.884
48,0.035,0.034,0.036,74.309,3.333
49,0.037,0.036,0.038,38.472,2.162
50,0.039,0.038,0.040,13.447,1.269
51,0.041,0.040,0.042,3.275,0.639
52,0.043,0.042,0.044,0.122,0.122
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
