# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle w.r.t +z(lab), $\theta_{q}$   
# xbins      : 100   
# xlabel     :  in-plane recoil angle, $\theta_{q}$   
# xbin_width : 0.600 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,10.300,10.000,10.600,0.000,0.000
2,10.900,10.600,11.200,0.000,0.000
3,11.500,11.200,11.800,0.000,0.000
4,12.100,11.800,12.400,0.000,0.000
5,12.700,12.400,13.000,0.000,0.000
6,13.300,13.000,13.600,0.000,0.000
7,13.900,13.600,14.200,0.000,0.000
8,14.500,14.200,14.800,0.000,0.000
9,15.100,14.800,15.400,0.000,0.000
10,15.700,15.400,16.000,0.000,0.000
11,16.300,16.000,16.600,0.000,0.000
12,16.900,16.600,17.200,0.000,0.000
13,17.500,17.200,17.800,0.000,0.000
14,18.100,17.800,18.400,0.000,0.000
15,18.700,18.400,19.000,0.000,0.000
16,19.300,19.000,19.600,0.000,0.000
17,19.900,19.600,20.200,0.000,0.000
18,20.500,20.200,20.800,0.000,0.000
19,21.100,20.800,21.400,0.000,0.000
20,21.700,21.400,22.000,0.000,0.000
21,22.300,22.000,22.600,0.000,0.000
22,22.900,22.600,23.200,0.000,0.000
23,23.500,23.200,23.800,0.000,0.000
24,24.100,23.800,24.400,0.000,0.000
25,24.700,24.400,25.000,0.000,0.000
26,25.300,25.000,25.600,0.000,0.000
27,25.900,25.600,26.200,0.000,0.000
28,26.500,26.200,26.800,0.000,0.000
29,27.100,26.800,27.400,0.000,0.000
30,27.700,27.400,28.000,0.000,0.000
31,28.300,28.000,28.600,0.000,0.000
32,28.900,28.600,29.200,0.000,0.000
33,29.500,29.200,29.800,0.000,0.000
34,30.100,29.800,30.400,0.000,0.000
35,30.700,30.400,31.000,0.000,0.000
36,31.300,31.000,31.600,0.002,0.001
37,31.900,31.600,32.200,0.017,0.004
38,32.500,32.200,32.800,0.138,0.014
39,33.100,32.800,33.400,0.746,0.040
40,33.700,33.400,34.000,3.087,0.096
41,34.300,34.000,34.600,8.931,0.196
42,34.900,34.600,35.200,21.630,0.373
43,35.500,35.200,35.800,42.021,0.648
44,36.100,35.800,36.400,75.507,1.111
45,36.700,36.400,37.000,119.177,1.687
46,37.300,37.000,37.600,175.177,2.428
47,37.900,37.600,38.200,235.089,3.300
48,38.500,38.200,38.800,304.756,4.255
49,39.100,38.800,39.400,388.460,5.352
50,39.700,39.400,40.000,459.278,6.347
51,40.300,40.000,40.600,540.940,7.367
52,40.900,40.600,41.200,623.354,8.650
53,41.500,41.200,41.800,710.325,9.781
54,42.100,41.800,42.400,807.724,11.175
55,42.700,42.400,43.000,878.126,12.472
56,43.300,43.000,43.600,933.013,13.530
57,43.900,43.600,44.200,951.806,14.536
58,44.500,44.200,44.800,884.885,14.943
59,45.100,44.800,45.400,661.621,13.306
60,45.700,45.400,46.000,327.810,9.670
61,46.300,46.000,46.600,75.097,4.099
62,46.900,46.600,47.200,3.152,0.695
63,47.500,47.200,47.800,0.000,0.000
64,48.100,47.800,48.400,0.000,0.000
65,48.700,48.400,49.000,0.000,0.000
66,49.300,49.000,49.600,0.000,0.000
67,49.900,49.600,50.200,0.000,0.000
68,50.500,50.200,50.800,0.000,0.000
69,51.100,50.800,51.400,0.000,0.000
70,51.700,51.400,52.000,0.000,0.000
71,52.300,52.000,52.600,0.000,0.000
72,52.900,52.600,53.200,0.000,0.000
73,53.500,53.200,53.800,0.000,0.000
74,54.100,53.800,54.400,0.000,0.000
75,54.700,54.400,55.000,0.000,0.000
76,55.300,55.000,55.600,0.000,0.000
77,55.900,55.600,56.200,0.000,0.000
78,56.500,56.200,56.800,0.000,0.000
79,57.100,56.800,57.400,0.000,0.000
80,57.700,57.400,58.000,0.000,0.000
81,58.300,58.000,58.600,0.000,0.000
82,58.900,58.600,59.200,0.000,0.000
83,59.500,59.200,59.800,0.000,0.000
84,60.100,59.800,60.400,0.000,0.000
85,60.700,60.400,61.000,0.000,0.000
86,61.300,61.000,61.600,0.000,0.000
87,61.900,61.600,62.200,0.000,0.000
88,62.500,62.200,62.800,0.000,0.000
89,63.100,62.800,63.400,0.000,0.000
90,63.700,63.400,64.000,0.000,0.000
91,64.300,64.000,64.600,0.000,0.000
92,64.900,64.600,65.200,0.000,0.000
93,65.500,65.200,65.800,0.000,0.000
94,66.100,65.800,66.400,0.000,0.000
95,66.700,66.400,67.000,0.000,0.000
96,67.300,67.000,67.600,0.000,0.000
97,67.900,67.600,68.200,0.000,0.000
98,68.500,68.200,68.800,0.000,0.000
99,69.100,68.800,69.400,0.000,0.000
100,69.700,69.400,70.000,0.000,0.000
