# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.321,0.321
9,-0.029,-0.029,-0.028,3.311,1.888
10,-0.027,-0.028,-0.027,5.155,1.582
11,-0.026,-0.027,-0.025,16.379,3.014
12,-0.025,-0.025,-0.024,44.797,5.211
13,-0.023,-0.024,-0.023,60.992,5.892
14,-0.022,-0.023,-0.021,108.025,8.125
15,-0.021,-0.021,-0.020,129.804,8.214
16,-0.019,-0.020,-0.019,175.779,9.169
17,-0.018,-0.019,-0.017,242.514,10.901
18,-0.017,-0.017,-0.016,313.730,12.210
19,-0.015,-0.016,-0.015,397.696,13.475
20,-0.014,-0.015,-0.013,456.611,13.886
21,-0.013,-0.013,-0.012,525.589,14.279
22,-0.011,-0.012,-0.011,635.977,15.281
23,-0.010,-0.011,-0.009,654.819,14.378
24,-0.009,-0.009,-0.008,771.642,15.272
25,-0.007,-0.008,-0.007,785.363,14.891
26,-0.006,-0.007,-0.005,846.223,14.744
27,-0.005,-0.005,-0.004,842.732,14.410
28,-0.003,-0.004,-0.003,862.752,14.119
29,-0.002,-0.003,-0.001,814.969,13.138
30,-0.001,-0.001,0.000,775.411,12.719
31,0.001,0.000,0.001,728.336,12.012
32,0.002,0.001,0.003,683.889,11.712
33,0.003,0.003,0.004,623.276,10.971
34,0.005,0.004,0.005,554.496,10.169
35,0.006,0.005,0.007,479.251,9.506
36,0.007,0.007,0.008,440.918,9.204
37,0.009,0.008,0.009,374.043,8.354
38,0.010,0.009,0.011,331.861,7.952
39,0.011,0.011,0.012,300.864,7.625
40,0.013,0.012,0.013,237.825,6.488
41,0.014,0.013,0.015,221.228,6.507
42,0.015,0.015,0.016,164.458,5.485
43,0.017,0.016,0.017,137.704,5.188
44,0.018,0.017,0.019,103.803,4.609
45,0.019,0.019,0.020,75.795,3.625
46,0.021,0.020,0.021,60.115,3.449
47,0.022,0.021,0.023,41.689,2.835
48,0.023,0.023,0.024,23.409,2.019
49,0.025,0.024,0.025,12.566,1.465
50,0.026,0.025,0.027,7.155,1.207
51,0.027,0.027,0.028,1.328,0.488
52,0.029,0.028,0.029,0.000,0.000
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
