# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss} (no cuts, DAQ rates)   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,0.000,0.000
4,0.120,0.100,0.140,0.000,0.000
5,0.160,0.140,0.180,0.000,0.000
6,0.200,0.180,0.220,0.000,0.000
7,0.240,0.220,0.260,55.000,19.925
8,0.280,0.260,0.300,401.710,37.748
9,0.320,0.300,0.340,1342.119,54.196
10,0.360,0.340,0.380,2364.149,60.593
11,0.400,0.380,0.420,3819.831,71.212
12,0.440,0.420,0.460,5003.674,76.781
13,0.480,0.460,0.500,6051.246,79.403
14,0.520,0.500,0.540,6572.430,76.232
15,0.560,0.540,0.580,6363.448,67.984
16,0.600,0.580,0.620,5885.822,59.302
17,0.640,0.620,0.660,5117.545,50.244
18,0.680,0.660,0.700,4292.069,42.231
19,0.720,0.700,0.740,3518.555,36.629
20,0.760,0.740,0.780,2814.680,32.499
21,0.800,0.780,0.820,2204.425,28.762
22,0.840,0.820,0.860,1770.228,26.677
23,0.880,0.860,0.900,1436.085,24.666
24,0.920,0.900,0.940,1176.188,23.418
25,0.960,0.940,0.980,989.986,22.838
26,1.000,0.980,1.020,854.731,21.894
27,1.040,1.020,1.060,720.546,20.392
28,1.080,1.060,1.100,660.605,20.064
29,1.120,1.100,1.140,570.359,18.540
30,1.160,1.140,1.180,586.875,20.675
31,1.200,1.180,1.220,481.962,18.047
32,1.240,1.220,1.260,464.673,17.590
33,1.280,1.260,1.300,463.331,18.080
34,1.320,1.300,1.340,413.402,16.915
35,1.360,1.340,1.380,367.634,16.448
36,1.400,1.380,1.420,365.377,16.070
37,1.440,1.420,1.460,345.570,15.261
38,1.480,1.460,1.500,306.020,13.750
39,1.520,1.500,1.540,319.969,15.417
40,1.560,1.540,1.580,312.866,15.261
