# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 0.417 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.792,-10.000,-9.583,2.790,0.097
2,-9.375,-9.583,-9.167,3.363,0.120
3,-8.958,-9.167,-8.750,3.910,0.129
4,-8.542,-8.750,-8.333,4.941,0.164
5,-8.125,-8.333,-7.917,5.863,0.180
6,-7.708,-7.917,-7.500,7.139,0.213
7,-7.292,-7.500,-7.083,8.609,0.252
8,-6.875,-7.083,-6.667,10.852,0.317
9,-6.458,-6.667,-6.250,12.520,0.358
10,-6.042,-6.250,-5.833,15.377,0.415
11,-5.625,-5.833,-5.417,18.329,0.478
12,-5.208,-5.417,-5.000,23.061,0.584
13,-4.792,-5.000,-4.583,26.917,0.649
14,-4.375,-4.583,-4.167,34.892,0.841
15,-3.958,-4.167,-3.750,39.761,0.950
16,-3.542,-3.750,-3.333,45.497,1.055
17,-3.125,-3.333,-2.917,57.698,1.297
18,-2.708,-2.917,-2.500,68.236,1.510
19,-2.292,-2.500,-2.083,84.003,1.798
20,-1.875,-2.083,-1.667,97.946,2.054
21,-1.458,-1.667,-1.250,115.961,2.396
22,-1.042,-1.250,-0.833,140.661,2.835
23,-0.625,-0.833,-0.417,169.184,3.313
24,-0.208,-0.417,0.000,200.817,3.845
25,0.208,0.000,0.417,243.383,4.637
26,0.625,0.417,0.833,284.184,5.279
27,1.042,0.833,1.250,336.364,6.078
28,1.458,1.250,1.667,399.264,7.187
29,1.875,1.667,2.083,478.970,8.449
30,2.292,2.083,2.500,574.358,9.778
31,2.708,2.500,2.917,666.424,11.267
32,3.125,2.917,3.333,779.412,13.074
33,3.542,3.333,3.750,883.149,14.870
34,3.958,3.750,4.167,1041.412,17.281
35,4.375,4.167,4.583,1144.338,19.164
36,4.792,4.583,5.000,1355.762,22.511
37,5.208,5.000,5.417,1543.411,25.395
38,5.625,5.417,5.833,1689.497,28.255
39,6.042,5.833,6.250,1862.511,31.593
40,6.458,6.250,6.667,1950.407,34.355
41,6.875,6.667,7.083,1997.096,36.521
42,7.292,7.083,7.500,1984.860,38.495
43,7.708,7.500,7.917,1858.364,39.006
44,8.125,7.917,8.333,1748.263,39.509
45,8.542,8.333,8.750,1662.497,39.625
46,8.958,8.750,9.167,1387.093,37.489
47,9.375,9.167,9.583,1183.581,35.399
48,9.792,9.583,10.000,889.966,31.510
49,10.208,10.000,10.417,649.383,27.552
50,10.625,10.417,10.833,365.044,20.998
51,11.042,10.833,11.250,191.572,16.110
52,11.458,11.250,11.667,84.415,10.149
53,11.875,11.667,12.083,25.422,6.333
54,12.292,12.083,12.500,3.884,2.483
55,12.708,12.500,12.917,1.024,1.024
56,13.125,12.917,13.333,0.000,0.000
57,13.542,13.333,13.750,0.000,0.000
58,13.958,13.750,14.167,0.000,0.000
59,14.375,14.167,14.583,0.000,0.000
60,14.792,14.583,15.000,0.000,0.000
