# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.000,0.000
4,-13.250,-13.500,-13.000,0.000,0.000
5,-12.750,-13.000,-12.500,0.000,0.000
6,-12.250,-12.500,-12.000,0.000,0.000
7,-11.750,-12.000,-11.500,0.000,0.000
8,-11.250,-11.500,-11.000,0.000,0.000
9,-10.750,-11.000,-10.500,0.000,0.000
10,-10.250,-10.500,-10.000,0.000,0.000
11,-9.750,-10.000,-9.500,2132.518,46.397
12,-9.250,-9.500,-9.000,2410.029,47.585
13,-8.750,-9.000,-8.500,2555.310,46.470
14,-8.250,-8.500,-8.000,2466.945,44.622
15,-7.750,-8.000,-7.500,2381.705,42.197
16,-7.250,-7.500,-7.000,2113.174,37.396
17,-6.750,-7.000,-6.500,2082.419,36.491
18,-6.250,-6.500,-6.000,1904.003,33.292
19,-5.750,-6.000,-5.500,1689.330,29.908
20,-5.250,-5.500,-5.000,1562.763,27.080
21,-4.750,-5.000,-4.500,1396.709,24.749
22,-4.250,-4.500,-4.000,1239.276,21.778
23,-3.750,-4.000,-3.500,1086.792,19.567
24,-3.250,-3.500,-3.000,957.720,17.151
25,-2.750,-3.000,-2.500,814.485,14.921
26,-2.250,-2.500,-2.000,703.068,13.128
27,-1.750,-2.000,-1.500,583.123,11.153
28,-1.250,-1.500,-1.000,483.337,9.550
29,-0.750,-1.000,-0.500,402.750,8.091
30,-0.250,-0.500,0.000,344.554,7.177
31,0.250,0.000,0.500,261.756,5.636
32,0.750,0.500,1.000,220.335,4.881
33,1.250,1.000,1.500,168.689,3.943
34,1.750,1.500,2.000,134.899,3.227
35,2.250,2.000,2.500,98.317,2.424
36,2.750,2.500,3.000,80.429,2.039
37,3.250,3.000,3.500,56.776,1.529
38,3.750,3.500,4.000,41.899,1.184
39,4.250,4.000,4.500,31.671,0.930
40,4.750,4.500,5.000,21.961,0.663
41,5.250,5.000,5.500,16.129,0.517
42,5.750,5.500,6.000,10.917,0.370
43,6.250,6.000,6.500,7.650,0.281
44,6.750,6.500,7.000,5.406,0.197
45,7.250,7.000,7.500,3.197,0.129
46,7.750,7.500,8.000,1.910,0.085
47,8.250,8.000,8.500,1.025,0.052
48,8.750,8.500,9.000,0.586,0.036
49,9.250,9.000,9.500,0.315,0.020
50,9.750,9.500,10.000,0.140,0.011
51,10.250,10.000,10.500,0.000,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
