# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.010,0.008
3,-13.750,-14.000,-13.500,0.323,0.039
4,-13.250,-13.500,-13.000,1.051,0.075
5,-12.750,-13.000,-12.500,1.719,0.094
6,-12.250,-12.500,-12.000,2.620,0.110
7,-11.750,-12.000,-11.500,3.310,0.123
8,-11.250,-11.500,-11.000,4.230,0.135
9,-10.750,-11.000,-10.500,5.212,0.146
10,-10.250,-10.500,-10.000,5.890,0.152
11,-9.750,-10.000,-9.500,6.919,0.160
12,-9.250,-9.500,-9.000,8.371,0.171
13,-8.750,-9.000,-8.500,9.329,0.177
14,-8.250,-8.500,-8.000,9.447,0.172
15,-7.750,-8.000,-7.500,9.169,0.165
16,-7.250,-7.500,-7.000,8.839,0.157
17,-6.750,-7.000,-6.500,8.550,0.153
18,-6.250,-6.500,-6.000,8.341,0.145
19,-5.750,-6.000,-5.500,7.779,0.135
20,-5.250,-5.500,-5.000,7.481,0.129
21,-4.750,-5.000,-4.500,7.009,0.120
22,-4.250,-4.500,-4.000,6.233,0.109
23,-3.750,-4.000,-3.500,5.934,0.101
24,-3.250,-3.500,-3.000,5.299,0.091
25,-2.750,-3.000,-2.500,4.673,0.081
26,-2.250,-2.500,-2.000,4.135,0.072
27,-1.750,-2.000,-1.500,3.662,0.065
28,-1.250,-1.500,-1.000,3.166,0.056
29,-0.750,-1.000,-0.500,2.663,0.048
30,-0.250,-0.500,0.000,2.389,0.043
31,0.250,0.000,0.500,1.966,0.037
32,0.750,0.500,1.000,1.609,0.031
33,1.250,1.000,1.500,1.320,0.026
34,1.750,1.500,2.000,1.075,0.021
35,2.250,2.000,2.500,0.850,0.018
36,2.750,2.500,3.000,0.659,0.014
37,3.250,3.000,3.500,0.518,0.012
38,3.750,3.500,4.000,0.391,0.009
39,4.250,4.000,4.500,0.298,0.007
40,4.750,4.500,5.000,0.211,0.006
41,5.250,5.000,5.500,0.162,0.005
42,5.750,5.500,6.000,0.112,0.003
43,6.250,6.000,6.500,0.079,0.003
44,6.750,6.500,7.000,0.052,0.002
45,7.250,7.000,7.500,0.033,0.001
46,7.750,7.500,8.000,0.021,0.001
47,8.250,8.000,8.500,0.012,0.001
48,8.750,8.500,9.000,0.007,0.000
49,9.250,9.000,9.500,0.003,0.000
50,9.750,9.500,10.000,0.002,0.000
51,10.250,10.000,10.500,0.001,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
