# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS z-Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.048,0.040
5,-8.500,-8.667,-8.333,0.054,0.046
6,-8.167,-8.333,-8.000,0.330,0.227
7,-7.833,-8.000,-7.667,0.370,0.162
8,-7.500,-7.667,-7.333,1.234,0.451
9,-7.167,-7.333,-7.000,2.085,0.442
10,-6.833,-7.000,-6.667,9.823,1.562
11,-6.500,-6.667,-6.333,18.762,2.617
12,-6.167,-6.333,-6.000,49.730,4.669
13,-5.833,-6.000,-5.667,285.357,106.652
14,-5.500,-5.667,-5.333,708.021,62.720
15,-5.167,-5.333,-5.000,1564.858,89.744
16,-4.833,-5.000,-4.667,2844.363,132.315
17,-4.500,-4.667,-4.333,3522.184,152.792
18,-4.167,-4.333,-4.000,4045.450,172.279
19,-3.833,-4.000,-3.667,4744.999,201.598
20,-3.500,-3.667,-3.333,3999.339,149.165
21,-3.167,-3.333,-3.000,4296.952,167.590
22,-2.833,-3.000,-2.667,4322.787,185.775
23,-2.500,-2.667,-2.333,4000.043,129.782
24,-2.167,-2.333,-2.000,3827.558,120.055
25,-1.833,-2.000,-1.667,3993.344,128.671
26,-1.500,-1.667,-1.333,3871.329,121.719
27,-1.167,-1.333,-1.000,3786.249,113.356
28,-0.833,-1.000,-0.667,3873.564,125.191
29,-0.500,-0.667,-0.333,3818.004,129.590
30,-0.167,-0.333,0.000,3746.641,107.621
31,0.167,0.000,0.333,3509.264,113.327
32,0.500,0.333,0.667,3438.331,99.135
33,0.833,0.667,1.000,3367.853,89.400
34,1.167,1.000,1.333,3270.300,99.534
35,1.500,1.333,1.667,3061.045,85.792
36,1.833,1.667,2.000,2927.439,85.613
37,2.167,2.000,2.333,2871.280,78.277
38,2.500,2.333,2.667,2698.550,73.295
39,2.833,2.667,3.000,2619.654,66.537
40,3.167,3.000,3.333,2417.370,63.800
41,3.500,3.333,3.667,2380.771,62.453
42,3.833,3.667,4.000,2302.256,60.346
43,4.167,4.000,4.333,2029.894,51.636
44,4.500,4.333,4.667,1820.586,49.993
45,4.833,4.667,5.000,1397.087,43.285
46,5.167,5.000,5.333,859.878,36.470
47,5.500,5.333,5.667,350.834,20.612
48,5.833,5.667,6.000,119.266,14.948
49,6.167,6.000,6.333,31.199,4.117
50,6.500,6.333,6.667,6.513,1.234
51,6.833,6.667,7.000,3.123,0.645
52,7.167,7.000,7.333,1.366,0.298
53,7.500,7.333,7.667,0.586,0.157
54,7.833,7.667,8.000,0.114,0.037
55,8.167,8.000,8.333,0.154,0.082
56,8.500,8.333,8.667,0.012,0.005
57,8.833,8.667,9.000,0.016,0.011
58,9.167,9.000,9.333,0.006,0.006
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
