# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,10.067,3.872
4,-13.250,-13.500,-13.000,146.078,27.177
5,-12.750,-13.000,-12.500,336.645,30.379
6,-12.250,-12.500,-12.000,612.900,48.466
7,-11.750,-12.000,-11.500,820.824,66.184
8,-11.250,-11.500,-11.000,830.292,58.996
9,-10.750,-11.000,-10.500,877.334,57.939
10,-10.250,-10.500,-10.000,904.078,45.533
11,-9.750,-10.000,-9.500,938.016,40.575
12,-9.250,-9.500,-9.000,1031.008,43.432
13,-8.750,-9.000,-8.500,1064.650,36.025
14,-8.250,-8.500,-8.000,970.737,30.351
15,-7.750,-8.000,-7.500,917.412,27.091
16,-7.250,-7.500,-7.000,819.254,22.164
17,-6.750,-7.000,-6.500,696.710,17.336
18,-6.250,-6.500,-6.000,690.520,16.310
19,-5.750,-6.000,-5.500,634.303,14.868
20,-5.250,-5.500,-5.000,590.722,12.814
21,-4.750,-5.000,-4.500,563.544,11.500
22,-4.250,-4.500,-4.000,514.906,10.616
23,-3.750,-4.000,-3.500,482.698,9.743
24,-3.250,-3.500,-3.000,464.840,9.131
25,-2.750,-3.000,-2.500,422.223,8.263
26,-2.250,-2.500,-2.000,418.364,7.873
27,-1.750,-2.000,-1.500,386.441,7.365
28,-1.250,-1.500,-1.000,358.750,6.789
29,-0.750,-1.000,-0.500,329.190,6.231
30,-0.250,-0.500,0.000,303.301,5.733
31,0.250,0.000,0.500,275.133,5.208
32,0.750,0.500,1.000,244.342,4.691
33,1.250,1.000,1.500,224.940,4.347
34,1.750,1.500,2.000,200.200,3.890
35,2.250,2.000,2.500,182.786,3.550
36,2.750,2.500,3.000,161.373,3.179
37,3.250,3.000,3.500,136.885,2.798
38,3.750,3.500,4.000,115.889,2.448
39,4.250,4.000,4.500,104.516,2.188
40,4.750,4.500,5.000,86.397,1.859
41,5.250,5.000,5.500,76.005,1.678
42,5.750,5.500,6.000,60.681,1.391
43,6.250,6.000,6.500,50.735,1.186
44,6.750,6.500,7.000,43.951,1.037
45,7.250,7.000,7.500,34.813,0.858
46,7.750,7.500,8.000,27.852,0.695
47,8.250,8.000,8.500,22.579,0.575
48,8.750,8.500,9.000,17.709,0.468
49,9.250,9.000,9.500,13.442,0.376
50,9.750,9.500,10.000,10.507,0.299
51,10.250,10.000,10.500,7.863,0.226
52,10.750,10.500,11.000,5.574,0.169
53,11.250,11.000,11.500,4.102,0.132
54,11.750,11.500,12.000,2.567,0.088
55,12.250,12.000,12.500,1.603,0.061
56,12.750,12.500,13.000,0.930,0.042
57,13.250,13.000,13.500,0.441,0.025
58,13.750,13.500,14.000,0.204,0.015
59,14.250,14.000,14.500,0.059,0.007
60,14.750,14.500,15.000,0.016,0.003
