# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.099,-0.100,-0.098,0.000,0.000
2,-0.097,-0.098,-0.096,0.000,0.000
3,-0.095,-0.096,-0.094,0.000,0.000
4,-0.093,-0.094,-0.092,0.000,0.000
5,-0.091,-0.092,-0.090,0.000,0.000
6,-0.089,-0.090,-0.088,0.000,0.000
7,-0.087,-0.088,-0.086,0.000,0.000
8,-0.085,-0.086,-0.084,0.000,0.000
9,-0.083,-0.084,-0.082,0.000,0.000
10,-0.081,-0.082,-0.080,0.000,0.000
11,-0.079,-0.080,-0.078,0.000,0.000
12,-0.077,-0.078,-0.076,0.000,0.000
13,-0.075,-0.076,-0.074,0.000,0.000
14,-0.073,-0.074,-0.072,0.000,0.000
15,-0.071,-0.072,-0.070,0.103,0.024
16,-0.069,-0.070,-0.068,1.517,0.137
17,-0.067,-0.068,-0.066,3.533,0.223
18,-0.065,-0.066,-0.064,3.941,0.203
19,-0.063,-0.064,-0.062,5.429,0.311
20,-0.061,-0.062,-0.060,5.590,0.336
21,-0.059,-0.060,-0.058,6.483,0.347
22,-0.057,-0.058,-0.056,7.099,0.431
23,-0.055,-0.056,-0.054,7.506,0.530
24,-0.053,-0.054,-0.052,7.777,0.394
25,-0.051,-0.052,-0.050,8.193,0.494
26,-0.049,-0.050,-0.048,7.545,0.563
27,-0.047,-0.048,-0.046,9.017,0.555
28,-0.045,-0.046,-0.044,9.370,0.546
29,-0.043,-0.044,-0.042,9.378,0.490
30,-0.041,-0.042,-0.040,9.223,0.546
31,-0.039,-0.040,-0.038,9.755,0.530
32,-0.037,-0.038,-0.036,9.912,0.615
33,-0.035,-0.036,-0.034,9.791,0.534
34,-0.033,-0.034,-0.032,9.630,0.428
35,-0.031,-0.032,-0.030,10.575,0.539
36,-0.029,-0.030,-0.028,10.674,0.601
37,-0.027,-0.028,-0.026,10.075,0.472
38,-0.025,-0.026,-0.024,9.512,0.419
39,-0.023,-0.024,-0.022,9.901,0.441
40,-0.021,-0.022,-0.020,9.623,0.413
41,-0.019,-0.020,-0.018,9.643,0.401
42,-0.017,-0.018,-0.016,11.246,0.711
43,-0.015,-0.016,-0.014,9.810,0.543
44,-0.013,-0.014,-0.012,10.306,0.534
45,-0.011,-0.012,-0.010,11.868,0.665
46,-0.009,-0.010,-0.008,10.484,0.477
47,-0.007,-0.008,-0.006,10.516,0.474
48,-0.005,-0.006,-0.004,9.683,0.406
49,-0.003,-0.004,-0.002,10.297,0.434
50,-0.001,-0.002,0.000,10.219,0.439
51,0.001,0.000,0.002,10.722,0.480
52,0.003,0.002,0.004,11.087,0.543
53,0.005,0.004,0.006,11.371,0.829
54,0.007,0.006,0.008,10.557,0.497
55,0.009,0.008,0.010,10.776,0.548
56,0.011,0.010,0.012,11.317,0.582
57,0.013,0.012,0.014,11.602,0.682
58,0.015,0.014,0.016,10.286,0.390
59,0.017,0.016,0.018,10.123,0.465
60,0.019,0.018,0.020,11.137,0.493
61,0.021,0.020,0.022,10.364,0.540
62,0.023,0.022,0.024,11.030,0.569
63,0.025,0.024,0.026,10.506,0.519
64,0.027,0.026,0.028,10.003,0.438
65,0.029,0.028,0.030,10.597,0.535
66,0.031,0.030,0.032,9.992,0.417
67,0.033,0.032,0.034,10.029,0.427
68,0.035,0.034,0.036,9.512,0.438
69,0.037,0.036,0.038,10.598,0.574
70,0.039,0.038,0.040,9.083,0.446
71,0.041,0.040,0.042,9.858,0.429
72,0.043,0.042,0.044,9.468,0.455
73,0.045,0.044,0.046,8.648,0.411
74,0.047,0.046,0.048,9.073,0.431
75,0.049,0.048,0.050,7.802,0.405
76,0.051,0.050,0.052,7.620,0.352
77,0.053,0.052,0.054,7.164,0.326
78,0.055,0.054,0.056,6.832,0.399
79,0.057,0.056,0.058,6.593,0.308
80,0.059,0.058,0.060,5.811,0.284
81,0.061,0.060,0.062,5.145,0.245
82,0.063,0.062,0.064,4.767,0.242
83,0.065,0.064,0.066,3.529,0.173
84,0.067,0.066,0.068,2.387,0.131
85,0.069,0.068,0.070,1.290,0.091
86,0.071,0.070,0.072,0.107,0.024
87,0.073,0.072,0.074,0.000,0.000
88,0.075,0.074,0.076,0.000,0.000
89,0.077,0.076,0.078,0.000,0.000
90,0.079,0.078,0.080,0.000,0.000
91,0.081,0.080,0.082,0.000,0.000
92,0.083,0.082,0.084,0.000,0.000
93,0.085,0.084,0.086,0.000,0.000
94,0.087,0.086,0.088,0.000,0.000
95,0.089,0.088,0.090,0.000,0.000
96,0.091,0.090,0.092,0.000,0.000
97,0.093,0.092,0.094,0.000,0.000
98,0.095,0.094,0.096,0.000,0.000
99,0.097,0.096,0.098,0.000,0.000
100,0.099,0.098,0.100,0.000,0.000
