# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      : 60 
# ylabel     :  X_{fp} [cm] 
# xbins      : 60 
# xlabel     :  Y_{fp} [cm] 
# ybin_width : 0.417 
# xbin_width : 0.333 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     63,         1,         1,      -9.83333,       -10,  -9.66667,    -9.79167,       -10,    -9.58333,  0.00204871,   0.000680838
     64,         2,         1,          -9.5,  -9.66667,  -9.33333,    -9.79167,       -10,    -9.58333,    0.002391,    0.00068083
     65,         3,         1,      -9.16667,  -9.33333,        -9,    -9.79167,       -10,    -9.58333,  0.00339358,   0.000936547
     66,         4,         1,      -8.83333,        -9,  -8.66667,    -9.79167,       -10,    -9.58333,  0.00675905,    0.00157573
     67,         5,         1,          -8.5,  -8.66667,  -8.33333,    -9.79167,       -10,    -9.58333,  0.00341898,   0.000811511
     68,         6,         1,      -8.16667,  -8.33333,        -8,    -9.79167,       -10,    -9.58333,  0.00340646,   0.000887804
     69,         7,         1,      -7.83333,        -8,  -7.66667,    -9.79167,       -10,    -9.58333,  0.00689595,    0.00126936
     70,         8,         1,          -7.5,  -7.66667,  -7.33333,    -9.79167,       -10,    -9.58333,  0.00505155,    0.00126163
     71,         9,         1,      -7.16667,  -7.33333,        -7,    -9.79167,       -10,    -9.58333,  0.00643822,    0.00131167
     72,        10,         1,      -6.83333,        -7,  -6.66667,    -9.79167,       -10,    -9.58333,  0.00767826,    0.00145198
     73,        11,         1,          -6.5,  -6.66667,  -6.33333,    -9.79167,       -10,    -9.58333,  0.00435689,   0.000999756
     74,        12,         1,      -6.16667,  -6.33333,        -6,    -9.79167,       -10,    -9.58333,  0.00636939,    0.00120359
     75,        13,         1,      -5.83333,        -6,  -5.66667,    -9.79167,       -10,    -9.58333,   0.0083822,     0.0015717
     76,        14,         1,          -5.5,  -5.66667,  -5.33333,    -9.79167,       -10,    -9.58333,  0.00774667,    0.00142872
     77,        15,         1,      -5.16667,  -5.33333,        -5,    -9.79167,       -10,    -9.58333,   0.0081268,    0.00149281
     78,        16,         1,      -4.83333,        -5,  -4.66667,    -9.79167,       -10,    -9.58333,  0.00591721,    0.00109758
     79,        17,         1,          -4.5,  -4.66667,  -4.33333,    -9.79167,       -10,    -9.58333,  0.00869349,    0.00149976
     80,        18,         1,      -4.16667,  -4.33333,        -4,    -9.79167,       -10,    -9.58333,  0.00760144,     0.0014216
     81,        19,         1,      -3.83333,        -4,  -3.66667,    -9.79167,       -10,    -9.58333,  0.00789836,    0.00140999
     82,        20,         1,          -3.5,  -3.66667,  -3.33333,    -9.79167,       -10,    -9.58333,  0.00708892,    0.00116397
     83,        21,         1,      -3.16667,  -3.33333,        -3,    -9.79167,       -10,    -9.58333,  0.00983495,    0.00166192
     84,        22,         1,      -2.83333,        -3,  -2.66667,    -9.79167,       -10,    -9.58333,  0.00929034,    0.00156331
     85,        23,         1,          -2.5,  -2.66667,  -2.33333,    -9.79167,       -10,    -9.58333,  0.00913531,    0.00155994
     86,        24,         1,      -2.16667,  -2.33333,        -2,    -9.79167,       -10,    -9.58333,  0.00941185,    0.00158158
     87,        25,         1,      -1.83333,        -2,  -1.66667,    -9.79167,       -10,    -9.58333,  0.00892994,    0.00164283
     88,        26,         1,          -1.5,  -1.66667,  -1.33333,    -9.79167,       -10,    -9.58333,   0.0116618,    0.00176209
     89,        27,         1,      -1.16667,  -1.33333,        -1,    -9.79167,       -10,    -9.58333,  0.00588028,    0.00112308
     90,        28,         1,     -0.833333,        -1, -0.666667,    -9.79167,       -10,    -9.58333,  0.00966353,    0.00145219
     91,        29,         1,          -0.5, -0.666667, -0.333333,    -9.79167,       -10,    -9.58333,  0.00655353,    0.00117288
     92,        30,         1,     -0.166667, -0.333333,         0,    -9.79167,       -10,    -9.58333,   0.0072694,    0.00119265
     93,        31,         1,      0.166667,         0,  0.333333,    -9.79167,       -10,    -9.58333,  0.00870282,    0.00163086
     94,        32,         1,           0.5,  0.333333,  0.666667,    -9.79167,       -10,    -9.58333,  0.00710458,    0.00138711
     95,        33,         1,      0.833333,  0.666667,         1,    -9.79167,       -10,    -9.58333,  0.00855568,    0.00155866
     96,        34,         1,       1.16667,         1,   1.33333,    -9.79167,       -10,    -9.58333,  0.00868275,    0.00145457
     97,        35,         1,           1.5,   1.33333,   1.66667,    -9.79167,       -10,    -9.58333,  0.00778546,    0.00148424
     98,        36,         1,       1.83333,   1.66667,         2,    -9.79167,       -10,    -9.58333,  0.00854981,    0.00143887
     99,        37,         1,       2.16667,         2,   2.33333,    -9.79167,       -10,    -9.58333,  0.00777292,     0.0016369
    100,        38,         1,           2.5,   2.33333,   2.66667,    -9.79167,       -10,    -9.58333,  0.00587079,    0.00129461
    101,        39,         1,       2.83333,   2.66667,         3,    -9.79167,       -10,    -9.58333,  0.00682847,    0.00116016
    102,        40,         1,       3.16667,         3,   3.33333,    -9.79167,       -10,    -9.58333,  0.00482257,     0.0010194
    103,        41,         1,           3.5,   3.33333,   3.66667,    -9.79167,       -10,    -9.58333,  0.00536356,     0.0011743
    104,        42,         1,       3.83333,   3.66667,         4,    -9.79167,       -10,    -9.58333,  0.00482499,     0.0011581
    105,        43,         1,       4.16667,         4,   4.33333,    -9.79167,       -10,    -9.58333,  0.00506737,    0.00115535
    106,        44,         1,           4.5,   4.33333,   4.66667,    -9.79167,       -10,    -9.58333,  0.00358096,   0.000913557
    107,        45,         1,       4.83333,   4.66667,         5,    -9.79167,       -10,    -9.58333,  0.00225041,   0.000583098
    108,        46,         1,       5.16667,         5,   5.33333,    -9.79167,       -10,    -9.58333,  0.00215782,   0.000722366
