# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.099,-0.100,-0.098,0.000,0.000
2,-0.097,-0.098,-0.096,0.000,0.000
3,-0.095,-0.096,-0.094,0.000,0.000
4,-0.093,-0.094,-0.092,0.000,0.000
5,-0.091,-0.092,-0.090,0.000,0.000
6,-0.089,-0.090,-0.088,0.000,0.000
7,-0.087,-0.088,-0.086,0.000,0.000
8,-0.085,-0.086,-0.084,0.000,0.000
9,-0.083,-0.084,-0.082,0.000,0.000
10,-0.081,-0.082,-0.080,0.000,0.000
11,-0.079,-0.080,-0.078,0.000,0.000
12,-0.077,-0.078,-0.076,0.000,0.000
13,-0.075,-0.076,-0.074,0.000,0.000
14,-0.073,-0.074,-0.072,0.000,0.000
15,-0.071,-0.072,-0.070,11.734,3.330
16,-0.069,-0.070,-0.068,169.949,24.638
17,-0.067,-0.068,-0.066,439.609,54.623
18,-0.065,-0.066,-0.064,533.578,42.405
19,-0.063,-0.064,-0.062,763.725,56.163
20,-0.061,-0.062,-0.060,681.379,48.761
21,-0.059,-0.060,-0.058,850.464,64.705
22,-0.057,-0.058,-0.056,967.198,79.204
23,-0.055,-0.056,-0.054,958.806,73.950
24,-0.053,-0.054,-0.052,1006.397,78.452
25,-0.051,-0.052,-0.050,1138.454,74.918
26,-0.049,-0.050,-0.048,1103.924,91.008
27,-0.047,-0.048,-0.046,1126.539,84.689
28,-0.045,-0.046,-0.044,1159.932,83.811
29,-0.043,-0.044,-0.042,1283.885,95.918
30,-0.041,-0.042,-0.040,1128.968,77.724
31,-0.039,-0.040,-0.038,1234.907,77.829
32,-0.037,-0.038,-0.036,1372.215,93.230
33,-0.035,-0.036,-0.034,1261.989,77.438
34,-0.033,-0.034,-0.032,1466.294,108.578
35,-0.031,-0.032,-0.030,1288.148,89.782
36,-0.029,-0.030,-0.028,1335.463,97.042
37,-0.027,-0.028,-0.026,1271.008,86.624
38,-0.025,-0.026,-0.024,1300.055,86.810
39,-0.023,-0.024,-0.022,1380.827,101.357
40,-0.021,-0.022,-0.020,1333.300,86.485
41,-0.019,-0.020,-0.018,1524.979,137.627
42,-0.017,-0.018,-0.016,1587.037,133.488
43,-0.015,-0.016,-0.014,1480.691,113.311
44,-0.013,-0.014,-0.012,1255.475,72.827
45,-0.011,-0.012,-0.010,1235.087,82.470
46,-0.009,-0.010,-0.008,1499.006,111.477
47,-0.007,-0.008,-0.006,1344.127,98.330
48,-0.005,-0.006,-0.004,1430.148,108.972
49,-0.003,-0.004,-0.002,1429.684,119.061
50,-0.001,-0.002,0.000,1467.082,115.358
51,0.001,0.000,0.002,1502.783,98.190
52,0.003,0.002,0.004,1469.143,114.954
53,0.005,0.004,0.006,1316.743,72.270
54,0.007,0.006,0.008,1460.554,94.800
55,0.009,0.008,0.010,1392.870,93.089
56,0.011,0.010,0.012,1374.499,79.548
57,0.013,0.012,0.014,1422.734,86.945
58,0.015,0.014,0.016,1507.224,123.520
59,0.017,0.016,0.018,1552.472,118.730
60,0.019,0.018,0.020,1449.993,94.656
61,0.021,0.020,0.022,1344.406,95.651
62,0.023,0.022,0.024,1526.250,107.278
63,0.025,0.024,0.026,1421.010,92.441
64,0.027,0.026,0.028,1660.430,146.055
65,0.029,0.028,0.030,1560.919,103.565
66,0.031,0.030,0.032,1385.406,109.398
67,0.033,0.032,0.034,1495.269,100.311
68,0.035,0.034,0.036,1231.643,73.270
69,0.037,0.036,0.038,1346.655,89.360
70,0.039,0.038,0.040,1362.960,100.632
71,0.041,0.040,0.042,1418.879,96.145
72,0.043,0.042,0.044,1099.977,78.809
73,0.045,0.044,0.046,1216.806,87.599
74,0.047,0.046,0.048,1164.737,78.664
75,0.049,0.048,0.050,1033.623,69.166
76,0.051,0.050,0.052,1003.420,66.675
77,0.053,0.052,0.054,1001.139,66.862
78,0.055,0.054,0.056,964.980,69.184
79,0.057,0.056,0.058,816.288,58.535
80,0.059,0.058,0.060,762.144,52.351
81,0.061,0.060,0.062,576.260,36.314
82,0.063,0.062,0.064,532.359,41.208
83,0.065,0.064,0.066,418.767,32.338
84,0.067,0.066,0.068,278.139,19.133
85,0.069,0.068,0.070,100.960,10.048
86,0.071,0.070,0.072,7.848,2.282
87,0.073,0.072,0.074,0.000,0.000
88,0.075,0.074,0.076,0.000,0.000
89,0.077,0.076,0.078,0.000,0.000
90,0.079,0.078,0.080,0.000,0.000
91,0.081,0.080,0.082,0.000,0.000
92,0.083,0.082,0.084,0.000,0.000
93,0.085,0.084,0.086,0.000,0.000
94,0.087,0.086,0.088,0.000,0.000
95,0.089,0.088,0.090,0.000,0.000
96,0.091,0.090,0.092,0.000,0.000
97,0.093,0.092,0.094,0.000,0.000
98,0.095,0.094,0.096,0.000,0.000
99,0.097,0.096,0.098,0.000,0.000
100,0.099,0.098,0.100,0.000,0.000
