# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{tar}   
# xbins      : 60   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.005,0.003
6,-0.049,-0.050,-0.048,1.548,0.111
7,-0.047,-0.048,-0.046,9.878,0.365
8,-0.045,-0.046,-0.044,15.252,0.494
9,-0.043,-0.044,-0.042,17.634,0.559
10,-0.041,-0.042,-0.040,21.440,0.703
11,-0.039,-0.040,-0.038,24.654,0.773
12,-0.037,-0.038,-0.036,28.859,0.874
13,-0.035,-0.036,-0.034,34.667,1.022
14,-0.033,-0.034,-0.032,35.863,1.069
15,-0.031,-0.032,-0.030,40.183,1.216
16,-0.029,-0.030,-0.028,47.507,1.338
17,-0.027,-0.028,-0.026,53.046,1.514
18,-0.025,-0.026,-0.024,56.351,1.588
19,-0.023,-0.024,-0.022,59.974,1.704
20,-0.021,-0.022,-0.020,66.479,1.909
21,-0.019,-0.020,-0.018,74.660,2.058
22,-0.017,-0.018,-0.016,76.456,2.110
23,-0.015,-0.016,-0.014,77.171,2.099
24,-0.013,-0.014,-0.012,82.679,2.231
25,-0.011,-0.012,-0.010,88.936,2.342
26,-0.009,-0.010,-0.008,89.500,2.408
27,-0.007,-0.008,-0.006,96.430,2.522
28,-0.005,-0.006,-0.004,96.173,2.530
29,-0.003,-0.004,-0.002,94.962,2.500
30,-0.001,-0.002,0.000,103.821,2.659
31,0.001,0.000,0.002,96.282,2.541
32,0.003,0.002,0.004,95.422,2.489
33,0.005,0.004,0.006,98.146,2.594
34,0.007,0.006,0.008,91.213,2.412
35,0.009,0.008,0.010,88.501,2.362
36,0.011,0.010,0.012,90.306,2.362
37,0.013,0.012,0.014,82.702,2.239
38,0.015,0.014,0.016,81.887,2.222
39,0.017,0.016,0.018,75.384,2.051
40,0.019,0.018,0.020,74.542,2.022
41,0.021,0.020,0.022,64.410,1.814
42,0.023,0.022,0.024,63.209,1.776
43,0.025,0.024,0.026,55.065,1.576
44,0.027,0.026,0.028,52.339,1.489
45,0.029,0.028,0.030,45.474,1.345
46,0.031,0.030,0.032,43.618,1.247
47,0.033,0.032,0.034,38.573,1.120
48,0.035,0.034,0.036,35.664,1.084
49,0.037,0.036,0.038,29.048,0.890
50,0.039,0.038,0.040,24.158,0.779
51,0.041,0.040,0.042,22.055,0.710
52,0.043,0.042,0.044,17.425,0.577
53,0.045,0.044,0.046,13.639,0.445
54,0.047,0.046,0.048,6.803,0.273
55,0.049,0.048,0.050,1.046,0.084
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
