# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.079,-0.080,-0.077,0.000,0.000
2,-0.076,-0.077,-0.075,0.000,0.000
3,-0.073,-0.075,-0.072,0.000,0.000
4,-0.071,-0.072,-0.069,0.000,0.000
5,-0.068,-0.069,-0.067,0.000,0.000
6,-0.065,-0.067,-0.064,0.000,0.000
7,-0.063,-0.064,-0.061,0.000,0.000
8,-0.060,-0.061,-0.059,0.064,0.018
9,-0.057,-0.059,-0.056,0.903,0.086
10,-0.055,-0.056,-0.053,1.939,0.121
11,-0.052,-0.053,-0.051,2.850,0.149
12,-0.049,-0.051,-0.048,3.487,0.163
13,-0.047,-0.048,-0.045,4.430,0.189
14,-0.044,-0.045,-0.043,4.920,0.197
15,-0.041,-0.043,-0.040,5.925,0.224
16,-0.039,-0.040,-0.037,6.588,0.230
17,-0.036,-0.037,-0.035,7.396,0.244
18,-0.033,-0.035,-0.032,8.629,0.267
19,-0.031,-0.032,-0.029,9.510,0.285
20,-0.028,-0.029,-0.027,10.201,0.292
21,-0.025,-0.027,-0.024,10.492,0.295
22,-0.023,-0.024,-0.021,11.402,0.313
23,-0.020,-0.021,-0.019,11.878,0.321
24,-0.017,-0.019,-0.016,12.938,0.336
25,-0.015,-0.016,-0.013,13.108,0.334
26,-0.012,-0.013,-0.011,13.263,0.337
27,-0.009,-0.011,-0.008,14.256,0.353
28,-0.007,-0.008,-0.005,13.988,0.341
29,-0.004,-0.005,-0.003,14.319,0.340
30,-0.001,-0.003,0.000,14.890,0.350
31,0.001,0.000,0.003,14.734,0.353
32,0.004,0.003,0.005,15.246,0.352
33,0.007,0.005,0.008,15.428,0.348
34,0.009,0.008,0.011,15.218,0.344
35,0.012,0.011,0.013,14.608,0.330
36,0.015,0.013,0.016,15.190,0.340
37,0.017,0.016,0.019,14.380,0.325
38,0.020,0.019,0.021,13.523,0.300
39,0.023,0.021,0.024,13.289,0.296
40,0.025,0.024,0.027,11.899,0.272
41,0.028,0.027,0.029,10.704,0.257
42,0.031,0.029,0.032,9.906,0.248
43,0.033,0.032,0.035,8.187,0.218
44,0.036,0.035,0.037,6.817,0.193
45,0.039,0.037,0.040,6.237,0.188
46,0.041,0.040,0.043,4.832,0.159
47,0.044,0.043,0.045,3.896,0.141
48,0.047,0.045,0.048,2.881,0.117
49,0.049,0.048,0.051,1.678,0.083
50,0.052,0.051,0.053,0.913,0.060
51,0.055,0.053,0.056,0.337,0.038
52,0.057,0.056,0.059,0.014,0.006
53,0.060,0.059,0.061,0.000,0.000
54,0.063,0.061,0.064,0.000,0.000
55,0.065,0.064,0.067,0.000,0.000
56,0.068,0.067,0.069,0.000,0.000
57,0.071,0.069,0.072,0.000,0.000
58,0.073,0.072,0.075,0.000,0.000
59,0.076,0.075,0.077,0.000,0.000
60,0.079,0.077,0.080,0.000,0.000
