# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss} (no cuts, DAQ rates)   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,0.000,0.000
4,0.120,0.100,0.140,0.000,0.000
5,0.160,0.140,0.180,0.000,0.000
6,0.200,0.180,0.220,0.000,0.000
7,0.240,0.220,0.260,0.000,0.000
8,0.280,0.260,0.300,0.000,0.000
9,0.320,0.300,0.340,0.000,0.000
10,0.360,0.340,0.380,0.000,0.000
11,0.400,0.380,0.420,0.194,0.045
12,0.440,0.420,0.460,1.468,0.107
13,0.480,0.460,0.500,4.609,0.169
14,0.520,0.500,0.540,8.544,0.203
15,0.560,0.540,0.580,12.869,0.223
16,0.600,0.580,0.620,15.568,0.222
17,0.640,0.620,0.660,17.410,0.216
18,0.680,0.660,0.700,18.267,0.205
19,0.720,0.700,0.740,18.229,0.193
20,0.760,0.740,0.780,16.369,0.171
21,0.800,0.780,0.820,14.352,0.149
22,0.840,0.820,0.860,12.224,0.132
23,0.880,0.860,0.900,10.511,0.121
24,0.920,0.900,0.940,8.349,0.103
25,0.960,0.940,0.980,6.963,0.103
26,1.000,0.980,1.020,5.816,0.104
27,1.040,1.020,1.060,4.675,0.095
28,1.080,1.060,1.100,4.082,0.096
29,1.120,1.100,1.140,3.655,0.100
30,1.160,1.140,1.180,3.160,0.097
31,1.200,1.180,1.220,2.710,0.091
32,1.240,1.220,1.260,2.664,0.100
33,1.280,1.260,1.300,2.545,0.096
34,1.320,1.300,1.340,2.361,0.095
35,1.360,1.340,1.380,2.152,0.089
36,1.400,1.380,1.420,2.452,0.100
37,1.440,1.420,1.460,2.248,0.105
38,1.480,1.460,1.500,2.139,0.105
39,1.520,1.500,1.540,1.945,0.093
40,1.560,1.540,1.580,1.993,0.094
