# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{tar}   
# xbins      : 60   
# xlabel     :  Y_{tar} [cm]   
# xbin_width : 0.233 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-6.883,-7.000,-6.767,0.000,0.000
2,-6.650,-6.767,-6.533,0.000,0.000
3,-6.417,-6.533,-6.300,0.000,0.000
4,-6.183,-6.300,-6.067,0.154,0.154
5,-5.950,-6.067,-5.833,0.186,0.142
6,-5.717,-5.833,-5.600,0.000,0.000
7,-5.483,-5.600,-5.367,2.163,0.824
8,-5.250,-5.367,-5.133,2.624,0.900
9,-5.017,-5.133,-4.900,8.156,1.479
10,-4.783,-4.900,-4.667,13.741,1.966
11,-4.550,-4.667,-4.433,36.542,3.087
12,-4.317,-4.433,-4.200,53.396,3.334
13,-4.083,-4.200,-3.967,116.411,4.576
14,-3.850,-3.967,-3.733,181.642,5.644
15,-3.617,-3.733,-3.500,206.094,5.832
16,-3.383,-3.500,-3.267,221.339,6.201
17,-3.150,-3.267,-3.033,231.457,6.327
18,-2.917,-3.033,-2.800,244.154,6.633
19,-2.683,-2.800,-2.567,250.093,6.534
20,-2.450,-2.567,-2.333,245.238,6.462
21,-2.217,-2.333,-2.100,250.164,6.379
22,-1.983,-2.100,-1.867,243.116,6.287
23,-1.750,-1.867,-1.633,242.167,6.297
24,-1.517,-1.633,-1.400,242.228,6.186
25,-1.283,-1.400,-1.167,231.583,5.917
26,-1.050,-1.167,-0.933,245.983,6.206
27,-0.817,-0.933,-0.700,230.404,5.965
28,-0.583,-0.700,-0.467,228.107,5.932
29,-0.350,-0.467,-0.233,209.789,5.430
30,-0.117,-0.233,0.000,214.810,5.325
31,0.117,0.000,0.233,201.809,5.294
32,0.350,0.233,0.467,192.275,4.972
33,0.583,0.467,0.700,186.542,5.012
34,0.817,0.700,0.933,181.238,4.955
35,1.050,0.933,1.167,168.054,4.536
36,1.283,1.167,1.400,157.770,4.310
37,1.517,1.400,1.633,150.597,4.054
38,1.750,1.633,1.867,142.998,4.004
39,1.983,1.867,2.100,129.427,3.756
40,2.217,2.100,2.333,122.005,3.615
41,2.450,2.333,2.567,117.793,3.476
42,2.683,2.567,2.800,108.855,3.182
43,2.917,2.800,3.033,108.870,3.371
44,3.150,3.033,3.267,101.657,3.269
45,3.383,3.267,3.500,85.273,2.769
46,3.617,3.500,3.733,81.379,2.684
47,3.850,3.733,3.967,71.948,2.539
48,4.083,3.967,4.200,58.947,2.218
49,4.317,4.200,4.433,32.809,1.777
50,4.550,4.433,4.667,19.158,1.393
51,4.783,4.667,4.900,8.645,0.998
52,5.017,4.900,5.133,5.029,0.800
53,5.250,5.133,5.367,3.383,0.632
54,5.483,5.367,5.600,1.727,0.504
55,5.717,5.600,5.833,0.355,0.138
56,5.950,5.833,6.067,0.354,0.249
57,6.183,6.067,6.300,0.182,0.140
58,6.417,6.300,6.533,0.060,0.060
59,6.650,6.533,6.767,0.063,0.063
60,6.883,6.767,7.000,0.011,0.011
