# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.067,0.067
7,-7.833,-8.000,-7.667,5.368,5.292
8,-7.500,-7.667,-7.333,0.658,0.534
9,-7.167,-7.333,-7.000,8.311,4.174
10,-6.833,-7.000,-6.667,6.267,2.548
11,-6.500,-6.667,-6.333,12.849,3.822
12,-6.167,-6.333,-6.000,48.498,9.517
13,-5.833,-6.000,-5.667,109.150,14.827
14,-5.500,-5.667,-5.333,212.054,16.952
15,-5.167,-5.333,-5.000,605.663,30.102
16,-4.833,-5.000,-4.667,1236.764,39.700
17,-4.500,-4.667,-4.333,1581.875,44.008
18,-4.167,-4.333,-4.000,1592.795,41.535
19,-3.833,-4.000,-3.667,1782.165,47.729
20,-3.500,-3.667,-3.333,1736.116,45.436
21,-3.167,-3.333,-3.000,1809.965,45.179
22,-2.833,-3.000,-2.667,1675.806,42.381
23,-2.500,-2.667,-2.333,1833.580,43.812
24,-2.167,-2.333,-2.000,1811.544,44.780
25,-1.833,-2.000,-1.667,1788.352,41.354
26,-1.500,-1.667,-1.333,1770.749,42.365
27,-1.167,-1.333,-1.000,1770.136,42.110
28,-0.833,-1.000,-0.667,1797.404,40.685
29,-0.500,-0.667,-0.333,1734.953,40.665
30,-0.167,-0.333,0.000,1707.847,38.623
31,0.167,0.000,0.333,1709.057,37.120
32,0.500,0.333,0.667,1637.800,37.351
33,0.833,0.667,1.000,1590.103,34.691
34,1.167,1.000,1.333,1485.713,33.693
35,1.500,1.333,1.667,1461.293,33.852
36,1.833,1.667,2.000,1312.566,29.921
37,2.167,2.000,2.333,1357.246,30.501
38,2.500,2.333,2.667,1315.438,29.836
39,2.833,2.667,3.000,1246.013,28.679
40,3.167,3.000,3.333,1176.563,27.065
41,3.500,3.333,3.667,1102.630,26.203
42,3.833,3.667,4.000,1081.224,25.811
43,4.167,4.000,4.333,996.595,23.358
44,4.500,4.333,4.667,875.630,22.386
45,4.833,4.667,5.000,706.465,20.300
46,5.167,5.000,5.333,384.748,15.657
47,5.500,5.333,5.667,130.387,11.165
48,5.833,5.667,6.000,50.648,5.707
49,6.167,6.000,6.333,25.510,4.201
50,6.500,6.333,6.667,9.137,2.327
51,6.833,6.667,7.000,3.236,1.985
52,7.167,7.000,7.333,1.335,0.835
53,7.500,7.333,7.667,0.682,0.647
54,7.833,7.667,8.000,0.422,0.333
55,8.167,8.000,8.333,0.922,0.922
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
