# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 60   
# xlabel     :  nuclear missing energy, E_{m} [GeV]   
# xbin_width : 0.004 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.046,0.000,0.000
2,-0.044,-0.046,-0.042,0.000,0.000
3,-0.040,-0.042,-0.038,0.000,0.000
4,-0.035,-0.038,-0.033,0.000,0.000
5,-0.031,-0.033,-0.029,0.000,0.000
6,-0.027,-0.029,-0.025,0.000,0.000
7,-0.023,-0.025,-0.021,0.174,0.174
8,-0.019,-0.021,-0.017,1.416,0.646
9,-0.015,-0.017,-0.013,7.892,1.833
10,-0.010,-0.013,-0.008,54.642,6.424
11,-0.006,-0.008,-0.004,274.158,13.718
12,-0.002,-0.004,0.000,1399.318,33.753
13,0.002,0.000,0.004,4291.323,58.322
14,0.006,0.004,0.008,7127.927,72.700
15,0.010,0.008,0.012,6021.206,68.640
16,0.015,0.012,0.017,3056.246,50.015
17,0.019,0.017,0.021,1426.054,32.517
18,0.023,0.021,0.025,850.380,25.624
19,0.027,0.025,0.029,662.924,23.624
20,0.031,0.029,0.033,543.978,21.287
21,0.035,0.033,0.037,452.552,19.077
22,0.040,0.037,0.042,401.114,18.564
23,0.044,0.042,0.046,359.781,16.468
24,0.048,0.046,0.050,336.415,16.294
25,0.052,0.050,0.054,291.802,13.459
26,0.056,0.054,0.058,278.822,14.968
27,0.060,0.058,0.062,272.673,16.385
28,0.065,0.062,0.067,246.108,12.790
29,0.069,0.067,0.071,238.730,13.079
30,0.073,0.071,0.075,217.002,12.567
31,0.077,0.075,0.079,186.968,11.053
32,0.081,0.079,0.083,193.327,11.666
33,0.085,0.083,0.088,162.133,10.375
34,0.090,0.088,0.092,157.787,10.039
35,0.094,0.092,0.096,169.210,13.554
36,0.098,0.096,0.100,147.482,9.694
37,0.102,0.100,0.104,145.181,10.148
38,0.106,0.104,0.108,169.289,12.732
39,0.110,0.108,0.113,148.690,10.354
40,0.115,0.113,0.117,135.469,10.266
41,0.119,0.117,0.121,147.472,12.811
42,0.123,0.121,0.125,112.839,8.398
43,0.127,0.125,0.129,135.139,10.684
44,0.131,0.129,0.133,130.430,10.004
45,0.135,0.133,0.138,100.835,8.984
46,0.140,0.138,0.142,103.473,7.492
47,0.144,0.142,0.146,107.948,8.258
48,0.148,0.146,0.150,99.427,7.388
49,0.152,0.150,0.154,93.737,7.603
50,0.156,0.154,0.158,116.398,9.137
51,0.160,0.158,0.162,106.433,8.758
52,0.165,0.162,0.167,105.386,9.023
53,0.169,0.167,0.171,84.135,6.976
54,0.173,0.171,0.175,102.553,9.653
55,0.177,0.175,0.179,91.523,7.298
56,0.181,0.179,0.183,93.751,6.946
57,0.185,0.183,0.188,97.904,9.322
58,0.190,0.188,0.192,89.503,7.457
59,0.194,0.192,0.196,67.038,5.575
60,0.198,0.196,0.200,86.715,10.119
