# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.025 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.013,0.000,0.025,45.652,8.023
2,0.038,0.025,0.050,88.800,12.283
3,0.062,0.050,0.075,195.015,22.894
4,0.088,0.075,0.100,253.964,24.287
5,0.113,0.100,0.125,344.841,26.623
6,0.138,0.125,0.150,369.104,25.743
7,0.163,0.150,0.175,488.015,33.014
8,0.188,0.175,0.200,504.715,27.888
9,0.213,0.200,0.225,579.775,32.424
10,0.237,0.225,0.250,707.278,39.756
11,0.263,0.250,0.275,779.451,45.416
12,0.288,0.275,0.300,874.471,45.113
13,0.312,0.300,0.325,915.520,43.650
14,0.338,0.325,0.350,1012.922,46.402
15,0.363,0.350,0.375,1010.736,42.550
16,0.388,0.375,0.400,1144.199,52.429
17,0.413,0.400,0.425,1252.031,55.821
18,0.438,0.425,0.450,1443.416,63.025
19,0.463,0.450,0.475,1323.919,47.665
20,0.488,0.475,0.500,1387.978,50.331
21,0.512,0.500,0.525,1460.854,52.632
22,0.538,0.525,0.550,1452.370,49.564
23,0.562,0.550,0.575,1564.294,56.167
24,0.588,0.575,0.600,1589.648,52.752
25,0.613,0.600,0.625,1541.427,50.493
26,0.637,0.625,0.650,1532.114,47.885
27,0.663,0.650,0.675,1441.663,42.266
28,0.688,0.675,0.700,1435.931,41.423
29,0.713,0.700,0.725,1406.239,42.744
30,0.738,0.725,0.750,1373.806,38.854
31,0.762,0.750,0.775,1378.557,40.071
32,0.788,0.775,0.800,1341.467,39.746
33,0.812,0.800,0.825,1315.563,39.140
34,0.838,0.825,0.850,1274.424,39.511
35,0.863,0.850,0.875,1252.679,38.235
36,0.887,0.875,0.900,1234.927,36.671
37,0.913,0.900,0.925,1120.861,30.968
38,0.938,0.925,0.950,1096.619,31.328
39,0.963,0.950,0.975,1019.675,34.529
40,0.988,0.975,1.000,1005.864,32.026
41,1.013,1.000,1.025,961.081,32.733
42,1.038,1.025,1.050,956.030,31.421
43,1.062,1.050,1.075,951.262,31.669
44,1.087,1.075,1.100,831.463,29.817
45,1.113,1.100,1.125,810.813,34.728
46,1.138,1.125,1.150,759.093,29.531
47,1.163,1.150,1.175,698.088,27.123
48,1.188,1.175,1.200,739.594,36.852
49,1.213,1.200,1.225,664.902,28.390
50,1.238,1.225,1.250,580.885,23.874
51,1.263,1.250,1.275,609.758,26.278
52,1.288,1.275,1.300,620.400,31.682
53,1.312,1.300,1.325,558.454,29.660
54,1.338,1.325,1.350,528.458,31.093
55,1.363,1.350,1.375,541.950,29.122
56,1.388,1.375,1.400,512.837,26.607
57,1.413,1.400,1.425,515.740,35.411
58,1.438,1.425,1.450,501.143,34.534
59,1.463,1.450,1.475,509.930,39.926
60,1.488,1.475,1.500,427.932,23.811
61,1.513,1.500,1.525,446.621,26.535
62,1.538,1.525,1.550,399.852,25.553
63,1.562,1.550,1.575,455.301,31.139
64,1.588,1.575,1.600,437.430,25.888
65,1.613,1.600,1.625,410.404,25.835
66,1.638,1.625,1.650,363.468,24.159
67,1.663,1.650,1.675,334.125,19.031
68,1.688,1.675,1.700,361.251,20.743
69,1.713,1.700,1.725,396.884,24.824
70,1.738,1.725,1.750,324.770,19.591
71,1.763,1.750,1.775,372.249,21.594
72,1.788,1.775,1.800,351.818,21.900
73,1.812,1.800,1.825,341.789,20.800
74,1.838,1.825,1.850,367.077,24.432
75,1.863,1.850,1.875,364.910,26.706
76,1.888,1.875,1.900,318.458,20.503
77,1.913,1.900,1.925,291.556,19.998
78,1.938,1.925,1.950,333.720,33.367
79,1.963,1.950,1.975,285.281,24.321
80,1.988,1.975,2.000,297.771,22.252
81,2.013,2.000,2.025,284.596,23.620
82,2.038,2.025,2.050,260.931,23.154
83,2.062,2.050,2.075,271.918,21.695
84,2.088,2.075,2.100,246.271,21.498
85,2.112,2.100,2.125,203.339,19.567
86,2.138,2.125,2.150,187.919,16.812
87,2.163,2.150,2.175,186.439,17.302
88,2.188,2.175,2.200,146.188,14.143
89,2.213,2.200,2.225,161.742,24.593
90,2.237,2.225,2.250,96.040,14.169
91,2.263,2.250,2.275,69.563,8.990
92,2.288,2.275,2.300,73.591,19.164
93,2.312,2.300,2.325,26.068,5.093
94,2.338,2.325,2.350,21.246,5.250
95,2.362,2.350,2.375,9.318,4.743
96,2.388,2.375,2.400,0.971,0.971
97,2.413,2.400,2.425,0.000,0.000
98,2.438,2.425,2.450,0.000,0.000
99,2.463,2.450,2.475,0.000,0.000
100,2.487,2.475,2.500,0.000,0.000
