# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS  X_{fp} vs. Y_{fp} 
# ybins      : 60 
# ylabel     :  X_{fp} [cm] 
# xbins      : 60 
# xlabel     :  Y_{fp} [cm] 
# ybin_width : 0.417 
# xbin_width : 0.333 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     63,         1,         1,      -9.83333,       -10,  -9.66667,    -9.79167,       -10,    -9.58333,   0.0037868,    0.00138849
     64,         2,         1,          -9.5,  -9.66667,  -9.33333,    -9.79167,       -10,    -9.58333,   0.0135901,     0.0047898
     65,         3,         1,      -9.16667,  -9.33333,        -9,    -9.79167,       -10,    -9.58333,   0.0147328,    0.00431941
     66,         4,         1,      -8.83333,        -9,  -8.66667,    -9.79167,       -10,    -9.58333,   0.0145419,    0.00388579
     67,         5,         1,          -8.5,  -8.66667,  -8.33333,    -9.79167,       -10,    -9.58333,   0.0142954,    0.00397078
     68,         6,         1,      -8.16667,  -8.33333,        -8,    -9.79167,       -10,    -9.58333,   0.0146326,    0.00347472
     69,         7,         1,      -7.83333,        -8,  -7.66667,    -9.79167,       -10,    -9.58333,   0.0298331,    0.00786989
     70,         8,         1,          -7.5,  -7.66667,  -7.33333,    -9.79167,       -10,    -9.58333,   0.0205142,    0.00528317
     71,         9,         1,      -7.16667,  -7.33333,        -7,    -9.79167,       -10,    -9.58333,   0.0160197,     0.0038497
     72,        10,         1,      -6.83333,        -7,  -6.66667,    -9.79167,       -10,    -9.58333,   0.0164714,    0.00498911
     73,        11,         1,          -6.5,  -6.66667,  -6.33333,    -9.79167,       -10,    -9.58333,    0.011736,    0.00297945
     74,        12,         1,      -6.16667,  -6.33333,        -6,    -9.79167,       -10,    -9.58333,   0.0269325,    0.00655094
     75,        13,         1,      -5.83333,        -6,  -5.66667,    -9.79167,       -10,    -9.58333,   0.0141397,    0.00423308
     76,        14,         1,          -5.5,  -5.66667,  -5.33333,    -9.79167,       -10,    -9.58333,   0.0212541,    0.00464378
     77,        15,         1,      -5.16667,  -5.33333,        -5,    -9.79167,       -10,    -9.58333,   0.0236668,    0.00540455
     78,        16,         1,      -4.83333,        -5,  -4.66667,    -9.79167,       -10,    -9.58333,   0.0313761,    0.00670584
     79,        17,         1,          -4.5,  -4.66667,  -4.33333,    -9.79167,       -10,    -9.58333,   0.0216776,    0.00584413
     80,        18,         1,      -4.16667,  -4.33333,        -4,    -9.79167,       -10,    -9.58333,   0.0293615,     0.0071163
     81,        19,         1,      -3.83333,        -4,  -3.66667,    -9.79167,       -10,    -9.58333,   0.0356038,    0.00807659
     82,        20,         1,          -3.5,  -3.66667,  -3.33333,    -9.79167,       -10,    -9.58333,   0.0261504,    0.00513293
     83,        21,         1,      -3.16667,  -3.33333,        -3,    -9.79167,       -10,    -9.58333,   0.0252609,    0.00571589
     84,        22,         1,      -2.83333,        -3,  -2.66667,    -9.79167,       -10,    -9.58333,   0.0260418,    0.00583187
     85,        23,         1,          -2.5,  -2.66667,  -2.33333,    -9.79167,       -10,    -9.58333,    0.043517,    0.00986279
     86,        24,         1,      -2.16667,  -2.33333,        -2,    -9.79167,       -10,    -9.58333,   0.0312657,    0.00613589
     87,        25,         1,      -1.83333,        -2,  -1.66667,    -9.79167,       -10,    -9.58333,   0.0294038,    0.00647197
     88,        26,         1,          -1.5,  -1.66667,  -1.33333,    -9.79167,       -10,    -9.58333,   0.0335862,    0.00639593
     89,        27,         1,      -1.16667,  -1.33333,        -1,    -9.79167,       -10,    -9.58333,   0.0306286,     0.0065232
     90,        28,         1,     -0.833333,        -1, -0.666667,    -9.79167,       -10,    -9.58333,   0.0329139,    0.00688009
     91,        29,         1,          -0.5, -0.666667, -0.333333,    -9.79167,       -10,    -9.58333,   0.0206372,    0.00455855
     92,        30,         1,     -0.166667, -0.333333,         0,    -9.79167,       -10,    -9.58333,   0.0333763,    0.00745343
     93,        31,         1,      0.166667,         0,  0.333333,    -9.79167,       -10,    -9.58333,   0.0228529,    0.00485984
     94,        32,         1,           0.5,  0.333333,  0.666667,    -9.79167,       -10,    -9.58333,   0.0303889,    0.00651536
     95,        33,         1,      0.833333,  0.666667,         1,    -9.79167,       -10,    -9.58333,   0.0260385,    0.00672076
     96,        34,         1,       1.16667,         1,   1.33333,    -9.79167,       -10,    -9.58333,   0.0319388,    0.00728633
     97,        35,         1,           1.5,   1.33333,   1.66667,    -9.79167,       -10,    -9.58333,   0.0293106,    0.00558582
     98,        36,         1,       1.83333,   1.66667,         2,    -9.79167,       -10,    -9.58333,   0.0205662,    0.00454404
     99,        37,         1,       2.16667,         2,   2.33333,    -9.79167,       -10,    -9.58333,   0.0156567,    0.00437953
    100,        38,         1,           2.5,   2.33333,   2.66667,    -9.79167,       -10,    -9.58333,    0.017734,    0.00517347
    101,        39,         1,       2.83333,   2.66667,         3,    -9.79167,       -10,    -9.58333,   0.0192794,     0.0058482
    102,        40,         1,       3.16667,         3,   3.33333,    -9.79167,       -10,    -9.58333,   0.0161985,    0.00469697
    103,        41,         1,           3.5,   3.33333,   3.66667,    -9.79167,       -10,    -9.58333,    0.024306,    0.00564405
    104,        42,         1,       3.83333,   3.66667,         4,    -9.79167,       -10,    -9.58333,  0.00961129,    0.00300104
    105,        43,         1,       4.16667,         4,   4.33333,    -9.79167,       -10,    -9.58333,   0.0124921,    0.00360294
    106,        44,         1,           4.5,   4.33333,   4.66667,    -9.79167,       -10,    -9.58333,   0.0180625,    0.00479138
    107,        45,         1,       4.83333,   4.66667,         5,    -9.79167,       -10,    -9.58333,  0.00728355,    0.00319377
    108,        46,         1,       5.16667,         5,   5.33333,    -9.79167,       -10,    -9.58333,  0.00693181,    0.00285723
    109,        47,         1,           5.5,   5.33333,   5.66667,    -9.79167,       -10,    -9.58333,   0.0046936,    0.00206884
    110,        48,         1,       5.83333,   5.66667,         6,    -9.79167,       -10,    -9.58333,    0.010559,    0.00312655
    111,        49,         1,       6.16667,         6,   6.33333,    -9.79167,       -10,    -9.58333,  0.00301305,     0.0019565
    112,        50,         1,           6.5,   6.33333,   6.66667,    -9.79167,       -10,    -9.58333,  0.00253514,    0.00165604
    113,        51,         1,       6.83333,   6.66667,         7,    -9.79167,       -10,    -9.58333,  0.00389947,    0.00190201
    114,        52,         1,       7.16667,         7,   7.33333,    -9.79167,       -10,    -9.58333, 0.000343907,   0.000249069
    115,        53,         1,           7.5,   7.33333,   7.66667,    -9.79167,       -10,    -9.58333, 0.000458263,   0.000340939
    116,        54,         1,       7.83333,   7.66667,         8,    -9.79167,       -10,    -9.58333,  0.00115969,   0.000769932
    117,        55,         1,       8.16667,         8,   8.33333,    -9.79167,       -10,    -9.58333, 0.000188293,   0.000188293
    118,        56,         1,           8.5,   8.33333,   8.66667,    -9.79167,       -10,    -9.58333,           0,             0
    119,        57,         1,       8.83333,   8.66667,         9,    -9.79167,       -10,    -9.58333, 0.000228987,   0.000228987
    120,        58,         1,       9.16667,         9,   9.33333,    -9.79167,       -10,    -9.58333,           0,             0
    121,        59,         1,           9.5,   9.33333,   9.66667,    -9.79167,       -10,    -9.58333,           0,             0
    122,        60,         1,       9.83333,   9.66667,        10,    -9.79167,       -10,    -9.58333,           0,             0
    125,         1,         2,      -9.83333,       -10,  -9.66667,      -9.375,  -9.58333,    -9.16667,  0.00972268,    0.00412414
    126,         2,         2,          -9.5,  -9.66667,  -9.33333,      -9.375,  -9.58333,    -9.16667,   0.0148204,    0.00476138
    127,         3,         2,      -9.16667,  -9.33333,        -9,      -9.375,  -9.58333,    -9.16667,   0.0159379,    0.00762455
    128,         4,         2,      -8.83333,        -9,  -8.66667,      -9.375,  -9.58333,    -9.16667,   0.0248839,    0.00597825
    129,         5,         2,          -8.5,  -8.66667,  -8.33333,      -9.375,  -9.58333,    -9.16667,   0.0132941,    0.00453871
    130,         6,         2,      -8.16667,  -8.33333,        -8,      -9.375,  -9.58333,    -9.16667,    0.016513,    0.00447364
    131,         7,         2,      -7.83333,        -8,  -7.66667,      -9.375,  -9.58333,    -9.16667,   0.0270462,    0.00687708
    132,         8,         2,          -7.5,  -7.66667,  -7.33333,      -9.375,  -9.58333,    -9.16667,    0.018397,    0.00438578
    133,         9,         2,      -7.16667,  -7.33333,        -7,      -9.375,  -9.58333,    -9.16667,   0.0109317,     0.0033551
    134,        10,         2,      -6.83333,        -7,  -6.66667,      -9.375,  -9.58333,    -9.16667,   0.0257673,    0.00776991
    135,        11,         2,          -6.5,  -6.66667,  -6.33333,      -9.375,  -9.58333,    -9.16667,   0.0303523,    0.00602799
    136,        12,         2,      -6.16667,  -6.33333,        -6,      -9.375,  -9.58333,    -9.16667,   0.0235328,    0.00459148
    137,        13,         2,      -5.83333,        -6,  -5.66667,      -9.375,  -9.58333,    -9.16667,   0.0314948,    0.00632629
