# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.001,0.000
7,-0.047,-0.048,-0.046,0.001,0.000
8,-0.045,-0.046,-0.044,0.002,0.000
9,-0.043,-0.044,-0.042,0.005,0.000
10,-0.041,-0.042,-0.040,0.007,0.000
11,-0.039,-0.040,-0.038,0.013,0.001
12,-0.037,-0.038,-0.036,0.022,0.001
13,-0.035,-0.036,-0.034,0.033,0.001
14,-0.033,-0.034,-0.032,0.045,0.002
15,-0.031,-0.032,-0.030,0.067,0.002
16,-0.029,-0.030,-0.028,0.090,0.003
17,-0.027,-0.028,-0.026,0.125,0.004
18,-0.025,-0.026,-0.024,0.167,0.005
19,-0.023,-0.024,-0.022,0.237,0.007
20,-0.021,-0.022,-0.020,0.289,0.008
21,-0.019,-0.020,-0.018,0.440,0.011
22,-0.017,-0.018,-0.016,0.546,0.014
23,-0.015,-0.016,-0.014,0.692,0.017
24,-0.013,-0.014,-0.012,0.874,0.021
25,-0.011,-0.012,-0.010,0.989,0.025
26,-0.009,-0.010,-0.008,1.180,0.029
27,-0.007,-0.008,-0.006,1.290,0.032
28,-0.005,-0.006,-0.004,1.506,0.038
29,-0.003,-0.004,-0.002,1.712,0.042
30,-0.001,-0.002,0.000,1.831,0.046
31,0.001,0.000,0.002,1.950,0.050
32,0.003,0.002,0.004,2.118,0.053
33,0.005,0.004,0.006,2.335,0.059
34,0.007,0.006,0.008,2.464,0.064
35,0.009,0.008,0.010,2.639,0.069
36,0.011,0.010,0.012,2.592,0.067
37,0.013,0.012,0.014,2.669,0.070
38,0.015,0.014,0.016,2.641,0.072
39,0.017,0.016,0.018,2.597,0.072
40,0.019,0.018,0.020,2.575,0.073
41,0.021,0.020,0.022,2.474,0.071
42,0.023,0.022,0.024,2.298,0.067
43,0.025,0.024,0.026,2.180,0.065
44,0.027,0.026,0.028,1.905,0.059
45,0.029,0.028,0.030,1.637,0.052
46,0.031,0.030,0.032,1.337,0.044
47,0.033,0.032,0.034,1.188,0.042
48,0.035,0.034,0.036,0.955,0.035
49,0.037,0.036,0.038,0.680,0.027
50,0.039,0.038,0.040,0.446,0.021
51,0.041,0.040,0.042,0.292,0.017
52,0.043,0.042,0.044,0.104,0.010
53,0.045,0.044,0.046,0.022,0.004
54,0.047,0.046,0.048,0.001,0.001
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
