# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.833 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-24.583,-25.000,-24.167,0.246,0.228
2,-23.750,-24.167,-23.333,0.551,0.243
3,-22.917,-23.333,-22.500,0.708,0.245
4,-22.083,-22.500,-21.667,3.793,0.734
5,-21.250,-21.667,-20.833,2.848,0.495
6,-20.417,-20.833,-20.000,4.312,0.689
7,-19.583,-20.000,-19.167,5.357,0.752
8,-18.750,-19.167,-18.333,8.694,0.900
9,-17.917,-18.333,-17.500,12.620,1.085
10,-17.083,-17.500,-16.667,13.895,1.088
11,-16.250,-16.667,-15.833,15.628,1.093
12,-15.417,-15.833,-15.000,20.582,1.259
13,-14.583,-15.000,-14.167,22.450,1.360
14,-13.750,-14.167,-13.333,23.763,1.281
15,-12.917,-13.333,-12.500,28.172,1.355
16,-12.083,-12.500,-11.667,32.866,1.503
17,-11.250,-11.667,-10.833,36.852,1.547
18,-10.417,-10.833,-10.000,40.013,1.507
19,-9.583,-10.000,-9.167,42.139,1.513
20,-8.750,-9.167,-8.333,49.107,1.575
21,-7.917,-8.333,-7.500,52.547,1.594
22,-7.083,-7.500,-6.667,56.661,1.577
23,-6.250,-6.667,-5.833,56.387,1.525
24,-5.417,-5.833,-5.000,60.994,1.633
25,-4.583,-5.000,-4.167,62.222,1.578
26,-3.750,-4.167,-3.333,61.294,1.489
27,-2.917,-3.333,-2.500,61.127,1.486
28,-2.083,-2.500,-1.667,63.548,1.490
29,-1.250,-1.667,-0.833,62.501,1.435
30,-0.417,-0.833,0.000,62.581,1.391
31,0.417,0.000,0.833,63.602,1.410
32,1.250,0.833,1.667,63.157,1.359
33,2.083,1.667,2.500,62.000,1.323
34,2.917,2.500,3.333,59.883,1.264
35,3.750,3.333,4.167,58.364,1.249
36,4.583,4.167,5.000,56.147,1.187
37,5.417,5.000,5.833,51.630,1.123
38,6.250,5.833,6.667,48.579,1.061
39,7.083,6.667,7.500,44.465,0.986
40,7.917,7.500,8.333,40.876,0.970
41,8.750,8.333,9.167,34.507,0.856
42,9.583,9.167,10.000,28.613,0.830
43,10.417,10.000,10.833,24.811,0.782
44,11.250,10.833,11.667,20.534,0.732
45,12.083,11.667,12.500,16.266,0.613
46,12.917,12.500,13.333,14.926,0.620
47,13.750,13.333,14.167,12.571,0.558
48,14.583,14.167,15.000,10.060,0.493
49,15.417,15.000,15.833,8.605,0.474
50,16.250,15.833,16.667,7.118,0.445
51,17.083,16.667,17.500,5.313,0.379
52,17.917,17.500,18.333,4.131,0.325
53,18.750,18.333,19.167,3.383,0.290
54,19.583,19.167,20.000,2.688,0.291
55,20.417,20.000,20.833,1.471,0.182
56,21.250,20.833,21.667,0.967,0.144
57,22.083,21.667,22.500,0.694,0.137
58,22.917,22.500,23.333,0.006,0.002
59,23.750,23.333,24.167,0.000,0.000
60,24.583,24.167,25.000,0.000,0.000
