# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss}   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,1228.046,888.996
4,0.120,0.100,0.140,34444.891,3190.879
5,0.160,0.140,0.180,58040.785,2207.363
6,0.200,0.180,0.220,53977.852,1217.452
7,0.240,0.220,0.260,30929.643,528.260
8,0.280,0.260,0.300,16257.717,239.276
9,0.320,0.300,0.340,10690.399,140.098
10,0.360,0.340,0.380,8639.754,107.661
11,0.400,0.380,0.420,7637.581,92.984
12,0.440,0.420,0.460,6848.311,80.166
13,0.480,0.460,0.500,5787.466,66.203
14,0.520,0.500,0.540,4574.823,52.000
15,0.560,0.540,0.580,3546.510,39.461
16,0.600,0.580,0.620,2476.919,28.097
17,0.640,0.620,0.660,1731.928,19.798
18,0.680,0.660,0.700,1151.448,13.471
19,0.720,0.700,0.740,740.970,8.935
20,0.760,0.740,0.780,451.789,5.722
21,0.800,0.780,0.820,257.157,3.519
22,0.840,0.820,0.860,143.979,2.134
23,0.880,0.860,0.900,77.331,1.260
24,0.920,0.900,0.940,39.146,0.711
25,0.960,0.940,0.980,18.351,0.382
26,1.000,0.980,1.020,8.362,0.200
27,1.040,1.020,1.060,3.368,0.097
28,1.080,1.060,1.100,1.226,0.044
29,1.120,1.100,1.140,0.374,0.017
30,1.160,1.140,1.180,0.120,0.007
31,1.200,1.180,1.220,0.020,0.002
32,1.240,1.220,1.260,0.000,0.000
33,1.280,1.260,1.300,0.000,0.000
34,1.320,1.300,1.340,0.000,0.000
35,1.360,1.340,1.380,0.000,0.000
36,1.400,1.380,1.420,0.000,0.000
37,1.440,1.420,1.460,0.000,0.000
38,1.480,1.460,1.500,0.000,0.000
39,1.520,1.500,1.540,0.000,0.000
40,1.560,1.540,1.580,0.000,0.000
