# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.004,0.001
2,-0.057,-0.058,-0.056,0.013,0.002
3,-0.055,-0.056,-0.054,0.032,0.003
4,-0.053,-0.054,-0.052,0.073,0.006
5,-0.051,-0.052,-0.050,0.157,0.011
6,-0.049,-0.050,-0.048,0.287,0.017
7,-0.047,-0.048,-0.046,0.476,0.025
8,-0.045,-0.046,-0.044,0.922,0.044
9,-0.043,-0.044,-0.042,1.510,0.069
10,-0.041,-0.042,-0.040,2.345,0.093
11,-0.039,-0.040,-0.038,3.670,0.142
12,-0.037,-0.038,-0.036,5.452,0.200
13,-0.035,-0.036,-0.034,8.248,0.298
14,-0.033,-0.034,-0.032,9.912,0.353
15,-0.031,-0.032,-0.030,14.824,0.483
16,-0.029,-0.030,-0.028,20.148,0.659
17,-0.027,-0.028,-0.026,26.245,0.819
18,-0.025,-0.026,-0.024,36.120,1.093
19,-0.023,-0.024,-0.022,49.158,1.500
20,-0.021,-0.022,-0.020,65.287,1.904
21,-0.019,-0.020,-0.018,85.752,2.407
22,-0.017,-0.018,-0.016,118.177,3.290
23,-0.015,-0.016,-0.014,154.352,4.152
24,-0.013,-0.014,-0.012,202.773,5.431
25,-0.011,-0.012,-0.010,251.259,6.503
26,-0.009,-0.010,-0.008,326.894,8.297
27,-0.007,-0.008,-0.006,410.076,10.208
28,-0.005,-0.006,-0.004,484.601,11.818
29,-0.003,-0.004,-0.002,595.055,14.380
30,-0.001,-0.002,0.000,694.335,16.517
31,0.001,0.000,0.002,738.318,17.529
32,0.003,0.002,0.004,809.272,19.095
33,0.005,0.004,0.006,838.065,20.235
34,0.007,0.006,0.008,901.542,21.411
35,0.009,0.008,0.010,965.315,22.625
36,0.011,0.010,0.012,959.562,23.145
37,0.013,0.012,0.014,987.138,23.838
38,0.015,0.014,0.016,1049.915,25.198
39,0.017,0.016,0.018,997.867,24.441
40,0.019,0.018,0.020,999.822,24.470
41,0.021,0.020,0.022,1000.682,24.207
42,0.023,0.022,0.024,979.141,24.394
43,0.025,0.024,0.026,989.840,24.944
44,0.027,0.026,0.028,844.773,21.765
45,0.029,0.028,0.030,812.216,21.854
46,0.031,0.030,0.032,748.599,20.627
47,0.033,0.032,0.034,668.618,18.585
48,0.035,0.034,0.036,611.033,18.078
49,0.037,0.036,0.038,535.300,16.409
50,0.039,0.038,0.040,452.328,14.827
51,0.041,0.040,0.042,347.244,12.474
52,0.043,0.042,0.044,267.713,10.996
53,0.045,0.044,0.046,174.898,9.051
54,0.047,0.046,0.048,91.561,6.665
55,0.049,0.048,0.050,29.368,3.952
56,0.051,0.050,0.052,4.505,1.653
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
