# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.079,-0.080,-0.077,0.000,0.000
2,-0.076,-0.077,-0.075,0.000,0.000
3,-0.073,-0.075,-0.072,0.000,0.000
4,-0.071,-0.072,-0.069,0.000,0.000
5,-0.068,-0.069,-0.067,0.000,0.000
6,-0.065,-0.067,-0.064,0.000,0.000
7,-0.063,-0.064,-0.061,0.000,0.000
8,-0.060,-0.061,-0.059,318.116,178.134
9,-0.057,-0.059,-0.056,2045.944,282.165
10,-0.055,-0.056,-0.053,5873.500,908.834
11,-0.052,-0.053,-0.051,10586.130,1386.218
12,-0.049,-0.051,-0.048,10714.737,1339.997
13,-0.047,-0.048,-0.045,11058.294,1012.831
14,-0.044,-0.045,-0.043,13676.144,1195.799
15,-0.041,-0.043,-0.040,17480.818,1457.713
16,-0.039,-0.040,-0.037,17084.117,1289.870
17,-0.036,-0.037,-0.035,13177.384,824.892
18,-0.033,-0.035,-0.032,15868.575,1210.879
19,-0.031,-0.032,-0.029,14880.629,1074.870
20,-0.028,-0.029,-0.027,16483.836,1156.069
21,-0.025,-0.027,-0.024,14468.279,911.263
22,-0.023,-0.024,-0.021,11008.091,685.030
23,-0.020,-0.021,-0.019,9698.979,534.705
24,-0.017,-0.019,-0.016,8096.901,407.165
25,-0.015,-0.016,-0.013,7902.896,395.717
26,-0.012,-0.013,-0.011,6300.593,300.057
27,-0.009,-0.011,-0.008,5716.386,243.663
28,-0.007,-0.008,-0.005,5048.185,210.658
29,-0.004,-0.005,-0.003,4683.158,192.206
30,-0.001,-0.003,0.000,3777.162,114.694
31,0.001,0.000,0.003,3399.864,99.732
32,0.004,0.003,0.005,2894.068,84.004
33,0.007,0.005,0.008,2623.694,60.811
34,0.009,0.008,0.011,2261.358,46.838
35,0.012,0.011,0.013,2043.820,42.974
36,0.015,0.013,0.016,1823.419,37.001
37,0.017,0.016,0.019,1603.275,31.630
38,0.020,0.019,0.021,1386.197,28.052
39,0.023,0.021,0.024,1210.675,24.779
40,0.025,0.024,0.027,1043.695,22.019
41,0.028,0.027,0.029,835.125,18.248
42,0.031,0.029,0.032,673.401,15.638
43,0.033,0.032,0.035,552.302,13.311
44,0.036,0.035,0.037,443.896,11.384
45,0.039,0.037,0.040,320.672,8.932
46,0.041,0.040,0.043,244.647,7.289
47,0.044,0.043,0.045,170.201,5.750
48,0.047,0.045,0.048,115.485,4.433
49,0.049,0.048,0.051,70.407,3.203
50,0.052,0.051,0.053,30.765,1.958
51,0.055,0.053,0.056,10.062,0.985
52,0.057,0.056,0.059,0.391,0.218
53,0.060,0.059,0.061,0.000,0.000
54,0.063,0.061,0.064,0.000,0.000
55,0.065,0.064,0.067,0.000,0.000
56,0.068,0.067,0.069,0.000,0.000
57,0.071,0.069,0.072,0.000,0.000
58,0.073,0.072,0.075,0.000,0.000
59,0.076,0.075,0.077,0.000,0.000
60,0.079,0.077,0.080,0.000,0.000
