# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.833 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-24.583,-25.000,-24.167,6.960,3.640
2,-23.750,-24.167,-23.333,12.373,4.282
3,-22.917,-23.333,-22.500,21.204,5.817
4,-22.083,-22.500,-21.667,46.113,7.663
5,-21.250,-21.667,-20.833,50.150,7.964
6,-20.417,-20.833,-20.000,78.878,10.514
7,-19.583,-20.000,-19.167,101.598,10.981
8,-18.750,-19.167,-18.333,165.915,15.839
9,-17.917,-18.333,-17.500,169.570,14.273
10,-17.083,-17.500,-16.667,260.981,18.759
11,-16.250,-16.667,-15.833,310.039,18.594
12,-15.417,-15.833,-15.000,322.686,19.222
13,-14.583,-15.000,-14.167,375.307,20.174
14,-13.750,-14.167,-13.333,411.903,20.203
15,-12.917,-13.333,-12.500,464.382,21.591
16,-12.083,-12.500,-11.667,522.328,21.532
17,-11.250,-11.667,-10.833,607.037,22.623
18,-10.417,-10.833,-10.000,628.988,22.509
19,-9.583,-10.000,-9.167,697.251,23.518
20,-8.750,-9.167,-8.333,765.891,23.674
21,-7.917,-8.333,-7.500,792.998,22.900
22,-7.083,-7.500,-6.667,832.306,22.667
23,-6.250,-6.667,-5.833,912.664,23.968
24,-5.417,-5.833,-5.000,913.640,23.035
25,-4.583,-5.000,-4.167,983.956,23.881
26,-3.750,-4.167,-3.333,986.199,23.157
27,-2.917,-3.333,-2.500,970.863,22.816
28,-2.083,-2.500,-1.667,974.202,22.213
29,-1.250,-1.667,-0.833,974.364,21.744
30,-0.417,-0.833,0.000,991.766,22.030
31,0.417,0.000,0.833,959.036,21.119
32,1.250,0.833,1.667,912.001,20.195
33,2.083,1.667,2.500,925.332,20.173
34,2.917,2.500,3.333,869.652,19.228
35,3.750,3.333,4.167,843.305,18.626
36,4.583,4.167,5.000,796.348,17.777
37,5.417,5.000,5.833,732.418,16.728
38,6.250,5.833,6.667,695.936,16.273
39,7.083,6.667,7.500,621.606,15.567
40,7.917,7.500,8.333,511.653,14.087
41,8.750,8.333,9.167,449.486,13.558
42,9.583,9.167,10.000,411.852,13.092
43,10.417,10.000,10.833,356.112,12.284
44,11.250,10.833,11.667,325.073,12.053
45,12.083,11.667,12.500,276.253,10.924
46,12.917,12.500,13.333,228.464,9.992
47,13.750,13.333,14.167,196.133,9.394
48,14.583,14.167,15.000,191.732,9.480
49,15.417,15.000,15.833,147.172,8.101
50,16.250,15.833,16.667,130.679,7.925
51,17.083,16.667,17.500,98.343,6.706
52,17.917,17.500,18.333,86.208,6.821
53,18.750,18.333,19.167,73.753,6.212
54,19.583,19.167,20.000,54.041,5.245
55,20.417,20.000,20.833,35.956,4.400
56,21.250,20.833,21.667,25.564,3.525
57,22.083,21.667,22.500,15.152,2.781
58,22.917,22.500,23.333,0.002,0.001
59,23.750,23.333,24.167,0.000,0.000
60,24.583,24.167,25.000,0.000,0.000
