# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.533 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.733,-10.000,-9.467,0.000,0.000
2,-9.200,-9.467,-8.933,0.000,0.000
3,-8.667,-8.933,-8.400,0.002,0.000
4,-8.133,-8.400,-7.867,0.009,0.001
5,-7.600,-7.867,-7.333,0.037,0.001
6,-7.067,-7.333,-6.800,0.093,0.003
7,-6.533,-6.800,-6.267,0.206,0.005
8,-6.000,-6.267,-5.733,0.394,0.008
9,-5.467,-5.733,-5.200,0.683,0.012
10,-4.933,-5.200,-4.667,1.065,0.018
11,-4.400,-4.667,-4.133,1.712,0.027
12,-3.867,-4.133,-3.600,2.567,0.040
13,-3.333,-3.600,-3.067,3.901,0.057
14,-2.800,-3.067,-2.533,5.612,0.081
15,-2.267,-2.533,-2.000,8.053,0.112
16,-1.733,-2.000,-1.467,10.900,0.150
17,-1.200,-1.467,-0.933,15.111,0.203
18,-0.667,-0.933,-0.400,20.655,0.271
19,-0.133,-0.400,0.133,26.480,0.350
20,0.400,0.133,0.667,34.764,0.455
21,0.933,0.667,1.200,44.567,0.581
22,1.467,1.200,1.733,57.078,0.741
23,2.000,1.733,2.267,71.010,0.922
24,2.533,2.267,2.800,90.107,1.171
25,3.067,2.800,3.333,107.864,1.422
26,3.600,3.333,3.867,138.265,1.799
27,4.133,3.867,4.400,166.153,2.190
28,4.667,4.400,4.933,202.348,2.741
29,5.200,4.933,5.467,242.333,3.346
30,5.733,5.467,6.000,278.939,4.120
31,6.267,6.000,6.533,309.978,5.165
32,6.800,6.533,7.067,301.191,6.564
33,7.333,7.067,7.600,193.005,7.533
34,7.867,7.600,8.133,35.316,4.595
35,8.400,8.133,8.667,0.000,0.000
36,8.933,8.667,9.200,0.000,0.000
37,9.467,9.200,9.733,0.000,0.000
38,10.000,9.733,10.267,0.000,0.000
39,10.533,10.267,10.800,0.000,0.000
40,11.067,10.800,11.333,0.000,0.000
41,11.600,11.333,11.867,0.000,0.000
42,12.133,11.867,12.400,0.000,0.000
43,12.667,12.400,12.933,0.000,0.000
44,13.200,12.933,13.467,0.000,0.000
45,13.733,13.467,14.000,0.000,0.000
46,14.267,14.000,14.533,0.000,0.000
47,14.800,14.533,15.067,0.000,0.000
48,15.333,15.067,15.600,0.000,0.000
49,15.867,15.600,16.133,0.000,0.000
50,16.400,16.133,16.667,0.000,0.000
51,16.933,16.667,17.200,0.000,0.000
52,17.467,17.200,17.733,0.000,0.000
53,18.000,17.733,18.267,0.000,0.000
54,18.533,18.267,18.800,0.000,0.000
55,19.067,18.800,19.333,0.000,0.000
56,19.600,19.333,19.867,0.000,0.000
57,20.133,19.867,20.400,0.000,0.000
58,20.667,20.400,20.933,0.000,0.000
59,21.200,20.933,21.467,0.000,0.000
60,21.733,21.467,22.000,0.000,0.000
