# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS z-Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.001,0.001
5,-8.500,-8.667,-8.333,0.005,0.003
6,-8.167,-8.333,-8.000,0.001,0.001
7,-7.833,-8.000,-7.667,0.013,0.005
8,-7.500,-7.667,-7.333,0.032,0.010
9,-7.167,-7.333,-7.000,0.120,0.035
10,-6.833,-7.000,-6.667,0.324,0.068
11,-6.500,-6.667,-6.333,0.712,0.102
12,-6.167,-6.333,-6.000,11.185,4.332
13,-5.833,-6.000,-5.667,47.069,7.032
14,-5.500,-5.667,-5.333,125.093,9.822
15,-5.167,-5.333,-5.000,273.751,14.740
16,-4.833,-5.000,-4.667,465.142,19.169
17,-4.500,-4.667,-4.333,611.882,24.680
18,-4.167,-4.333,-4.000,674.067,22.526
19,-3.833,-4.000,-3.667,726.536,26.028
20,-3.500,-3.667,-3.333,706.641,22.328
21,-3.167,-3.333,-3.000,748.473,23.970
22,-2.833,-3.000,-2.667,659.802,20.523
23,-2.500,-2.667,-2.333,691.540,21.962
24,-2.167,-2.333,-2.000,706.111,22.129
25,-1.833,-2.000,-1.667,695.721,22.915
26,-1.500,-1.667,-1.333,670.425,19.874
27,-1.167,-1.333,-1.000,637.790,18.506
28,-0.833,-1.000,-0.667,620.558,19.989
29,-0.500,-0.667,-0.333,627.177,19.044
30,-0.167,-0.333,0.000,568.062,16.958
31,0.167,0.000,0.333,602.252,17.549
32,0.500,0.333,0.667,553.526,16.542
33,0.833,0.667,1.000,533.630,16.053
34,1.167,1.000,1.333,505.162,14.393
35,1.500,1.333,1.667,494.891,14.780
36,1.833,1.667,2.000,451.352,11.924
37,2.167,2.000,2.333,423.894,12.371
38,2.500,2.333,2.667,414.275,11.843
39,2.833,2.667,3.000,368.027,10.854
40,3.167,3.000,3.333,372.935,10.324
41,3.500,3.333,3.667,353.455,9.738
42,3.833,3.667,4.000,332.231,9.245
43,4.167,4.000,4.333,304.766,8.808
44,4.500,4.333,4.667,272.061,8.149
45,4.833,4.667,5.000,181.264,6.478
46,5.167,5.000,5.333,101.494,4.691
47,5.500,5.333,5.667,40.288,2.928
48,5.833,5.667,6.000,15.040,2.318
49,6.167,6.000,6.333,2.789,1.030
50,6.500,6.333,6.667,1.136,1.026
51,6.833,6.667,7.000,0.086,0.025
52,7.167,7.000,7.333,0.011,0.004
53,7.500,7.333,7.667,0.003,0.001
54,7.833,7.667,8.000,0.001,0.000
55,8.167,8.000,8.333,0.001,0.001
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
