# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 1.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-49.250,-50.000,-48.500,0.000,0.000
2,-47.750,-48.500,-47.000,0.000,0.000
3,-46.250,-47.000,-45.500,1.506,0.549
4,-44.750,-45.500,-44.000,43.236,2.798
5,-43.250,-44.000,-42.500,75.948,3.675
6,-41.750,-42.500,-41.000,75.989,3.568
7,-40.250,-41.000,-39.500,87.388,3.355
8,-38.750,-39.500,-38.000,101.778,3.818
9,-37.250,-38.000,-36.500,107.344,3.981
10,-35.750,-36.500,-35.000,119.683,3.714
11,-34.250,-35.000,-33.500,124.864,3.960
12,-32.750,-33.500,-32.000,147.252,4.514
13,-31.250,-32.000,-30.500,136.444,3.701
14,-29.750,-30.500,-29.000,124.148,3.281
15,-28.250,-29.000,-27.500,114.734,3.008
16,-26.750,-27.500,-26.000,108.923,2.636
17,-25.250,-26.000,-24.500,101.762,2.465
18,-23.750,-24.500,-23.000,92.392,2.176
19,-22.250,-23.000,-21.500,90.444,2.030
20,-20.750,-21.500,-20.000,77.706,1.745
21,-19.250,-20.000,-18.500,71.749,1.595
22,-17.750,-18.500,-17.000,65.278,1.416
23,-16.250,-17.000,-15.500,59.434,1.290
24,-14.750,-15.500,-14.000,51.261,1.102
25,-13.250,-14.000,-12.500,50.407,1.064
26,-11.750,-12.500,-11.000,44.190,0.939
27,-10.250,-11.000,-9.500,39.291,0.825
28,-8.750,-9.500,-8.000,36.138,0.756
29,-7.250,-8.000,-6.500,30.817,0.650
30,-5.750,-6.500,-5.000,29.201,0.611
31,-4.250,-5.000,-3.500,24.445,0.520
32,-2.750,-3.500,-2.000,21.579,0.464
33,-1.250,-2.000,-0.500,20.198,0.423
34,0.250,-0.500,1.000,16.264,0.348
35,1.750,1.000,2.500,14.117,0.315
36,3.250,2.500,4.000,12.395,0.272
37,4.750,4.000,5.500,9.733,0.220
38,6.250,5.500,7.000,8.355,0.197
39,7.750,7.000,8.500,7.120,0.166
40,9.250,8.500,10.000,5.839,0.144
41,10.750,10.000,11.500,4.585,0.118
42,12.250,11.500,13.000,3.868,0.103
43,13.750,13.000,14.500,3.044,0.083
44,15.250,14.500,16.000,2.411,0.068
45,16.750,16.000,17.500,1.823,0.052
46,18.250,17.500,19.000,1.407,0.043
47,19.750,19.000,20.500,1.092,0.036
48,21.250,20.500,22.000,0.824,0.028
49,22.750,22.000,23.500,0.632,0.022
50,24.250,23.500,25.000,0.440,0.017
51,25.750,25.000,26.500,0.326,0.013
52,27.250,26.500,28.000,0.214,0.010
53,28.750,28.000,29.500,0.157,0.008
54,30.250,29.500,31.000,0.099,0.006
55,31.750,31.000,32.500,0.057,0.004
56,33.250,32.500,34.000,0.034,0.002
57,34.750,34.000,35.500,0.021,0.002
58,36.250,35.500,37.000,0.009,0.001
59,37.750,37.000,38.500,0.004,0.001
60,39.250,38.500,40.000,0.002,0.000
