# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.000,0.000
9,-0.043,-0.044,-0.042,0.000,0.000
10,-0.041,-0.042,-0.040,0.000,0.000
11,-0.039,-0.040,-0.038,0.000,0.000
12,-0.037,-0.038,-0.036,0.000,0.000
13,-0.035,-0.036,-0.034,0.004,0.000
14,-0.033,-0.034,-0.032,0.020,0.002
15,-0.031,-0.032,-0.030,0.041,0.003
16,-0.029,-0.030,-0.028,0.081,0.005
17,-0.027,-0.028,-0.026,0.130,0.007
18,-0.025,-0.026,-0.024,0.226,0.010
19,-0.023,-0.024,-0.022,0.393,0.017
20,-0.021,-0.022,-0.020,0.613,0.023
21,-0.019,-0.020,-0.018,0.963,0.034
22,-0.017,-0.018,-0.016,1.607,0.053
23,-0.015,-0.016,-0.014,2.583,0.075
24,-0.013,-0.014,-0.012,4.609,0.128
25,-0.011,-0.012,-0.010,8.220,0.206
26,-0.009,-0.010,-0.008,14.967,0.358
27,-0.007,-0.008,-0.006,31.088,0.708
28,-0.005,-0.006,-0.004,78.137,1.678
29,-0.003,-0.004,-0.002,215.670,4.653
30,-0.001,-0.002,0.000,381.361,6.773
31,0.001,0.000,0.002,458.588,6.728
32,0.003,0.002,0.004,407.737,5.781
33,0.005,0.004,0.006,336.220,4.835
34,0.007,0.006,0.008,270.634,3.911
35,0.009,0.008,0.010,207.134,3.170
36,0.011,0.010,0.012,119.930,2.109
37,0.013,0.012,0.014,42.149,0.998
38,0.015,0.014,0.016,8.097,0.316
39,0.017,0.016,0.018,0.556,0.046
40,0.019,0.018,0.020,0.016,0.005
41,0.021,0.020,0.022,0.000,0.000
42,0.023,0.022,0.024,0.000,0.000
43,0.025,0.024,0.026,0.000,0.000
44,0.027,0.026,0.028,0.000,0.000
45,0.029,0.028,0.030,0.000,0.000
46,0.031,0.030,0.032,0.000,0.000
47,0.033,0.032,0.034,0.000,0.000
48,0.035,0.034,0.036,0.000,0.000
49,0.037,0.036,0.038,0.000,0.000
50,0.039,0.038,0.040,0.000,0.000
51,0.041,0.040,0.042,0.000,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
