# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 0.417 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.792,-10.000,-9.583,0.526,0.017
2,-9.375,-9.583,-9.167,0.561,0.018
3,-8.958,-9.167,-8.750,0.659,0.021
4,-8.542,-8.750,-8.333,0.745,0.023
5,-8.125,-8.333,-7.917,0.846,0.026
6,-7.708,-7.917,-7.500,0.986,0.029
7,-7.292,-7.500,-7.083,1.112,0.032
8,-6.875,-7.083,-6.667,1.282,0.036
9,-6.458,-6.667,-6.250,1.494,0.041
10,-6.042,-6.250,-5.833,1.689,0.046
11,-5.625,-5.833,-5.417,1.922,0.051
12,-5.208,-5.417,-5.000,2.268,0.058
13,-4.792,-5.000,-4.583,2.647,0.066
14,-4.375,-4.583,-4.167,2.882,0.071
15,-3.958,-4.167,-3.750,3.338,0.080
16,-3.542,-3.750,-3.333,3.713,0.087
17,-3.125,-3.333,-2.917,4.250,0.098
18,-2.708,-2.917,-2.500,4.798,0.108
19,-2.292,-2.500,-2.083,5.298,0.118
20,-1.875,-2.083,-1.667,6.254,0.134
21,-1.458,-1.667,-1.250,7.255,0.155
22,-1.042,-1.250,-0.833,7.334,0.158
23,-0.625,-0.833,-0.417,9.103,0.189
24,-0.208,-0.417,0.000,9.923,0.207
25,0.208,0.000,0.417,11.346,0.233
26,0.625,0.417,0.833,12.463,0.252
27,1.042,0.833,1.250,14.252,0.285
28,1.458,1.250,1.667,15.897,0.317
29,1.875,1.667,2.083,18.199,0.356
30,2.292,2.083,2.500,20.296,0.394
31,2.708,2.500,2.917,23.082,0.448
32,3.125,2.917,3.333,25.269,0.488
33,3.542,3.333,3.750,28.265,0.538
34,3.958,3.750,4.167,31.131,0.596
35,4.375,4.167,4.583,37.607,0.692
36,4.792,4.583,5.000,41.414,0.771
37,5.208,5.000,5.417,45.417,0.850
38,5.625,5.417,5.833,49.884,0.928
39,6.042,5.833,6.250,56.485,1.059
40,6.458,6.250,6.667,63.083,1.177
41,6.875,6.667,7.083,70.707,1.328
42,7.292,7.083,7.500,77.921,1.480
43,7.708,7.500,7.917,86.825,1.678
44,8.125,7.917,8.333,90.002,1.808
45,8.542,8.333,8.750,100.558,2.095
46,8.958,8.750,9.167,101.268,2.278
47,9.375,9.167,9.583,108.251,2.650
48,9.792,9.583,10.000,109.386,2.819
49,10.208,10.000,10.417,109.181,2.941
50,10.625,10.417,10.833,105.469,3.110
51,11.042,10.833,11.250,101.126,3.425
52,11.458,11.250,11.667,100.447,3.973
53,11.875,11.667,12.083,88.055,3.717
54,12.292,12.083,12.500,77.889,3.356
55,12.708,12.500,12.917,74.049,4.277
56,13.125,12.917,13.333,65.231,4.108
57,13.542,13.333,13.750,49.244,3.690
58,13.958,13.750,14.167,41.500,3.519
59,14.375,14.167,14.583,29.493,2.949
60,14.792,14.583,15.000,18.381,2.460
