# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.151,0.151
9,-0.029,-0.029,-0.028,1.778,1.006
10,-0.027,-0.028,-0.027,5.415,1.428
11,-0.026,-0.027,-0.025,7.028,1.357
12,-0.025,-0.025,-0.024,22.734,2.999
13,-0.023,-0.024,-0.023,36.964,3.976
14,-0.022,-0.023,-0.021,44.307,3.366
15,-0.021,-0.021,-0.020,52.990,3.756
16,-0.019,-0.020,-0.019,65.942,4.152
17,-0.018,-0.019,-0.017,69.153,3.452
18,-0.017,-0.017,-0.016,83.982,3.522
19,-0.015,-0.016,-0.015,89.960,3.392
20,-0.014,-0.015,-0.013,87.476,3.000
21,-0.013,-0.013,-0.012,97.670,3.489
22,-0.011,-0.012,-0.011,98.621,2.759
23,-0.010,-0.011,-0.009,98.709,2.723
24,-0.009,-0.009,-0.008,104.353,2.633
25,-0.007,-0.008,-0.007,103.663,2.387
26,-0.006,-0.007,-0.005,99.484,2.182
27,-0.005,-0.005,-0.004,101.084,2.193
28,-0.003,-0.004,-0.003,95.947,2.067
29,-0.002,-0.003,-0.001,86.903,1.850
30,-0.001,-0.001,0.000,81.703,1.704
31,0.001,0.000,0.001,76.717,1.660
32,0.002,0.001,0.003,70.300,1.551
33,0.003,0.003,0.004,64.719,1.450
34,0.005,0.004,0.005,58.793,1.348
35,0.006,0.005,0.007,54.407,1.334
36,0.007,0.007,0.008,49.899,1.204
37,0.009,0.008,0.009,44.764,1.116
38,0.010,0.009,0.011,41.304,1.077
39,0.011,0.011,0.012,35.964,0.986
40,0.013,0.012,0.013,33.328,0.962
41,0.014,0.013,0.015,26.683,0.818
42,0.015,0.015,0.016,25.902,0.825
43,0.017,0.016,0.017,21.101,0.741
44,0.018,0.017,0.019,17.661,0.689
45,0.019,0.019,0.020,14.329,0.607
46,0.021,0.020,0.021,11.068,0.553
47,0.022,0.021,0.023,8.571,0.481
48,0.023,0.023,0.024,5.903,0.416
49,0.025,0.024,0.025,3.237,0.299
50,0.026,0.025,0.027,1.648,0.202
51,0.027,0.027,0.028,0.166,0.061
52,0.029,0.028,0.029,0.000,0.000
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
