# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle, $\theta_{rq}$ diff. (rec-vertex)   
# xbins      : 50   
# xlabel     :  in-plane angle, $\theta^{rec}$_{rq}-#theta^{vert}_{rq} [deg]   
# xbin_width : 0.400 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.800,-10.000,-9.600,0.000,0.000
2,-9.400,-9.600,-9.200,0.075,0.058
3,-9.000,-9.200,-8.800,0.171,0.091
4,-8.600,-8.800,-8.400,0.457,0.268
5,-8.200,-8.400,-8.000,0.251,0.108
6,-7.800,-8.000,-7.600,0.210,0.090
7,-7.400,-7.600,-7.200,0.417,0.133
8,-7.000,-7.200,-6.800,0.796,0.193
9,-6.600,-6.800,-6.400,0.856,0.250
10,-6.200,-6.400,-6.000,0.842,0.169
11,-5.800,-6.000,-5.600,1.597,0.301
12,-5.400,-5.600,-5.200,1.820,0.266
13,-5.000,-5.200,-4.800,2.242,0.301
14,-4.600,-4.800,-4.400,2.679,0.306
15,-4.200,-4.400,-4.000,4.670,0.373
16,-3.800,-4.000,-3.600,6.170,0.449
17,-3.400,-3.600,-3.200,9.526,0.521
18,-3.000,-3.200,-2.800,11.073,0.428
19,-2.600,-2.800,-2.400,15.192,0.520
20,-2.200,-2.400,-2.000,20.165,0.571
21,-1.800,-2.000,-1.600,25.767,0.624
22,-1.400,-1.600,-1.200,31.710,0.821
23,-1.000,-1.200,-0.800,36.564,0.664
24,-0.600,-0.800,-0.400,39.491,0.632
25,-0.200,-0.400,0.000,40.089,0.818
26,0.200,0.000,0.400,33.085,0.724
27,0.600,0.400,0.800,25.919,0.653
28,1.000,0.800,1.200,18.491,0.606
29,1.400,1.200,1.600,12.033,0.503
30,1.800,1.600,2.000,8.844,0.484
31,2.200,2.000,2.400,5.743,0.424
32,2.600,2.400,2.800,4.556,0.557
33,3.000,2.800,3.200,2.110,0.222
34,3.400,3.200,3.600,1.749,0.301
35,3.800,3.600,4.000,2.161,0.625
36,4.200,4.000,4.400,1.266,0.311
37,4.600,4.400,4.800,0.741,0.240
38,5.000,4.800,5.200,0.576,0.289
39,5.400,5.200,5.600,0.451,0.162
40,5.800,5.600,6.000,0.543,0.344
41,6.200,6.000,6.400,0.164,0.122
42,6.600,6.400,6.800,0.000,0.000
43,7.000,6.800,7.200,0.174,0.090
44,7.400,7.200,7.600,0.037,0.026
45,7.800,7.600,8.000,0.000,0.000
46,8.200,8.000,8.400,0.040,0.040
47,8.600,8.400,8.800,0.134,0.134
48,9.000,8.800,9.200,0.085,0.061
49,9.400,9.200,9.600,0.000,0.000
50,9.800,9.600,10.000,0.016,0.016
