# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 60   
# xlabel     :  nuclear missing energy, E_{m} [GeV]   
# xbin_width : 0.004 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.046,0.032,0.020
2,-0.044,-0.046,-0.042,0.037,0.022
3,-0.040,-0.042,-0.038,0.051,0.026
4,-0.035,-0.038,-0.033,0.065,0.030
5,-0.031,-0.033,-0.029,0.073,0.036
6,-0.027,-0.029,-0.025,0.187,0.083
7,-0.023,-0.025,-0.021,0.173,0.034
8,-0.019,-0.021,-0.017,0.415,0.068
9,-0.015,-0.017,-0.013,1.017,0.095
10,-0.010,-0.013,-0.008,4.455,0.326
11,-0.006,-0.008,-0.004,13.813,0.616
12,-0.002,-0.004,0.000,28.431,0.915
13,0.002,0.000,0.004,43.102,1.209
14,0.006,0.004,0.008,48.476,1.217
15,0.010,0.008,0.012,43.735,1.101
16,0.015,0.012,0.017,36.312,1.011
17,0.019,0.017,0.021,26.050,0.810
18,0.023,0.021,0.025,20.048,0.881
19,0.027,0.025,0.029,14.018,0.677
20,0.031,0.029,0.033,8.433,0.456
21,0.035,0.033,0.037,6.900,0.492
22,0.040,0.037,0.042,4.782,0.294
23,0.044,0.042,0.046,4.164,0.331
24,0.048,0.046,0.050,3.815,0.268
25,0.052,0.050,0.054,3.208,0.324
26,0.056,0.054,0.058,3.608,0.369
27,0.060,0.058,0.062,3.207,0.340
28,0.065,0.062,0.067,2.393,0.193
29,0.069,0.067,0.071,2.440,0.262
30,0.073,0.071,0.075,2.771,0.259
31,0.077,0.075,0.079,1.969,0.204
32,0.081,0.079,0.083,2.189,0.218
33,0.085,0.083,0.088,2.917,0.316
34,0.090,0.088,0.092,2.348,0.247
35,0.094,0.092,0.096,2.147,0.495
36,0.098,0.096,0.100,2.020,0.221
37,0.102,0.100,0.104,1.902,0.199
38,0.106,0.104,0.108,1.777,0.211
39,0.110,0.108,0.113,1.806,0.204
40,0.115,0.113,0.117,1.456,0.154
41,0.119,0.117,0.121,1.333,0.140
42,0.123,0.121,0.125,1.408,0.150
43,0.127,0.125,0.129,1.439,0.162
44,0.131,0.129,0.133,1.583,0.204
45,0.135,0.133,0.138,1.819,0.265
46,0.140,0.138,0.142,1.334,0.128
47,0.144,0.142,0.146,1.348,0.149
48,0.148,0.146,0.150,1.400,0.152
49,0.152,0.150,0.154,1.151,0.170
50,0.156,0.154,0.158,1.701,0.256
51,0.160,0.158,0.162,1.166,0.122
52,0.165,0.162,0.167,1.088,0.136
53,0.169,0.167,0.171,1.264,0.200
54,0.173,0.171,0.175,0.937,0.105
55,0.177,0.175,0.179,1.190,0.186
56,0.181,0.179,0.183,0.861,0.112
57,0.185,0.183,0.188,1.089,0.152
58,0.190,0.188,0.192,0.912,0.141
59,0.194,0.192,0.196,1.258,0.303
60,0.198,0.196,0.200,0.847,0.128
