# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 60   
# xlabel     :  nuclear missing energy (punch-thru), E_{m} [GeV]   
# xbin_width : 0.004 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.046,0.347,0.100
2,-0.044,-0.046,-0.042,0.199,0.048
3,-0.040,-0.042,-0.038,0.291,0.099
4,-0.035,-0.038,-0.033,0.273,0.068
5,-0.031,-0.033,-0.029,0.441,0.114
6,-0.027,-0.029,-0.025,0.425,0.131
7,-0.023,-0.025,-0.021,0.362,0.126
8,-0.019,-0.021,-0.017,0.340,0.077
9,-0.015,-0.017,-0.013,0.230,0.054
10,-0.010,-0.013,-0.008,0.383,0.108
11,-0.006,-0.008,-0.004,0.322,0.073
12,-0.002,-0.004,0.000,0.373,0.130
13,0.002,0.000,0.004,0.613,0.133
14,0.006,0.004,0.008,0.461,0.116
15,0.010,0.008,0.012,0.471,0.119
16,0.015,0.012,0.017,0.518,0.094
17,0.019,0.017,0.021,0.437,0.114
18,0.023,0.021,0.025,0.540,0.157
19,0.027,0.025,0.029,0.483,0.133
20,0.031,0.029,0.033,0.459,0.077
21,0.035,0.033,0.037,0.479,0.099
22,0.040,0.037,0.042,0.307,0.052
23,0.044,0.042,0.046,0.453,0.099
24,0.048,0.046,0.050,0.465,0.065
25,0.052,0.050,0.054,0.456,0.071
26,0.056,0.054,0.058,0.550,0.082
27,0.060,0.058,0.062,0.566,0.088
28,0.065,0.062,0.067,0.395,0.051
29,0.069,0.067,0.071,0.540,0.077
30,0.073,0.071,0.075,0.484,0.096
31,0.077,0.075,0.079,0.613,0.119
32,0.081,0.079,0.083,0.599,0.085
33,0.085,0.083,0.088,0.597,0.121
34,0.090,0.088,0.092,0.741,0.140
35,0.094,0.092,0.096,0.636,0.099
36,0.098,0.096,0.100,0.463,0.053
37,0.102,0.100,0.104,0.553,0.068
38,0.106,0.104,0.108,0.489,0.061
39,0.110,0.108,0.113,0.486,0.055
40,0.115,0.113,0.117,0.436,0.067
41,0.119,0.117,0.121,0.449,0.060
42,0.123,0.121,0.125,0.690,0.130
43,0.127,0.125,0.129,0.444,0.047
44,0.131,0.129,0.133,0.495,0.075
45,0.135,0.133,0.138,0.525,0.079
46,0.140,0.138,0.142,0.400,0.048
47,0.144,0.142,0.146,0.361,0.037
48,0.148,0.146,0.150,0.441,0.059
49,0.152,0.150,0.154,0.313,0.034
50,0.156,0.154,0.158,0.321,0.032
51,0.160,0.158,0.162,0.333,0.039
52,0.165,0.162,0.167,0.335,0.034
53,0.169,0.167,0.171,0.302,0.037
54,0.173,0.171,0.175,0.284,0.040
55,0.177,0.175,0.179,0.239,0.027
56,0.181,0.179,0.183,0.257,0.030
57,0.185,0.183,0.188,0.286,0.037
58,0.190,0.188,0.192,0.218,0.029
59,0.194,0.192,0.196,0.233,0.026
60,0.198,0.196,0.200,0.229,0.042
