# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.079,-0.080,-0.077,0.000,0.000
2,-0.076,-0.077,-0.075,0.000,0.000
3,-0.073,-0.075,-0.072,0.000,0.000
4,-0.071,-0.072,-0.069,0.000,0.000
5,-0.068,-0.069,-0.067,0.000,0.000
6,-0.065,-0.067,-0.064,0.000,0.000
7,-0.063,-0.064,-0.061,0.000,0.000
8,-0.060,-0.061,-0.059,0.035,0.006
9,-0.057,-0.059,-0.056,0.232,0.015
10,-0.055,-0.056,-0.053,0.511,0.023
11,-0.052,-0.053,-0.051,0.662,0.026
12,-0.049,-0.051,-0.048,0.808,0.029
13,-0.047,-0.048,-0.045,0.916,0.030
14,-0.044,-0.045,-0.043,1.006,0.031
15,-0.041,-0.043,-0.040,1.136,0.034
16,-0.039,-0.040,-0.037,1.253,0.035
17,-0.036,-0.037,-0.035,1.298,0.034
18,-0.033,-0.035,-0.032,1.489,0.037
19,-0.031,-0.032,-0.029,1.466,0.036
20,-0.028,-0.029,-0.027,1.560,0.037
21,-0.025,-0.027,-0.024,1.541,0.035
22,-0.023,-0.024,-0.021,1.605,0.036
23,-0.020,-0.021,-0.019,1.595,0.034
24,-0.017,-0.019,-0.016,1.525,0.033
25,-0.015,-0.016,-0.013,1.497,0.032
26,-0.012,-0.013,-0.011,1.430,0.031
27,-0.009,-0.011,-0.008,1.345,0.029
28,-0.007,-0.008,-0.005,1.285,0.027
29,-0.004,-0.005,-0.003,1.221,0.026
30,-0.001,-0.003,0.000,1.124,0.024
31,0.001,0.000,0.003,1.039,0.023
32,0.004,0.003,0.005,0.919,0.021
33,0.007,0.005,0.008,0.807,0.018
34,0.009,0.008,0.011,0.724,0.017
35,0.012,0.011,0.013,0.634,0.015
36,0.015,0.013,0.016,0.545,0.014
37,0.017,0.016,0.019,0.428,0.011
38,0.020,0.019,0.021,0.370,0.010
39,0.023,0.021,0.024,0.304,0.009
40,0.025,0.024,0.027,0.237,0.007
41,0.028,0.027,0.029,0.177,0.006
42,0.031,0.029,0.032,0.121,0.004
43,0.033,0.032,0.035,0.091,0.003
44,0.036,0.035,0.037,0.062,0.003
45,0.039,0.037,0.040,0.043,0.002
46,0.041,0.040,0.043,0.025,0.001
47,0.044,0.043,0.045,0.014,0.001
48,0.047,0.045,0.048,0.007,0.000
49,0.049,0.048,0.051,0.004,0.000
50,0.052,0.051,0.053,0.001,0.000
51,0.055,0.053,0.056,0.000,0.000
52,0.057,0.056,0.059,0.000,0.000
53,0.060,0.059,0.061,0.000,0.000
54,0.063,0.061,0.064,0.000,0.000
55,0.065,0.064,0.067,0.000,0.000
56,0.068,0.067,0.069,0.000,0.000
57,0.071,0.069,0.072,0.000,0.000
58,0.073,0.072,0.075,0.000,0.000
59,0.076,0.075,0.077,0.000,0.000
60,0.079,0.077,0.080,0.000,0.000
