# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 60   
# xlabel     :  nuclear missing energy (punch-thru), E_{m} [GeV]   
# xbin_width : 0.004 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.046,0.063,0.012
2,-0.044,-0.046,-0.042,0.066,0.014
3,-0.040,-0.042,-0.038,0.079,0.013
4,-0.035,-0.038,-0.033,0.077,0.014
5,-0.031,-0.033,-0.029,0.101,0.016
6,-0.027,-0.029,-0.025,0.108,0.016
7,-0.023,-0.025,-0.021,0.107,0.017
8,-0.019,-0.021,-0.017,0.104,0.018
9,-0.015,-0.017,-0.013,0.090,0.014
10,-0.010,-0.013,-0.008,0.105,0.015
11,-0.006,-0.008,-0.004,0.113,0.016
12,-0.002,-0.004,0.000,0.096,0.014
13,0.002,0.000,0.004,0.106,0.016
14,0.006,0.004,0.008,0.096,0.014
15,0.010,0.008,0.012,0.095,0.016
16,0.015,0.012,0.017,0.112,0.015
17,0.019,0.017,0.021,0.095,0.014
18,0.023,0.021,0.025,0.110,0.015
19,0.027,0.025,0.029,0.087,0.012
20,0.031,0.029,0.033,0.129,0.016
21,0.035,0.033,0.037,0.139,0.018
22,0.040,0.037,0.042,0.124,0.017
23,0.044,0.042,0.046,0.121,0.014
24,0.048,0.046,0.050,0.129,0.017
25,0.052,0.050,0.054,0.128,0.015
26,0.056,0.054,0.058,0.141,0.018
27,0.060,0.058,0.062,0.162,0.018
28,0.065,0.062,0.067,0.150,0.020
29,0.069,0.067,0.071,0.144,0.018
30,0.073,0.071,0.075,0.164,0.019
31,0.077,0.075,0.079,0.153,0.016
32,0.081,0.079,0.083,0.137,0.016
33,0.085,0.083,0.088,0.118,0.014
34,0.090,0.088,0.092,0.153,0.016
35,0.094,0.092,0.096,0.151,0.017
36,0.098,0.096,0.100,0.137,0.015
37,0.102,0.100,0.104,0.152,0.018
38,0.106,0.104,0.108,0.132,0.015
39,0.110,0.108,0.113,0.176,0.018
40,0.115,0.113,0.117,0.142,0.016
41,0.119,0.117,0.121,0.149,0.016
42,0.123,0.121,0.125,0.150,0.016
43,0.127,0.125,0.129,0.130,0.013
44,0.131,0.129,0.133,0.119,0.013
45,0.135,0.133,0.138,0.112,0.013
46,0.140,0.138,0.142,0.113,0.012
47,0.144,0.142,0.146,0.124,0.013
48,0.148,0.146,0.150,0.131,0.013
49,0.152,0.150,0.154,0.107,0.012
50,0.156,0.154,0.158,0.092,0.011
51,0.160,0.158,0.162,0.106,0.014
52,0.165,0.162,0.167,0.089,0.010
53,0.169,0.167,0.171,0.107,0.012
54,0.173,0.171,0.175,0.096,0.012
55,0.177,0.175,0.179,0.091,0.013
56,0.181,0.179,0.183,0.098,0.011
57,0.185,0.183,0.188,0.075,0.008
58,0.190,0.188,0.192,0.067,0.007
59,0.194,0.192,0.196,0.080,0.010
60,0.198,0.196,0.200,0.080,0.010
