# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.025 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.013,0.000,0.025,0.000,0.000
2,0.038,0.025,0.050,0.000,0.000
3,0.062,0.050,0.075,0.000,0.000
4,0.088,0.075,0.100,0.000,0.000
5,0.113,0.100,0.125,0.000,0.000
6,0.138,0.125,0.150,0.000,0.000
7,0.163,0.150,0.175,0.000,0.000
8,0.188,0.175,0.200,0.000,0.000
9,0.213,0.200,0.225,0.000,0.000
10,0.237,0.225,0.250,0.000,0.000
11,0.263,0.250,0.275,0.000,0.000
12,0.288,0.275,0.300,0.000,0.000
13,0.312,0.300,0.325,0.000,0.000
14,0.338,0.325,0.350,0.031,0.031
15,0.363,0.350,0.375,0.010,0.010
16,0.388,0.375,0.400,0.000,0.000
17,0.413,0.400,0.425,0.277,0.127
18,0.438,0.425,0.450,0.068,0.044
19,0.463,0.450,0.475,0.060,0.031
20,0.488,0.475,0.500,0.367,0.122
21,0.512,0.500,0.525,0.509,0.149
22,0.538,0.525,0.550,0.870,0.204
23,0.562,0.550,0.575,0.776,0.154
24,0.588,0.575,0.600,1.242,0.203
25,0.613,0.600,0.625,1.517,0.202
26,0.637,0.625,0.650,1.851,0.219
27,0.663,0.650,0.675,2.292,0.260
28,0.688,0.675,0.700,2.834,0.290
29,0.713,0.700,0.725,2.979,0.263
30,0.738,0.725,0.750,3.478,0.261
31,0.762,0.750,0.775,3.429,0.275
32,0.788,0.775,0.800,4.578,0.330
33,0.812,0.800,0.825,4.367,0.289
34,0.838,0.825,0.850,4.894,0.300
35,0.863,0.850,0.875,5.111,0.256
36,0.887,0.875,0.900,5.673,0.252
37,0.913,0.900,0.925,5.432,0.229
38,0.938,0.925,0.950,5.659,0.223
39,0.963,0.950,0.975,6.178,0.229
40,0.988,0.975,1.000,6.128,0.236
41,1.013,1.000,1.025,6.525,0.226
42,1.038,1.025,1.050,6.763,0.220
43,1.062,1.050,1.075,6.797,0.205
44,1.087,1.075,1.100,7.288,0.189
45,1.113,1.100,1.125,7.390,0.197
46,1.138,1.125,1.150,7.456,0.188
47,1.163,1.150,1.175,7.902,0.209
48,1.188,1.175,1.200,7.096,0.159
49,1.213,1.200,1.225,7.285,0.153
50,1.238,1.225,1.250,7.195,0.142
51,1.263,1.250,1.275,6.444,0.127
52,1.288,1.275,1.300,6.296,0.131
53,1.312,1.300,1.325,6.105,0.115
54,1.338,1.325,1.350,5.761,0.115
55,1.363,1.350,1.375,5.222,0.109
56,1.388,1.375,1.400,5.057,0.115
57,1.413,1.400,1.425,4.374,0.092
58,1.438,1.425,1.450,4.101,0.112
59,1.463,1.450,1.475,3.593,0.081
60,1.488,1.475,1.500,3.371,0.097
61,1.513,1.500,1.525,3.179,0.089
62,1.538,1.525,1.550,2.798,0.102
63,1.562,1.550,1.575,2.598,0.091
64,1.588,1.575,1.600,2.264,0.074
65,1.613,1.600,1.625,1.895,0.056
66,1.638,1.625,1.650,1.944,0.073
67,1.663,1.650,1.675,1.764,0.083
68,1.688,1.675,1.700,1.656,0.103
69,1.713,1.700,1.725,1.383,0.058
70,1.738,1.725,1.750,1.406,0.075
71,1.763,1.750,1.775,1.254,0.069
72,1.788,1.775,1.800,1.162,0.057
73,1.812,1.800,1.825,1.083,0.062
74,1.838,1.825,1.850,0.981,0.063
75,1.863,1.850,1.875,1.009,0.082
76,1.888,1.875,1.900,1.040,0.075
77,1.913,1.900,1.925,0.851,0.080
78,1.938,1.925,1.950,0.894,0.075
79,1.963,1.950,1.975,0.798,0.075
80,1.988,1.975,2.000,0.711,0.072
81,2.013,2.000,2.025,0.696,0.044
82,2.038,2.025,2.050,0.870,0.087
83,2.062,2.050,2.075,0.808,0.087
84,2.088,2.075,2.100,0.705,0.064
85,2.112,2.100,2.125,0.629,0.053
86,2.138,2.125,2.150,0.600,0.055
87,2.163,2.150,2.175,0.603,0.056
88,2.188,2.175,2.200,0.604,0.046
89,2.213,2.200,2.225,0.518,0.045
90,2.237,2.225,2.250,0.401,0.033
91,2.263,2.250,2.275,0.535,0.059
92,2.288,2.275,2.300,0.414,0.050
93,2.312,2.300,2.325,0.363,0.034
94,2.338,2.325,2.350,0.438,0.059
95,2.362,2.350,2.375,0.337,0.034
96,2.388,2.375,2.400,0.298,0.033
97,2.413,2.400,2.425,0.147,0.017
98,2.438,2.425,2.450,0.171,0.030
99,2.463,2.450,2.475,0.084,0.013
100,2.487,2.475,2.500,0.073,0.018
