# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : q-vector, |q| (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     1.58668,      0.178079
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     1.57037,      0.101424
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     1.53699,     0.0768206
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     1.51713,     0.0656325
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     1.50695,     0.0625475
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     1.49816,     0.0612418
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     1.48513,     0.0722406
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,     1.46837,      0.100771
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,     1.46457,      0.179232
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,     1.69103,      0.105059
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     1.61806,     0.0526143
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     1.55779,     0.0397714
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     1.52248,     0.0375816
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     1.51557,     0.0371342
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     1.51703,     0.0366649
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,     1.49631,     0.0445669
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,     1.46981,      0.116733
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,     1.43637,      0.698709
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     1.77403,     0.0731525
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     1.66699,     0.0334608
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     1.60548,     0.0296107
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     1.55824,     0.0284978
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,     1.53837,     0.0292294
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     1.53254,     0.0313254
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,     1.51233,     0.0565134
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,     1.49289,       1.06109
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     1.84136,     0.0523863
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,     1.73072,     0.0259647
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     1.65825,     0.0244318
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,      1.5912,     0.0229773
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     1.56467,      0.029191
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     1.53893,     0.0505444
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,     1.51167,      0.306606
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,     1.88028,     0.0417225
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,     1.78948,     0.0234133
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     1.69761,      0.023453
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,      1.6214,     0.0246251
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,     1.59246,     0.0409785
