# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 40   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.033 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.516,0.500,0.532,0.000,0.000
2,0.549,0.532,0.565,0.000,0.000
3,0.581,0.565,0.598,0.000,0.000
4,0.614,0.598,0.630,0.000,0.000
5,0.646,0.630,0.662,1.005,0.489
6,0.679,0.662,0.695,4.003,1.032
7,0.711,0.695,0.728,19.889,2.875
8,0.744,0.728,0.760,41.915,4.152
9,0.776,0.760,0.792,62.949,5.650
10,0.809,0.792,0.825,104.283,7.424
11,0.841,0.825,0.858,125.148,8.182
12,0.874,0.858,0.890,152.203,9.489
13,0.906,0.890,0.922,171.483,9.716
14,0.939,0.922,0.955,152.005,8.380
15,0.971,0.955,0.988,173.758,8.564
16,1.004,0.988,1.020,149.770,7.212
17,1.036,1.020,1.052,117.647,5.208
18,1.069,1.052,1.085,102.134,4.462
19,1.101,1.085,1.118,82.483,3.451
20,1.134,1.118,1.150,63.904,2.591
21,1.166,1.150,1.183,47.500,1.853
22,1.199,1.183,1.215,31.848,1.193
23,1.231,1.215,1.248,21.090,0.836
24,1.264,1.248,1.280,13.559,0.476
25,1.296,1.280,1.312,9.477,0.297
26,1.329,1.312,1.345,6.826,0.193
27,1.361,1.345,1.377,4.983,0.131
28,1.394,1.377,1.410,3.416,0.087
29,1.426,1.410,1.442,2.268,0.056
30,1.459,1.442,1.475,1.617,0.039
31,1.491,1.475,1.508,1.070,0.027
32,1.524,1.508,1.540,0.629,0.018
33,1.556,1.540,1.573,0.322,0.011
34,1.589,1.573,1.605,0.135,0.006
35,1.621,1.605,1.637,0.039,0.003
36,1.654,1.637,1.670,0.008,0.001
37,1.686,1.670,1.703,0.000,0.000
38,1.719,1.703,1.735,0.000,0.000
39,1.751,1.735,1.768,0.000,0.000
40,1.784,1.768,1.800,0.000,0.000
