# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,1.609,0.290
2,-0.174,-0.183,-0.166,1.422,0.358
3,-0.158,-0.166,-0.149,1.258,0.122
4,-0.141,-0.149,-0.132,1.411,0.215
5,-0.123,-0.132,-0.115,1.107,0.234
6,-0.107,-0.115,-0.098,1.173,0.271
7,-0.089,-0.098,-0.081,0.810,0.090
8,-0.073,-0.081,-0.064,0.911,0.140
9,-0.055,-0.064,-0.047,0.467,0.079
10,-0.038,-0.047,-0.030,0.326,0.033
11,-0.022,-0.030,-0.013,0.135,0.016
12,-0.005,-0.013,0.004,0.045,0.012
13,0.013,0.004,0.021,0.088,0.017
14,0.030,0.021,0.038,0.271,0.044
15,0.046,0.038,0.055,0.450,0.071
16,0.064,0.055,0.072,0.824,0.216
17,0.081,0.072,0.089,1.547,0.315
18,0.098,0.089,0.106,1.075,0.204
19,0.115,0.106,0.123,1.313,0.165
20,0.132,0.123,0.140,1.473,0.126
21,0.149,0.140,0.157,1.815,0.195
22,0.166,0.157,0.174,2.275,0.251
23,0.182,0.174,0.191,2.826,0.357
24,0.200,0.191,0.208,4.644,0.998
25,0.217,0.208,0.225,4.064,0.419
26,0.234,0.225,0.242,4.009,0.357
27,0.251,0.242,0.259,5.594,1.091
28,0.268,0.259,0.276,4.814,0.329
29,0.285,0.276,0.293,7.741,1.361
30,0.301,0.293,0.310,7.586,0.653
31,0.319,0.310,0.327,8.448,0.744
32,0.336,0.327,0.344,10.330,1.175
33,0.353,0.344,0.361,11.063,1.040
34,0.370,0.361,0.378,14.757,1.472
35,0.387,0.378,0.395,15.384,1.199
36,0.404,0.395,0.412,20.716,1.530
37,0.421,0.412,0.429,25.555,3.317
38,0.438,0.429,0.446,26.646,2.302
39,0.455,0.446,0.463,29.211,1.915
40,0.472,0.463,0.480,42.559,3.839
41,0.489,0.480,0.497,47.543,5.560
42,0.506,0.497,0.514,60.117,4.332
43,0.523,0.514,0.531,75.302,7.975
44,0.540,0.531,0.548,85.113,6.372
45,0.556,0.548,0.565,93.369,5.236
46,0.574,0.565,0.582,150.362,20.544
47,0.591,0.582,0.599,147.498,7.088
48,0.608,0.599,0.616,189.269,9.669
49,0.625,0.616,0.633,243.113,24.078
50,0.642,0.633,0.650,275.147,14.409
51,0.659,0.650,0.667,338.455,11.531
52,0.676,0.667,0.684,478.397,22.828
53,0.693,0.684,0.701,624.328,27.037
54,0.710,0.701,0.718,882.438,52.423
55,0.727,0.718,0.735,1105.131,47.355
56,0.744,0.735,0.752,1501.056,53.654
57,0.761,0.752,0.769,2207.209,82.021
58,0.778,0.769,0.786,2910.482,117.522
59,0.795,0.786,0.803,4001.811,138.306
60,0.812,0.803,0.820,5925.592,223.418
61,0.829,0.820,0.837,8527.130,276.070
62,0.846,0.837,0.854,11782.529,377.874
63,0.863,0.854,0.871,18251.432,534.384
64,0.880,0.871,0.888,23165.432,681.542
65,0.897,0.888,0.905,35636.887,993.228
66,0.914,0.905,0.922,46939.961,1257.231
67,0.931,0.922,0.939,56350.309,1440.480
68,0.948,0.939,0.956,71047.875,1745.552
69,0.965,0.956,0.973,74394.125,1719.163
70,0.982,0.973,0.990,75520.117,1685.837
71,0.999,0.990,1.007,68272.414,1490.753
72,1.016,1.007,1.024,57846.539,1230.875
73,1.033,1.024,1.041,46997.027,1011.902
74,1.050,1.041,1.058,37378.199,832.069
75,1.067,1.058,1.075,29471.674,698.810
76,1.084,1.075,1.092,22309.145,620.056
77,1.101,1.092,1.109,18273.049,549.767
78,1.118,1.109,1.126,14187.674,512.949
79,1.135,1.126,1.143,11998.668,494.773
80,1.152,1.143,1.160,10632.530,488.484
81,1.169,1.160,1.177,8815.790,438.598
82,1.186,1.177,1.194,7978.146,462.257
83,1.203,1.194,1.211,7413.643,433.409
84,1.220,1.211,1.228,6119.608,348.432
85,1.237,1.228,1.245,6599.070,421.789
86,1.254,1.245,1.262,6087.971,402.762
87,1.271,1.262,1.279,5477.728,370.222
88,1.288,1.279,1.296,6171.793,438.504
89,1.304,1.296,1.313,5645.778,419.456
90,1.322,1.313,1.330,4428.392,326.778
91,1.339,1.330,1.347,5570.314,397.759
92,1.356,1.347,1.364,5104.368,390.335
93,1.373,1.364,1.381,5144.249,405.902
94,1.390,1.381,1.398,3904.630,297.761
95,1.407,1.398,1.415,3715.349,308.800
96,1.424,1.415,1.432,4010.433,328.350
97,1.441,1.432,1.449,4089.332,329.002
98,1.458,1.449,1.466,4141.970,344.623
99,1.475,1.466,1.483,3466.490,263.611
100,1.492,1.483,1.500,3682.741,297.614
