# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : q-vector, |q| (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     1.65545,      0.456966
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     1.65752,      0.194267
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     1.62333,      0.114314
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     1.58546,      0.078351
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     1.54999,     0.0628942
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     1.53438,     0.0580793
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     1.52803,     0.0596904
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,      1.5194,     0.0663227
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,     1.51784,      0.105603
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,     1.74583,       0.30618
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     1.69366,     0.0813753
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     1.60407,      0.041203
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     1.53239,     0.0310364
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     1.50311,     0.0313763
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     1.50253,     0.0345333
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,      1.5075,     0.0365161
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,      1.4996,     0.0459724
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,     1.47964,      0.101792
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     1.82661,      0.218993
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     1.72088,     0.0391563
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     1.60697,     0.0241423
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     1.54646,      0.024123
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,     1.53251,     0.0266413
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     1.52943,     0.0334556
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,     1.51763,     0.0465522
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,     1.50142,      0.141796
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     1.89218,      0.135016
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,     1.74854,     0.0246494
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     1.65536,     0.0203651
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,     1.58618,     0.0204793
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     1.56418,     0.0281305
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     1.54229,      0.057595
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,     1.51954,      0.298729
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,     1.93198,     0.0827994
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,      1.7962,     0.0198969
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     1.69449,     0.0201946
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,     1.61889,     0.0227506
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,     1.59529,     0.0427819
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,     1.55159,      0.347821
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,     1.92633,     0.0712133
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,     1.83419,     0.0210213
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,     1.72714,     0.0247984
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,     1.65868,     0.0322588
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48,     1.63034,      0.107294
     78,         6,         6,           110,       100,       120,        0.44,       0.4,        0.48,           0,             0
     79,         7,         6,           130,       120,       140,        0.44,       0.4,        0.48,           0,             0
     80,         8,         6,           150,       140,       160,        0.44,       0.4,        0.48,           0,             0
     81,         9,         6,           170,       160,       180,        0.44,       0.4,        0.48,           0,             0
     82,        10,         6,           190,       180,       200,        0.44,       0.4,        0.48,           0,             0
     85,         1,         7,            10,         0,        20,        0.52,      0.48,        0.56,     1.91855,     0.0660009
     86,         2,         7,            30,        20,        40,        0.52,      0.48,        0.56,     1.86303,     0.0286274
     87,         3,         7,            50,        40,        60,        0.52,      0.48,        0.56,     1.76225,      0.037441
     88,         4,         7,            70,        60,        80,        0.52,      0.48,        0.56,      1.7049,     0.0626152
     89,         5,         7,            90,        80,       100,        0.52,      0.48,        0.56,     1.66606,      0.576306
     90,         6,         7,           110,       100,       120,        0.52,      0.48,        0.56,           0,             0
     91,         7,         7,           130,       120,       140,        0.52,      0.48,        0.56,           0,             0
     92,         8,         7,           150,       140,       160,        0.52,      0.48,        0.56,           0,             0
     93,         9,         7,           170,       160,       180,        0.52,      0.48,        0.56,           0,             0
     94,        10,         7,           190,       180,       200,        0.52,      0.48,        0.56,           0,             0
     97,         1,         8,            10,         0,        20,         0.6,      0.56,        0.64,     1.94635,      0.101216
     98,         2,         8,            30,        20,        40,         0.6,      0.56,        0.64,     1.88457,     0.0544517
     99,         3,         8,            50,        40,        60,         0.6,      0.56,        0.64,     1.81887,     0.0733601
    100,         4,         8,            70,        60,        80,         0.6,      0.56,        0.64,     1.78437,      0.289839
    101,         5,         8,            90,        80,       100,         0.6,      0.56,        0.64,           0,             0
    102,         6,         8,           110,       100,       120,         0.6,      0.56,        0.64,           0,             0
    103,         7,         8,           130,       120,       140,         0.6,      0.56,        0.64,           0,             0
    104,         8,         8,           150,       140,       160,         0.6,      0.56,        0.64,           0,             0
    105,         9,         8,           170,       160,       180,         0.6,      0.56,        0.64,           0,             0
    106,        10,         8,           190,       180,       200,         0.6,      0.56,        0.64,           0,             0
    109,         1,         9,            10,         0,        20,        0.68,      0.64,        0.72,      1.9801,      0.667656
    110,         2,         9,            30,        20,        40,        0.68,      0.64,        0.72,     1.91201,      0.149102
    111,         3,         9,            50,        40,        60,        0.68,      0.64,        0.72,     1.87381,      0.288418
    112,         4,         9,            70,        60,        80,        0.68,      0.64,        0.72,           0,             0
    113,         5,         9,            90,        80,       100,        0.68,      0.64,        0.72,           0,             0
    114,         6,         9,           110,       100,       120,        0.68,      0.64,        0.72,           0,             0
    115,         7,         9,           130,       120,       140,        0.68,      0.64,        0.72,           0,             0
    116,         8,         9,           150,       140,       160,        0.68,      0.64,        0.72,           0,             0
    117,         9,         9,           170,       160,       180,        0.68,      0.64,        0.72,           0,             0
    118,        10,         9,           190,       180,       200,        0.68,      0.64,        0.72,           0,             0
    121,         1,        10,            10,         0,        20,        0.76,      0.72,         0.8,           0,             0
    122,         2,        10,            30,        20,        40,        0.76,      0.72,         0.8,     1.93939,       1.13554
    123,         3,        10,            50,        40,        60,        0.76,      0.72,         0.8,           0,             0
    124,         4,        10,            70,        60,        80,        0.76,      0.72,         0.8,           0,             0
    125,         5,        10,            90,        80,       100,        0.76,      0.72,         0.8,           0,             0
    126,         6,        10,           110,       100,       120,        0.76,      0.72,         0.8,           0,             0
    127,         7,        10,           130,       120,       140,        0.76,      0.72,         0.8,           0,             0
    128,         8,        10,           150,       140,       160,        0.76,      0.72,         0.8,           0,             0
    129,         9,        10,           170,       160,       180,        0.76,      0.72,         0.8,           0,             0
    130,        10,        10,           190,       180,       200,        0.76,      0.72,         0.8,           0,             0
    133,         1,        11,            10,         0,        20,        0.84,       0.8,        0.88,           0,             0
    134,         2,        11,            30,        20,        40,        0.84,       0.8,        0.88,           0,             0
    135,         3,        11,            50,        40,        60,        0.84,       0.8,        0.88,           0,             0
    136,         4,        11,            70,        60,        80,        0.84,       0.8,        0.88,           0,             0
    137,         5,        11,            90,        80,       100,        0.84,       0.8,        0.88,           0,             0
    138,         6,        11,           110,       100,       120,        0.84,       0.8,        0.88,           0,             0
    139,         7,        11,           130,       120,       140,        0.84,       0.8,        0.88,           0,             0
    140,         8,        11,           150,       140,       160,        0.84,       0.8,        0.88,           0,             0
    141,         9,        11,           170,       160,       180,        0.84,       0.8,        0.88,           0,             0
