# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,0.079,0.005
2,-0.174,-0.183,-0.166,0.077,0.005
3,-0.158,-0.166,-0.149,0.063,0.005
4,-0.141,-0.149,-0.132,0.060,0.005
5,-0.123,-0.132,-0.115,0.068,0.005
6,-0.107,-0.115,-0.098,0.067,0.006
7,-0.089,-0.098,-0.081,0.048,0.004
8,-0.073,-0.081,-0.064,0.041,0.004
9,-0.055,-0.064,-0.047,0.035,0.004
10,-0.038,-0.047,-0.030,0.021,0.003
11,-0.022,-0.030,-0.013,0.011,0.002
12,-0.005,-0.013,0.004,0.006,0.001
13,0.013,0.004,0.021,0.007,0.002
14,0.030,0.021,0.038,0.019,0.003
15,0.046,0.038,0.055,0.023,0.003
16,0.064,0.055,0.072,0.039,0.004
17,0.081,0.072,0.089,0.051,0.005
18,0.098,0.089,0.106,0.058,0.005
19,0.115,0.106,0.123,0.074,0.006
20,0.132,0.123,0.140,0.116,0.008
21,0.149,0.140,0.157,0.097,0.007
22,0.166,0.157,0.174,0.119,0.008
23,0.182,0.174,0.191,0.140,0.009
24,0.200,0.191,0.208,0.155,0.009
25,0.217,0.208,0.225,0.181,0.010
26,0.234,0.225,0.242,0.226,0.012
27,0.251,0.242,0.259,0.239,0.012
28,0.268,0.259,0.276,0.272,0.013
29,0.285,0.276,0.293,0.312,0.015
30,0.301,0.293,0.310,0.350,0.016
31,0.319,0.310,0.327,0.376,0.017
32,0.336,0.327,0.344,0.427,0.019
33,0.353,0.344,0.361,0.520,0.021
34,0.370,0.361,0.378,0.549,0.023
35,0.387,0.378,0.395,0.622,0.026
36,0.404,0.395,0.412,0.739,0.030
37,0.421,0.412,0.429,0.798,0.031
38,0.438,0.429,0.446,0.920,0.036
39,0.455,0.446,0.463,1.015,0.039
40,0.472,0.463,0.480,1.185,0.044
41,0.489,0.480,0.497,1.376,0.053
42,0.506,0.497,0.514,1.635,0.063
43,0.523,0.514,0.531,1.776,0.068
44,0.540,0.531,0.548,1.917,0.077
45,0.556,0.548,0.565,2.490,0.094
46,0.574,0.565,0.582,2.720,0.103
47,0.591,0.582,0.599,3.345,0.128
48,0.608,0.599,0.616,3.854,0.142
49,0.625,0.616,0.633,4.407,0.170
50,0.642,0.633,0.650,5.134,0.208
51,0.659,0.650,0.667,6.115,0.261
52,0.676,0.667,0.684,6.886,0.290
53,0.693,0.684,0.701,8.970,0.377
54,0.710,0.701,0.718,11.130,0.463
55,0.727,0.718,0.735,14.147,0.610
56,0.744,0.735,0.752,14.896,0.672
57,0.761,0.752,0.769,18.250,0.810
58,0.778,0.769,0.786,22.402,1.030
59,0.795,0.786,0.803,27.705,1.302
60,0.812,0.803,0.820,35.161,1.595
61,0.829,0.820,0.837,41.899,1.927
62,0.846,0.837,0.854,50.972,2.464
63,0.863,0.854,0.871,61.308,2.789
64,0.880,0.871,0.888,72.362,3.332
65,0.897,0.888,0.905,83.684,4.046
66,0.914,0.905,0.922,95.302,4.515
67,0.931,0.922,0.939,101.968,5.142
68,0.948,0.939,0.956,107.666,5.676
69,0.965,0.956,0.973,139.608,7.752
70,0.982,0.973,0.990,132.940,7.784
71,0.999,0.990,1.007,132.429,7.487
72,1.016,1.007,1.024,131.068,8.021
73,1.033,1.024,1.041,136.404,8.840
74,1.050,1.041,1.058,140.578,9.464
75,1.067,1.058,1.075,125.794,8.845
76,1.084,1.075,1.092,88.824,6.909
77,1.101,1.092,1.109,101.941,7.262
78,1.118,1.109,1.126,74.466,6.188
79,1.135,1.126,1.143,68.387,5.889
80,1.152,1.143,1.160,62.619,5.884
81,1.169,1.160,1.177,36.615,4.225
82,1.186,1.177,1.194,29.090,3.566
83,1.203,1.194,1.211,15.363,2.315
84,1.220,1.211,1.228,9.248,1.804
85,1.237,1.228,1.245,3.404,0.915
86,1.254,1.245,1.262,0.608,0.395
87,1.271,1.262,1.279,0.000,0.000
88,1.288,1.279,1.296,0.000,0.000
89,1.304,1.296,1.313,0.000,0.000
90,1.322,1.313,1.330,0.000,0.000
91,1.339,1.330,1.347,0.000,0.000
92,1.356,1.347,1.364,0.000,0.000
93,1.373,1.364,1.381,0.000,0.000
94,1.390,1.381,1.398,0.000,0.000
95,1.407,1.398,1.415,0.000,0.000
96,1.424,1.415,1.432,0.000,0.000
97,1.441,1.432,1.449,0.000,0.000
98,1.458,1.449,1.466,0.000,0.000
99,1.475,1.466,1.483,0.000,0.000
100,1.492,1.483,1.500,0.000,0.000
