# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Energy Transfer, $\nu   
# xbins      : 40   
# xlabel     :  energy transfer, #nu [GeV]   
# xbin_width : 0.028 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.514,0.500,0.527,0.000,0.000
2,0.541,0.527,0.555,0.000,0.000
3,0.569,0.555,0.583,0.000,0.000
4,0.596,0.583,0.610,0.000,0.000
5,0.624,0.610,0.637,0.000,0.000
6,0.651,0.637,0.665,0.000,0.000
7,0.679,0.665,0.693,0.000,0.000
8,0.706,0.693,0.720,0.000,0.000
9,0.734,0.720,0.748,141.154,37.342
10,0.761,0.748,0.775,1681.720,141.178
11,0.789,0.775,0.802,3401.142,197.297
12,0.816,0.802,0.830,4404.330,214.341
13,0.844,0.830,0.858,5174.970,234.387
14,0.871,0.858,0.885,6596.117,274.401
15,0.899,0.885,0.913,7226.729,270.477
16,0.926,0.913,0.940,8132.189,295.830
17,0.954,0.940,0.968,8014.390,272.760
18,0.981,0.968,0.995,7947.396,268.325
19,1.009,0.995,1.022,3340.948,147.878
20,1.036,1.022,1.050,186.053,28.038
21,1.064,1.050,1.078,9.477,1.099
22,1.091,1.078,1.105,1.401,0.079
23,1.119,1.105,1.133,0.226,0.025
24,1.146,1.133,1.160,0.015,0.004
25,1.174,1.160,1.188,0.001,0.001
26,1.201,1.188,1.215,0.000,0.000
27,1.229,1.215,1.243,0.000,0.000
28,1.256,1.243,1.270,0.000,0.000
29,1.284,1.270,1.298,0.000,0.000
30,1.311,1.298,1.325,0.000,0.000
31,1.339,1.325,1.353,0.000,0.000
32,1.366,1.353,1.380,0.000,0.000
33,1.394,1.380,1.408,0.000,0.000
34,1.421,1.408,1.435,0.000,0.000
35,1.449,1.435,1.463,0.000,0.000
36,1.476,1.463,1.490,0.000,0.000
37,1.504,1.490,1.518,0.000,0.000
38,1.531,1.518,1.545,0.000,0.000
39,1.559,1.545,1.573,0.000,0.000
40,1.586,1.573,1.600,0.000,0.000
