# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Pm vs. $\theta_{rq}$ (yield) 
# ybins      : 60 
# ylabel     :  missing momentum, P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  in-plane angle, $\theta_{rq}$ [deg] 
# ybin_width : 0.020 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.01,         0,        0.02,     8.77164,       6.43743
     14,         2,         1,            30,        20,        40,        0.01,         0,        0.02,     17.2843,        10.341
     15,         3,         1,            50,        40,        60,        0.01,         0,        0.02,     41.8735,       22.1394
     16,         4,         1,            70,        60,        80,        0.01,         0,        0.02,     48.7351,       19.3578
     17,         5,         1,            90,        80,       100,        0.01,         0,        0.02,     59.6563,       27.4732
     18,         6,         1,           110,       100,       120,        0.01,         0,        0.02,     14.0688,       10.1589
     19,         7,         1,           130,       120,       140,        0.01,         0,        0.02,     8.29706,       8.29706
     20,         8,         1,           150,       140,       160,        0.01,         0,        0.02,     20.6349,       14.5932
     21,         9,         1,           170,       160,       180,        0.01,         0,        0.02,           0,             0
     22,        10,         1,           190,       180,       200,        0.01,         0,        0.02,           0,             0
     25,         1,         2,            10,         0,        20,        0.03,      0.02,        0.04,     108.149,       27.8087
     26,         2,         2,            30,        20,        40,        0.03,      0.02,        0.04,     255.361,       46.8158
     27,         3,         2,            50,        40,        60,        0.03,      0.02,        0.04,     361.956,       57.4553
     28,         4,         2,            70,        60,        80,        0.03,      0.02,        0.04,     356.674,       57.0416
     29,         5,         2,            90,        80,       100,        0.03,      0.02,        0.04,     301.182,       58.1926
     30,         6,         2,           110,       100,       120,        0.03,      0.02,        0.04,     240.527,       49.2006
     31,         7,         2,           130,       120,       140,        0.03,      0.02,        0.04,     152.539,       39.1073
     32,         8,         2,           150,       140,       160,        0.03,      0.02,        0.04,     104.655,       35.3862
     33,         9,         2,           170,       160,       180,        0.03,      0.02,        0.04,     36.1773,       21.3324
     34,        10,         2,           190,       180,       200,        0.03,      0.02,        0.04,           0,             0
     37,         1,         3,            10,         0,        20,        0.05,      0.04,        0.06,     129.373,       27.1178
     38,         2,         3,            30,        20,        40,        0.05,      0.04,        0.06,     460.468,       52.5537
     39,         3,         3,            50,        40,        60,        0.05,      0.04,        0.06,     694.101,       74.9711
     40,         4,         3,            70,        60,        80,        0.05,      0.04,        0.06,     831.767,       88.1055
     41,         5,         3,            90,        80,       100,        0.05,      0.04,        0.06,     833.357,       89.7836
     42,         6,         3,           110,       100,       120,        0.05,      0.04,        0.06,     723.286,       94.1976
     43,         7,         3,           130,       120,       140,        0.05,      0.04,        0.06,     474.474,       78.3519
     44,         8,         3,           150,       140,       160,        0.05,      0.04,        0.06,     127.166,        39.207
     45,         9,         3,           170,       160,       180,        0.05,      0.04,        0.06,     16.3703,       11.6376
     46,        10,         3,           190,       180,       200,        0.05,      0.04,        0.06,           0,             0
     49,         1,         4,            10,         0,        20,        0.07,      0.06,        0.08,      264.29,       45.5147
     50,         2,         4,            30,        20,        40,        0.07,      0.06,        0.08,     749.253,       70.5849
     51,         3,         4,            50,        40,        60,        0.07,      0.06,        0.08,     1278.81,        107.44
     52,         4,         4,            70,        60,        80,        0.07,      0.06,        0.08,     1401.94,       113.021
     53,         5,         4,            90,        80,       100,        0.07,      0.06,        0.08,     1419.65,       128.193
     54,         6,         4,           110,       100,       120,        0.07,      0.06,        0.08,     1063.31,       123.136
     55,         7,         4,           130,       120,       140,        0.07,      0.06,        0.08,     684.533,       120.313
     56,         8,         4,           150,       140,       160,        0.07,      0.06,        0.08,     209.256,       69.9881
     57,         9,         4,           170,       160,       180,        0.07,      0.06,        0.08,     17.3969,       17.3969
     58,        10,         4,           190,       180,       200,        0.07,      0.06,        0.08,           0,             0
     61,         1,         5,            10,         0,        20,        0.09,      0.08,         0.1,     291.879,       36.9021
     62,         2,         5,            30,        20,        40,        0.09,      0.08,         0.1,     766.252,        65.709
     63,         3,         5,            50,        40,        60,        0.09,      0.08,         0.1,     1484.98,       118.003
     64,         4,         5,            70,        60,        80,        0.09,      0.08,         0.1,     1688.81,       130.317
     65,         5,         5,            90,        80,       100,        0.09,      0.08,         0.1,     1840.85,       150.204
     66,         6,         5,           110,       100,       120,        0.09,      0.08,         0.1,     1944.51,       186.665
     67,         7,         5,           130,       120,       140,        0.09,      0.08,         0.1,     914.811,       138.274
     68,         8,         5,           150,       140,       160,        0.09,      0.08,         0.1,     174.511,        67.548
     69,         9,         5,           170,       160,       180,        0.09,      0.08,         0.1,           0,             0
     70,        10,         5,           190,       180,       200,        0.09,      0.08,         0.1,           0,             0
     73,         1,         6,            10,         0,        20,        0.11,       0.1,        0.12,     212.633,       30.4367
     74,         2,         6,            30,        20,        40,        0.11,       0.1,        0.12,     927.944,       73.6919
     75,         3,         6,            50,        40,        60,        0.11,       0.1,        0.12,     1537.26,       104.708
     76,         4,         6,            70,        60,        80,        0.11,       0.1,        0.12,     1806.84,       127.979
     77,         5,         6,            90,        80,       100,        0.11,       0.1,        0.12,     2027.18,       159.758
     78,         6,         6,           110,       100,       120,        0.11,       0.1,        0.12,     1924.26,       177.384
     79,         7,         6,           130,       120,       140,        0.11,       0.1,        0.12,     716.606,       118.711
     80,         8,         6,           150,       140,       160,        0.11,       0.1,        0.12,     92.5581,       41.5781
     81,         9,         6,           170,       160,       180,        0.11,       0.1,        0.12,           0,             0
     82,        10,         6,           190,       180,       200,        0.11,       0.1,        0.12,           0,             0
     85,         1,         7,            10,         0,        20,        0.13,      0.12,        0.14,     214.728,        27.638
     86,         2,         7,            30,        20,        40,        0.13,      0.12,        0.14,     752.189,        50.914
     87,         3,         7,            50,        40,        60,        0.13,      0.12,        0.14,      1282.6,       85.5325
     88,         4,         7,            70,        60,        80,        0.13,      0.12,        0.14,     1767.19,       134.755
     89,         5,         7,            90,        80,       100,        0.13,      0.12,        0.14,     1979.21,       159.156
     90,         6,         7,           110,       100,       120,        0.13,      0.12,        0.14,     2296.49,       188.137
     91,         7,         7,           130,       120,       140,        0.13,      0.12,        0.14,      967.17,        144.16
     92,         8,         7,           150,       140,       160,        0.13,      0.12,        0.14,     5.25919,       5.25919
     93,         9,         7,           170,       160,       180,        0.13,      0.12,        0.14,           0,             0
     94,        10,         7,           190,       180,       200,        0.13,      0.12,        0.14,           0,             0
     97,         1,         8,            10,         0,        20,        0.15,      0.14,        0.16,     156.199,       18.7501
     98,         2,         8,            30,        20,        40,        0.15,      0.14,        0.16,     659.954,       47.5644
     99,         3,         8,            50,        40,        60,        0.15,      0.14,        0.16,     1087.69,       76.8861
    100,         4,         8,            70,        60,        80,        0.15,      0.14,        0.16,     1753.77,       122.442
    101,         5,         8,            90,        80,       100,        0.15,      0.14,        0.16,     1698.93,       126.301
    102,         6,         8,           110,       100,       120,        0.15,      0.14,        0.16,     1720.72,       150.057
    103,         7,         8,           130,       120,       140,        0.15,      0.14,        0.16,     1039.23,       136.278
    104,         8,         8,           150,       140,       160,        0.15,      0.14,        0.16,           0,             0
    105,         9,         8,           170,       160,       180,        0.15,      0.14,        0.16,           0,             0
    106,        10,         8,           190,       180,       200,        0.15,      0.14,        0.16,           0,             0
    109,         1,         9,            10,         0,        20,        0.17,      0.16,        0.18,     97.7373,       12.5376
    110,         2,         9,            30,        20,        40,        0.17,      0.16,        0.18,     473.178,       33.2373
    111,         3,         9,            50,        40,        60,        0.17,      0.16,        0.18,     874.407,       54.6536
    112,         4,         9,            70,        60,        80,        0.17,      0.16,        0.18,     1108.16,       83.1801
    113,         5,         9,            90,        80,       100,        0.17,      0.16,        0.18,     1421.25,       108.659
    114,         6,         9,           110,       100,       120,        0.17,      0.16,        0.18,     1476.79,       124.985
    115,         7,         9,           130,       120,       140,        0.17,      0.16,        0.18,     536.754,       89.1033
    116,         8,         9,           150,       140,       160,        0.17,      0.16,        0.18,           0,             0
    117,         9,         9,           170,       160,       180,        0.17,      0.16,        0.18,           0,             0
    118,        10,         9,           190,       180,       200,        0.17,      0.16,        0.18,           0,             0
    121,         1,        10,            10,         0,        20,        0.19,      0.18,         0.2,     84.8046,       10.3045
    122,         2,        10,            30,        20,        40,        0.19,      0.18,         0.2,      361.03,       24.0108
    123,         3,        10,            50,        40,        60,        0.19,      0.18,         0.2,     586.832,       39.3315
    124,         4,        10,            70,        60,        80,        0.19,      0.18,         0.2,     810.214,       60.7835
    125,         5,        10,            90,        80,       100,        0.19,      0.18,         0.2,     1021.98,       83.3334
    126,         6,        10,           110,       100,       120,        0.19,      0.18,         0.2,     1019.55,       86.3876
    127,         7,        10,           130,       120,       140,        0.19,      0.18,         0.2,     450.586,       73.0284
    128,         8,        10,           150,       140,       160,        0.19,      0.18,         0.2,           0,             0
    129,         9,        10,           170,       160,       180,        0.19,      0.18,         0.2,           0,             0
    130,        10,        10,           190,       180,       200,        0.19,      0.18,         0.2,           0,             0
    133,         1,        11,            10,         0,        20,        0.21,       0.2,        0.22,     43.3121,       5.16711
