# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 1.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-49.167,-50.000,-48.333,0.260,0.198
2,-47.500,-48.333,-46.667,6.736,2.356
3,-45.833,-46.667,-45.000,45.080,4.724
4,-44.167,-45.000,-43.333,131.480,9.469
5,-42.500,-43.333,-41.667,170.337,10.442
6,-40.833,-41.667,-40.000,185.716,11.155
7,-39.167,-40.000,-38.333,247.567,14.218
8,-37.500,-38.333,-36.667,298.066,15.584
9,-35.833,-36.667,-35.000,368.585,18.538
10,-34.167,-35.000,-33.333,405.054,19.724
11,-32.500,-33.333,-31.667,475.001,22.006
12,-30.833,-31.667,-30.000,530.576,24.681
13,-29.167,-30.000,-28.333,563.512,24.709
14,-27.500,-28.333,-26.667,514.430,22.077
15,-25.833,-26.667,-25.000,570.444,23.957
16,-24.167,-25.000,-23.333,515.450,21.912
17,-22.500,-23.333,-21.667,536.055,21.083
18,-20.833,-21.667,-20.000,564.803,22.457
19,-19.167,-20.000,-18.333,526.343,20.329
20,-17.500,-18.333,-16.667,526.356,18.915
21,-15.833,-16.667,-15.000,522.846,17.896
22,-14.167,-15.000,-13.333,548.682,20.063
23,-12.500,-13.333,-11.667,532.884,17.899
24,-10.833,-11.667,-10.000,513.239,16.418
25,-9.167,-10.000,-8.333,521.014,16.161
26,-7.500,-8.333,-6.667,500.103,14.825
27,-5.833,-6.667,-5.000,474.392,13.905
28,-4.167,-5.000,-3.333,487.015,13.248
29,-2.500,-3.333,-1.667,475.382,12.579
30,-0.833,-1.667,0.000,455.792,11.489
31,0.833,0.000,1.667,436.779,10.755
32,2.500,1.667,3.333,435.271,10.211
33,4.167,3.333,5.000,410.348,9.008
34,5.833,5.000,6.667,405.347,8.630
35,7.500,6.667,8.333,383.725,7.670
36,9.167,8.333,10.000,370.995,7.403
37,10.833,10.000,11.667,346.468,6.516
38,12.500,11.667,13.333,341.864,6.147
39,14.167,13.333,15.000,330.280,5.726
40,15.833,15.000,16.667,316.435,5.318
41,17.500,16.667,18.333,294.766,4.745
42,19.167,18.333,20.000,300.838,4.699
43,20.833,20.000,21.667,275.897,4.214
44,22.500,21.667,23.333,267.200,3.946
45,24.167,23.333,25.000,236.925,3.625
46,25.833,25.000,26.667,207.260,3.271
47,27.500,26.667,28.333,171.744,2.856
48,29.167,28.333,30.000,146.930,2.618
49,30.833,30.000,31.667,117.751,2.290
50,32.500,31.667,33.333,89.056,1.923
51,34.167,33.333,35.000,68.350,1.630
52,35.833,35.000,36.667,47.510,1.322
53,37.500,36.667,38.333,29.011,1.005
54,39.167,38.333,40.000,13.858,0.665
55,40.833,40.000,41.667,2.366,0.254
56,42.500,41.667,43.333,0.045,0.030
57,44.167,43.333,45.000,0.000,0.000
58,45.833,45.000,46.667,0.000,0.000
59,47.500,46.667,48.333,0.000,0.000
60,49.167,48.333,50.000,0.000,0.000
