# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss} (vertex)   
# xbins      : 60   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.020 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.010,0.000,0.020,0.000,0.000
2,0.030,0.020,0.040,0.000,0.000
3,0.050,0.040,0.060,0.000,0.000
4,0.070,0.060,0.080,0.000,0.000
5,0.090,0.080,0.100,0.000,0.000
6,0.110,0.100,0.120,0.000,0.000
7,0.130,0.120,0.140,0.000,0.000
8,0.150,0.140,0.160,1.148,0.664
9,0.170,0.160,0.180,23.097,2.432
10,0.190,0.180,0.200,62.398,3.191
11,0.210,0.200,0.220,105.289,3.311
12,0.230,0.220,0.240,138.545,3.018
13,0.250,0.240,0.260,156.517,2.598
14,0.270,0.260,0.280,150.153,2.100
15,0.290,0.280,0.300,133.397,1.661
16,0.310,0.300,0.320,109.510,1.278
17,0.330,0.320,0.340,85.615,0.962
18,0.350,0.340,0.360,67.538,0.735
19,0.370,0.360,0.380,53.297,0.566
20,0.390,0.380,0.400,43.335,0.446
21,0.410,0.400,0.420,34.227,0.347
22,0.430,0.420,0.440,27.509,0.273
23,0.450,0.440,0.460,22.048,0.218
24,0.470,0.460,0.480,17.773,0.175
25,0.490,0.480,0.500,11.072,0.125
26,0.510,0.500,0.520,0.000,0.000
27,0.530,0.520,0.540,0.000,0.000
28,0.550,0.540,0.560,0.000,0.000
29,0.570,0.560,0.580,0.000,0.000
30,0.590,0.580,0.600,0.000,0.000
31,0.610,0.600,0.620,0.000,0.000
32,0.630,0.620,0.640,0.000,0.000
33,0.650,0.640,0.660,0.000,0.000
34,0.670,0.660,0.680,0.000,0.000
35,0.690,0.680,0.700,0.000,0.000
36,0.710,0.700,0.720,0.000,0.000
37,0.730,0.720,0.740,0.000,0.000
38,0.750,0.740,0.760,0.000,0.000
39,0.770,0.760,0.780,0.000,0.000
40,0.790,0.780,0.800,0.000,0.000
41,0.810,0.800,0.820,0.000,0.000
42,0.830,0.820,0.840,0.000,0.000
43,0.850,0.840,0.860,0.000,0.000
44,0.870,0.860,0.880,0.000,0.000
45,0.890,0.880,0.900,0.000,0.000
46,0.910,0.900,0.920,0.000,0.000
47,0.930,0.920,0.940,0.000,0.000
48,0.950,0.940,0.960,0.000,0.000
49,0.970,0.960,0.980,0.000,0.000
50,0.990,0.980,1.000,0.000,0.000
51,1.010,1.000,1.020,0.000,0.000
52,1.030,1.020,1.040,0.000,0.000
53,1.050,1.040,1.060,0.000,0.000
54,1.070,1.060,1.080,0.000,0.000
55,1.090,1.080,1.100,0.000,0.000
56,1.110,1.100,1.120,0.000,0.000
57,1.130,1.120,1.140,0.000,0.000
58,1.150,1.140,1.160,0.000,0.000
59,1.170,1.160,1.180,0.000,0.000
60,1.190,1.180,1.200,0.000,0.000
