# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Ztar Difference   
# xbins      : 60   
# xlabel     :  z-Target Difference [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.425,0.075
2,-9.500,-9.667,-9.333,0.417,0.069
3,-9.167,-9.333,-9.000,0.401,0.065
4,-8.833,-9.000,-8.667,0.489,0.079
5,-8.500,-8.667,-8.333,0.747,0.121
6,-8.167,-8.333,-8.000,1.021,0.191
7,-7.833,-8.000,-7.667,1.081,0.151
8,-7.500,-7.667,-7.333,1.570,0.210
9,-7.167,-7.333,-7.000,1.299,0.189
10,-6.833,-7.000,-6.667,2.137,0.335
11,-6.500,-6.667,-6.333,3.063,0.376
12,-6.167,-6.333,-6.000,3.743,0.504
13,-5.833,-6.000,-5.667,4.138,0.456
14,-5.500,-5.667,-5.333,5.567,0.569
15,-5.167,-5.333,-5.000,5.893,0.546
16,-4.833,-5.000,-4.667,8.373,0.784
17,-4.500,-4.667,-4.333,11.849,0.805
18,-4.167,-4.333,-4.000,13.636,0.886
19,-3.833,-4.000,-3.667,16.818,1.046
20,-3.500,-3.667,-3.333,19.882,1.131
21,-3.167,-3.333,-3.000,24.878,1.068
22,-2.833,-3.000,-2.667,29.867,1.187
23,-2.500,-2.667,-2.333,39.351,1.335
24,-2.167,-2.333,-2.000,44.672,1.395
25,-1.833,-2.000,-1.667,53.842,1.482
26,-1.500,-1.667,-1.333,64.016,1.728
27,-1.167,-1.333,-1.000,68.729,1.587
28,-0.833,-1.000,-0.667,74.484,1.588
29,-0.500,-0.667,-0.333,80.817,1.740
30,-0.167,-0.333,0.000,78.636,1.715
31,0.167,0.000,0.333,77.225,1.722
32,0.500,0.333,0.667,72.931,1.639
33,0.833,0.667,1.000,68.878,1.662
34,1.167,1.000,1.333,59.612,1.459
35,1.500,1.333,1.667,55.540,1.542
36,1.833,1.667,2.000,44.021,1.398
37,2.167,2.000,2.333,37.196,1.250
38,2.500,2.333,2.667,33.286,1.355
39,2.833,2.667,3.000,24.929,1.104
40,3.167,3.000,3.333,21.178,1.133
41,3.500,3.333,3.667,15.992,0.933
42,3.833,3.667,4.000,12.897,0.863
43,4.167,4.000,4.333,9.971,0.724
44,4.500,4.333,4.667,8.879,0.727
45,4.833,4.667,5.000,6.718,0.666
46,5.167,5.000,5.333,5.841,0.602
47,5.500,5.333,5.667,4.256,0.579
48,5.833,5.667,6.000,3.451,0.547
49,6.167,6.000,6.333,3.734,0.592
50,6.500,6.333,6.667,2.258,0.348
51,6.833,6.667,7.000,1.952,0.336
52,7.167,7.000,7.333,1.563,0.369
53,7.500,7.333,7.667,0.904,0.211
54,7.833,7.667,8.000,1.121,0.309
55,8.167,8.000,8.333,0.598,0.150
56,8.500,8.333,8.667,0.549,0.192
57,8.833,8.667,9.000,1.138,0.333
58,9.167,9.000,9.333,0.586,0.165
59,9.500,9.333,9.667,0.285,0.094
60,9.833,9.667,10.000,0.218,0.068
