# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Ein (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     10.9971,       2.48336
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     10.9971,       1.00634
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     10.9965,       0.57558
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     10.9972,       0.43253
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     10.9971,      0.382079
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     10.9971,      0.378067
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     10.9974,      0.397481
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,     10.9972,      0.439973
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,     10.9973,      0.688972
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,      10.995,       1.69148
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     10.9964,      0.363236
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     10.9968,      0.214513
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     10.9969,      0.206075
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     10.9972,      0.223601
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     10.9972,      0.248374
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,     10.9972,      0.275954
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,     10.9973,      0.324317
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,     10.9973,       0.63492
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     10.9939,      0.886858
