# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 50   
# xlabel     :  nuclear missing energ (punch-thru + coll)y, E_{m} [GeV]   
# xbin_width : 0.005 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.045,0.004,0.004
2,-0.043,-0.045,-0.040,0.000,0.000
3,-0.038,-0.040,-0.035,0.000,0.000
4,-0.033,-0.035,-0.030,0.000,0.000
5,-0.028,-0.030,-0.025,0.000,0.000
6,-0.023,-0.025,-0.020,0.000,0.000
7,-0.018,-0.020,-0.015,0.029,0.029
8,-0.013,-0.015,-0.010,0.000,0.000
9,-0.008,-0.010,-0.005,0.015,0.012
10,-0.003,-0.005,0.000,0.003,0.003
11,0.002,0.000,0.005,0.000,0.000
12,0.007,0.005,0.010,0.003,0.002
13,0.012,0.010,0.015,0.001,0.001
14,0.018,0.015,0.020,0.000,0.000
15,0.022,0.020,0.025,0.002,0.002
16,0.027,0.025,0.030,0.006,0.006
17,0.033,0.030,0.035,0.003,0.003
18,0.037,0.035,0.040,0.243,0.120
19,0.042,0.040,0.045,0.097,0.097
20,0.048,0.045,0.050,0.177,0.163
21,0.052,0.050,0.055,1.845,1.619
22,0.057,0.055,0.060,0.337,0.325
23,0.062,0.060,0.065,1.781,1.755
24,0.068,0.065,0.070,121.858,121.006
25,0.072,0.070,0.075,1.330,0.845
26,0.077,0.075,0.080,1.009,0.982
27,0.083,0.080,0.085,13.902,12.260
28,0.088,0.085,0.090,3.794,3.247
29,0.092,0.090,0.095,6.303,6.209
30,0.097,0.095,0.100,7.164,4.165
31,0.102,0.100,0.105,3.641,1.973
32,0.107,0.105,0.110,34.456,23.874
33,0.113,0.110,0.115,15.969,9.108
34,0.118,0.115,0.120,22.726,22.269
35,0.122,0.120,0.125,64.983,58.995
36,0.128,0.125,0.130,20.331,19.436
37,0.133,0.130,0.135,14.942,9.105
38,0.138,0.135,0.140,10.882,7.773
39,0.143,0.140,0.145,0.370,0.284
40,0.148,0.145,0.150,7.058,6.270
41,0.153,0.150,0.155,3.712,2.157
42,0.158,0.155,0.160,0.730,0.430
43,0.162,0.160,0.165,4.924,3.094
44,0.167,0.165,0.170,0.631,0.388
45,0.172,0.170,0.175,5.182,4.859
46,0.177,0.175,0.180,3.188,2.132
47,0.182,0.180,0.185,58.790,54.362
48,0.188,0.185,0.190,0.169,0.160
49,0.193,0.190,0.195,0.483,0.332
50,0.198,0.195,0.200,17.891,13.352
