# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.000,0.000
9,-0.043,-0.044,-0.042,0.000,0.000
10,-0.041,-0.042,-0.040,0.000,0.000
11,-0.039,-0.040,-0.038,0.000,0.000
12,-0.037,-0.038,-0.036,0.000,0.000
13,-0.035,-0.036,-0.034,0.000,0.000
14,-0.033,-0.034,-0.032,0.000,0.000
15,-0.031,-0.032,-0.030,0.000,0.000
16,-0.029,-0.030,-0.028,0.000,0.000
17,-0.027,-0.028,-0.026,0.001,0.001
18,-0.025,-0.026,-0.024,0.061,0.025
19,-0.023,-0.024,-0.022,1.758,0.145
20,-0.021,-0.022,-0.020,8.601,0.353
21,-0.019,-0.020,-0.018,24.647,0.693
22,-0.017,-0.018,-0.016,56.636,1.410
23,-0.015,-0.016,-0.014,117.345,2.970
24,-0.013,-0.014,-0.012,256.995,7.013
25,-0.011,-0.012,-0.010,635.708,19.304
26,-0.009,-0.010,-0.008,1746.382,73.489
27,-0.007,-0.008,-0.006,5319.062,240.325
28,-0.005,-0.006,-0.004,13850.582,575.155
29,-0.003,-0.004,-0.002,44253.242,1725.246
30,-0.001,-0.002,0.000,99508.180,3160.213
31,0.001,0.000,0.002,177920.891,4507.345
32,0.003,0.002,0.004,222920.625,4949.473
33,0.005,0.004,0.006,245732.453,5002.073
34,0.007,0.006,0.008,221326.359,4478.409
35,0.009,0.008,0.010,154453.484,3329.106
36,0.011,0.010,0.012,91819.766,2097.251
37,0.013,0.012,0.014,41888.852,990.696
38,0.015,0.014,0.016,18194.648,459.327
39,0.017,0.016,0.018,7714.241,180.783
40,0.019,0.018,0.020,3137.480,71.062
41,0.021,0.020,0.022,1370.451,29.811
42,0.023,0.022,0.024,686.199,12.091
43,0.025,0.024,0.026,377.274,5.176
44,0.027,0.026,0.028,259.403,3.008
45,0.029,0.028,0.030,197.780,2.233
46,0.031,0.030,0.032,146.411,1.754
47,0.033,0.032,0.034,101.670,1.349
48,0.035,0.034,0.036,65.283,0.979
49,0.037,0.036,0.038,34.598,0.639
50,0.039,0.038,0.040,13.757,0.365
51,0.041,0.040,0.042,2.476,0.135
52,0.043,0.042,0.044,0.113,0.026
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
