# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.833 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-24.583,-25.000,-24.167,2.342,1.603
2,-23.750,-24.167,-23.333,9.184,6.374
3,-22.917,-23.333,-22.500,20.762,7.038
4,-22.083,-22.500,-21.667,126.310,55.244
5,-21.250,-21.667,-20.833,292.926,152.164
6,-20.417,-20.833,-20.000,274.305,86.221
7,-19.583,-20.000,-19.167,1288.970,309.253
8,-18.750,-19.167,-18.333,1862.014,373.333
9,-17.917,-18.333,-17.500,1850.676,372.978
10,-17.083,-17.500,-16.667,3271.325,564.449
11,-16.250,-16.667,-15.833,5680.292,774.309
12,-15.417,-15.833,-15.000,4408.165,555.728
13,-14.583,-15.000,-14.167,7460.747,832.202
14,-13.750,-14.167,-13.333,8437.927,864.757
15,-12.917,-13.333,-12.500,11121.462,1030.031
16,-12.083,-12.500,-11.667,15333.726,1340.605
17,-11.250,-11.667,-10.833,17385.611,1469.197
18,-10.417,-10.833,-10.000,16903.807,1367.163
19,-9.583,-10.000,-9.167,22053.707,1565.961
20,-8.750,-9.167,-8.333,28867.170,1746.438
21,-7.917,-8.333,-7.500,31507.895,1741.405
22,-7.083,-7.500,-6.667,34745.980,1860.171
23,-6.250,-6.667,-5.833,46641.969,2233.304
24,-5.417,-5.833,-5.000,53883.602,2409.519
25,-4.583,-5.000,-4.167,59974.770,2414.978
26,-3.750,-4.167,-3.333,73890.844,2748.427
27,-2.917,-3.333,-2.500,81192.242,2807.738
28,-2.083,-2.500,-1.667,87527.938,2907.094
29,-1.250,-1.667,-0.833,84830.227,2680.212
30,-0.417,-0.833,0.000,88449.875,2865.519
31,0.417,0.000,0.833,85380.344,2686.148
32,1.250,0.833,1.667,76873.312,2550.620
33,2.083,1.667,2.500,66856.266,2357.486
34,2.917,2.500,3.333,58219.332,2116.742
35,3.750,3.333,4.167,45450.750,1871.681
36,4.583,4.167,5.000,36347.562,1553.214
37,5.417,5.000,5.833,33362.207,1606.978
38,6.250,5.833,6.667,28195.223,1372.494
39,7.083,6.667,7.500,21982.328,1188.550
40,7.917,7.500,8.333,19356.986,1105.354
41,8.750,8.333,9.167,17155.781,993.226
42,9.583,9.167,10.000,13928.064,917.243
43,10.417,10.000,10.833,11584.940,811.866
44,11.250,10.833,11.667,11235.918,774.657
45,12.083,11.667,12.500,8454.041,675.697
46,12.917,12.500,13.333,6755.243,580.000
47,13.750,13.333,14.167,6142.661,605.856
48,14.583,14.167,15.000,4714.252,537.188
49,15.417,15.000,15.833,3748.285,489.743
50,16.250,15.833,16.667,3022.870,449.498
51,17.083,16.667,17.500,2333.027,377.201
52,17.917,17.500,18.333,1515.546,315.123
53,18.750,18.333,19.167,920.431,221.556
54,19.583,19.167,20.000,720.226,170.178
55,20.417,20.000,20.833,400.591,129.215
56,21.250,20.833,21.667,78.382,29.215
57,22.083,21.667,22.500,101.656,75.051
58,22.917,22.500,23.333,0.000,0.000
59,23.750,23.333,24.167,0.000,0.000
60,24.583,24.167,25.000,0.000,0.000
