# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.039,0.032
9,-0.029,-0.029,-0.028,1.209,0.749
10,-0.027,-0.028,-0.027,3.992,1.667
11,-0.026,-0.027,-0.025,7.131,2.303
12,-0.025,-0.025,-0.024,23.834,6.989
13,-0.023,-0.024,-0.023,59.332,14.331
14,-0.022,-0.023,-0.021,142.068,25.026
15,-0.021,-0.021,-0.020,193.244,35.923
16,-0.019,-0.020,-0.019,377.252,54.392
17,-0.018,-0.019,-0.017,580.303,73.569
18,-0.017,-0.017,-0.016,1083.177,112.547
19,-0.015,-0.016,-0.015,1550.582,153.373
20,-0.014,-0.015,-0.013,2242.973,195.685
21,-0.013,-0.013,-0.012,4086.584,283.318
22,-0.011,-0.012,-0.011,6267.353,445.258
23,-0.010,-0.011,-0.009,8245.618,498.322
24,-0.009,-0.009,-0.008,12036.866,613.368
25,-0.007,-0.008,-0.007,18719.061,850.115
26,-0.006,-0.007,-0.005,33067.684,1286.240
27,-0.005,-0.005,-0.004,56556.000,1902.746
28,-0.003,-0.004,-0.003,98062.969,2743.680
29,-0.002,-0.003,-0.001,147681.031,3458.148
30,-0.001,-0.001,0.000,180005.781,3904.322
31,0.001,0.000,0.001,180366.031,4025.746
32,0.002,0.001,0.003,158497.359,3901.743
33,0.003,0.003,0.004,113245.367,3374.325
34,0.005,0.004,0.005,84808.461,3027.910
35,0.006,0.005,0.007,59771.195,2624.884
36,0.007,0.007,0.008,48256.852,2352.090
37,0.009,0.008,0.009,30193.127,1724.013
38,0.010,0.009,0.011,26032.344,1627.587
39,0.011,0.011,0.012,22861.561,1668.940
40,0.013,0.012,0.013,17383.570,1367.089
41,0.014,0.013,0.015,12909.152,1156.895
42,0.015,0.015,0.016,8817.737,929.196
43,0.017,0.016,0.017,5761.599,652.987
44,0.018,0.017,0.019,4332.258,475.911
45,0.019,0.019,0.020,3512.969,532.918
46,0.021,0.020,0.021,2484.570,437.876
47,0.022,0.021,0.023,1909.724,386.421
48,0.023,0.023,0.024,941.666,200.813
49,0.025,0.024,0.025,624.519,148.728
50,0.026,0.025,0.027,374.716,141.955
51,0.027,0.027,0.028,22.743,7.695
52,0.029,0.028,0.029,7.404,6.334
53,0.030,0.029,0.031,0.742,0.729
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
