# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,   0.0359353,    0.00544496
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,   0.0455243,    0.00277109
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,   0.0474221,    0.00177393
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,   0.0484029,    0.00146291
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,   0.0455327,    0.00140676
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,   0.0438373,    0.00151708
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,    0.041351,    0.00164771
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,    0.042262,    0.00201576
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,   0.0408136,    0.00353858
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,    0.104171,     0.0101045
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,    0.110962,    0.00237282
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,    0.109058,    0.00150411
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,    0.104653,    0.00163036
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,    0.102683,    0.00216273
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,    0.100423,    0.00304041
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,   0.0953048,    0.00484614
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,   0.0901014,    0.00808024
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,   0.0852987,     0.0200893
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     0.19243,     0.0088293
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,    0.190721,     0.0020005
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,    0.185677,    0.00180604
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,    0.184682,    0.00249208
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,    0.183632,    0.00405409
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,    0.177558,     0.0102794
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,    0.167946,      0.079831
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,           0,             0
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,    0.275519,    0.00621695
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,    0.269406,    0.00210193
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     0.26898,    0.00243502
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,    0.271825,    0.00335728
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,    0.266931,    0.00788205
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     0.25105,     0.0616023
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,           0,             0
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,    0.354787,      0.005396
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,    0.350425,    0.00257008
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,    0.354514,    0.00330253
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,    0.356729,    0.00506456
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,    0.342489,     0.0213735
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,           0,             0
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,    0.432651,    0.00652847
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,     0.43074,    0.00383843
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,    0.436367,    0.00477271
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,     0.43199,    0.00838168
