# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,383.383,90.488
10,-0.972,-0.984,-0.960,176.516,53.594
11,-0.948,-0.960,-0.936,245.709,79.492
12,-0.924,-0.936,-0.912,169.453,56.099
13,-0.900,-0.912,-0.888,60.618,27.713
14,-0.876,-0.888,-0.864,182.784,53.779
15,-0.852,-0.864,-0.840,196.393,64.159
16,-0.828,-0.840,-0.816,120.289,59.239
17,-0.804,-0.816,-0.792,247.823,83.269
18,-0.780,-0.792,-0.768,97.339,53.861
19,-0.756,-0.768,-0.744,138.636,38.844
20,-0.732,-0.744,-0.720,189.958,67.957
21,-0.708,-0.720,-0.696,135.949,38.470
22,-0.684,-0.696,-0.672,219.674,52.750
23,-0.660,-0.672,-0.648,124.346,43.933
24,-0.636,-0.648,-0.624,102.382,32.596
25,-0.612,-0.624,-0.600,197.548,58.807
26,-0.588,-0.600,-0.576,167.346,51.199
27,-0.564,-0.576,-0.552,290.181,83.959
28,-0.540,-0.552,-0.528,139.497,40.821
29,-0.516,-0.528,-0.504,277.074,73.165
30,-0.492,-0.504,-0.480,276.476,87.024
31,-0.468,-0.480,-0.456,430.108,110.630
32,-0.444,-0.456,-0.432,161.335,42.662
33,-0.420,-0.432,-0.408,265.360,57.509
34,-0.396,-0.408,-0.384,247.788,50.743
35,-0.372,-0.384,-0.360,319.836,76.561
36,-0.348,-0.360,-0.336,388.326,92.260
37,-0.324,-0.336,-0.312,471.539,99.564
38,-0.300,-0.312,-0.288,371.321,84.608
39,-0.276,-0.288,-0.264,502.579,87.910
40,-0.252,-0.264,-0.240,392.625,80.621
41,-0.228,-0.240,-0.216,381.937,67.385
42,-0.204,-0.216,-0.192,540.061,85.986
43,-0.180,-0.192,-0.168,727.657,116.353
44,-0.156,-0.168,-0.144,549.608,84.477
45,-0.132,-0.144,-0.120,764.831,115.286
46,-0.108,-0.120,-0.096,784.647,104.974
47,-0.084,-0.096,-0.072,815.058,105.913
48,-0.060,-0.072,-0.048,734.371,94.232
49,-0.036,-0.048,-0.024,947.658,119.801
50,-0.012,-0.024,0.000,998.507,122.393
51,0.012,0.000,0.024,881.772,109.708
52,0.036,0.024,0.048,1010.712,122.740
53,0.060,0.048,0.072,1093.768,130.262
54,0.084,0.072,0.096,978.781,98.948
55,0.108,0.096,0.120,1330.648,134.044
56,0.132,0.120,0.144,1459.066,146.605
57,0.156,0.144,0.168,1097.930,106.065
58,0.180,0.168,0.192,1401.336,135.438
59,0.204,0.192,0.216,1635.420,144.079
60,0.228,0.216,0.240,1412.439,130.822
61,0.252,0.240,0.264,1217.638,108.744
62,0.276,0.264,0.288,1486.391,143.629
63,0.300,0.288,0.312,1356.609,108.499
64,0.324,0.312,0.336,1943.490,175.337
65,0.348,0.336,0.360,1489.991,129.438
66,0.372,0.360,0.384,1588.191,142.694
67,0.396,0.384,0.408,1757.507,157.520
68,0.420,0.408,0.432,1649.103,138.640
69,0.444,0.432,0.456,1457.399,127.659
70,0.468,0.456,0.480,1335.460,108.644
71,0.492,0.480,0.504,1478.050,126.349
72,0.516,0.504,0.528,1685.791,146.906
73,0.540,0.528,0.552,1697.063,141.454
74,0.564,0.552,0.576,1679.607,150.385
75,0.588,0.576,0.600,1638.990,130.948
76,0.612,0.600,0.624,1617.589,134.115
77,0.636,0.624,0.648,1680.153,152.400
78,0.660,0.648,0.672,1593.077,147.488
79,0.684,0.672,0.696,1448.421,128.581
80,0.708,0.696,0.720,1627.608,137.274
81,0.732,0.720,0.744,1703.996,146.596
82,0.756,0.744,0.768,1362.832,121.150
83,0.780,0.768,0.792,1790.548,159.350
84,0.804,0.792,0.816,1444.117,116.584
85,0.828,0.816,0.840,1427.813,121.453
86,0.852,0.840,0.864,1800.169,153.501
87,0.876,0.864,0.888,1796.676,139.668
88,0.900,0.888,0.912,1967.494,150.489
89,0.924,0.912,0.936,2453.677,185.404
90,0.948,0.936,0.960,2632.865,175.018
91,0.972,0.960,0.984,3507.030,208.043
92,0.996,0.984,1.008,5558.559,250.835
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
