# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y_{tar}   
# xbins      : 60   
# xlabel     :  Y_{tar} [cm]   
# xbin_width : 0.067 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.967,-2.000,-1.933,0.600,0.232
2,-1.900,-1.933,-1.867,0.664,0.273
3,-1.833,-1.867,-1.800,15.990,8.627
4,-1.767,-1.800,-1.733,31.211,25.683
5,-1.700,-1.733,-1.667,27.003,22.973
6,-1.633,-1.667,-1.600,61.147,31.609
7,-1.567,-1.600,-1.533,89.541,23.102
8,-1.500,-1.533,-1.467,175.766,40.880
9,-1.433,-1.467,-1.400,419.664,65.127
10,-1.367,-1.400,-1.333,799.601,94.379
11,-1.300,-1.333,-1.267,926.380,91.063
12,-1.233,-1.267,-1.200,1244.828,108.464
13,-1.167,-1.200,-1.133,1375.525,112.150
14,-1.100,-1.133,-1.067,1365.263,110.758
15,-1.033,-1.067,-1.000,1320.792,112.446
16,-0.967,-1.000,-0.933,1151.666,110.438
17,-0.900,-0.933,-0.867,1296.164,122.552
18,-0.833,-0.867,-0.800,1089.918,97.181
19,-0.767,-0.800,-0.733,903.570,90.740
20,-0.700,-0.733,-0.667,982.120,100.617
21,-0.633,-0.667,-0.600,900.860,105.883
22,-0.567,-0.600,-0.533,715.778,81.251
23,-0.500,-0.533,-0.467,783.491,80.951
24,-0.433,-0.467,-0.400,1090.405,113.563
25,-0.367,-0.400,-0.333,1029.690,105.591
26,-0.300,-0.333,-0.267,963.168,93.584
27,-0.233,-0.267,-0.200,843.472,96.934
28,-0.167,-0.200,-0.133,1101.930,110.372
29,-0.100,-0.133,-0.067,950.112,93.996
30,-0.033,-0.067,0.000,981.723,85.197
31,0.033,0.000,0.067,898.117,91.871
32,0.100,0.067,0.133,1165.175,110.146
33,0.167,0.133,0.200,1134.843,104.910
34,0.233,0.200,0.267,1319.927,124.437
35,0.300,0.267,0.333,1195.759,111.435
36,0.367,0.333,0.400,1504.870,124.063
37,0.433,0.400,0.467,1399.254,118.139
38,0.500,0.467,0.533,1466.926,122.299
39,0.567,0.533,0.600,1712.690,126.996
40,0.633,0.600,0.667,1913.792,150.108
41,0.700,0.667,0.733,1922.180,144.219
42,0.767,0.733,0.800,2368.232,166.956
43,0.833,0.800,0.867,3000.933,201.680
44,0.900,0.867,0.933,3258.845,207.157
45,0.967,0.933,1.000,3781.942,230.440
46,1.033,1.000,1.067,4825.425,267.177
47,1.100,1.067,1.133,4940.001,268.492
48,1.167,1.133,1.200,5261.863,282.665
49,1.233,1.200,1.267,4710.932,257.929
50,1.300,1.267,1.333,4780.103,279.032
51,1.367,1.333,1.400,3379.842,246.857
52,1.433,1.400,1.467,2687.925,227.621
53,1.500,1.467,1.533,1576.295,168.213
54,1.567,1.533,1.600,1062.672,140.493
55,1.633,1.600,1.667,784.684,115.276
56,1.700,1.667,1.733,399.852,83.865
57,1.767,1.733,1.800,355.531,73.616
58,1.833,1.800,1.867,153.088,57.865
59,1.900,1.867,1.933,176.431,77.761
60,1.967,1.933,2.000,59.918,18.617
