# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 1.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-49.167,-50.000,-48.333,0.043,0.033
2,-47.500,-48.333,-46.667,12.403,11.806
3,-45.833,-46.667,-45.000,26.099,7.416
4,-44.167,-45.000,-43.333,103.111,24.899
5,-42.500,-43.333,-41.667,192.742,38.343
6,-40.833,-41.667,-40.000,271.704,61.115
7,-39.167,-40.000,-38.333,313.771,58.109
8,-37.500,-38.333,-36.667,286.176,45.053
9,-35.833,-36.667,-35.000,514.778,91.915
10,-34.167,-35.000,-33.333,377.561,53.852
11,-32.500,-33.333,-31.667,408.948,55.424
12,-30.833,-31.667,-30.000,466.307,63.214
13,-29.167,-30.000,-28.333,625.776,80.854
14,-27.500,-28.333,-26.667,738.547,102.364
15,-25.833,-26.667,-25.000,811.661,98.860
16,-24.167,-25.000,-23.333,612.916,76.231
17,-22.500,-23.333,-21.667,835.182,100.318
18,-20.833,-21.667,-20.000,888.558,92.759
19,-19.167,-20.000,-18.333,912.545,102.683
20,-17.500,-18.333,-16.667,955.250,109.947
21,-15.833,-16.667,-15.000,956.150,98.195
22,-14.167,-15.000,-13.333,1138.991,111.175
23,-12.500,-13.333,-11.667,1377.059,139.228
24,-10.833,-11.667,-10.000,1462.946,148.081
25,-9.167,-10.000,-8.333,1404.990,136.751
26,-7.500,-8.333,-6.667,1690.287,158.307
27,-5.833,-6.667,-5.000,1789.098,140.652
28,-4.167,-5.000,-3.333,1980.009,177.807
29,-2.500,-3.333,-1.667,1594.430,139.464
30,-0.833,-1.667,0.000,1622.521,139.610
31,0.833,0.000,1.667,2031.960,173.952
32,2.500,1.667,3.333,2060.337,156.833
33,4.167,3.333,5.000,2380.126,194.510
34,5.833,5.000,6.667,2649.840,189.653
35,7.500,6.667,8.333,2323.467,168.589
36,9.167,8.333,10.000,2423.571,183.676
37,10.833,10.000,11.667,2601.835,191.652
38,12.500,11.667,13.333,2616.086,183.602
39,14.167,13.333,15.000,2684.976,181.134
40,15.833,15.000,16.667,2676.540,171.945
41,17.500,16.667,18.333,3024.912,192.032
42,19.167,18.333,20.000,3082.335,194.933
43,20.833,20.000,21.667,3632.604,226.518
44,22.500,21.667,23.333,3381.264,200.108
45,24.167,23.333,25.000,3096.883,197.948
46,25.833,25.000,26.667,3236.867,215.723
47,27.500,26.667,28.333,3122.909,213.531
48,29.167,28.333,30.000,3145.880,206.129
49,30.833,30.000,31.667,2529.680,182.096
50,32.500,31.667,33.333,2174.874,165.433
51,34.167,33.333,35.000,1938.091,167.430
52,35.833,35.000,36.667,1575.473,158.399
53,37.500,36.667,38.333,1323.443,121.200
54,39.167,38.333,40.000,914.863,104.286
55,40.833,40.000,41.667,691.210,110.666
56,42.500,41.667,43.333,384.343,75.463
57,44.167,43.333,45.000,35.246,14.934
58,45.833,45.000,46.667,0.130,0.130
59,47.500,46.667,48.333,0.000,0.000
60,49.167,48.333,50.000,0.000,0.000
