# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.034,0.018
9,-0.029,-0.029,-0.028,0.111,0.034
10,-0.027,-0.028,-0.027,0.221,0.040
11,-0.026,-0.027,-0.025,0.486,0.073
12,-0.025,-0.025,-0.024,0.707,0.079
13,-0.023,-0.024,-0.023,1.102,0.107
14,-0.022,-0.023,-0.021,1.462,0.131
15,-0.021,-0.021,-0.020,1.962,0.150
16,-0.019,-0.020,-0.019,2.968,0.198
17,-0.018,-0.019,-0.017,3.618,0.213
18,-0.017,-0.017,-0.016,4.846,0.262
19,-0.015,-0.016,-0.015,6.386,0.303
20,-0.014,-0.015,-0.013,7.945,0.334
21,-0.013,-0.013,-0.012,10.110,0.374
22,-0.011,-0.012,-0.011,11.752,0.396
23,-0.010,-0.011,-0.009,16.083,0.477
24,-0.009,-0.009,-0.008,19.759,0.513
25,-0.007,-0.008,-0.007,23.289,0.514
26,-0.006,-0.007,-0.005,28.349,0.545
27,-0.005,-0.005,-0.004,37.641,0.593
28,-0.003,-0.004,-0.003,51.485,0.618
29,-0.002,-0.003,-0.001,68.997,0.651
30,-0.001,-0.001,0.000,81.267,0.652
31,0.001,0.000,0.001,79.435,0.623
32,0.002,0.001,0.003,63.555,0.553
33,0.003,0.003,0.004,43.000,0.465
34,0.005,0.004,0.005,28.116,0.387
35,0.006,0.005,0.007,21.245,0.349
36,0.007,0.007,0.008,15.692,0.303
37,0.009,0.008,0.009,12.933,0.273
38,0.010,0.009,0.011,10.407,0.244
39,0.011,0.011,0.012,8.203,0.220
40,0.013,0.012,0.013,6.662,0.195
41,0.014,0.013,0.015,5.602,0.183
42,0.015,0.015,0.016,4.284,0.156
43,0.017,0.016,0.017,3.618,0.151
44,0.018,0.017,0.019,2.620,0.124
45,0.019,0.019,0.020,1.870,0.101
46,0.021,0.020,0.021,1.599,0.098
47,0.022,0.021,0.023,1.139,0.077
48,0.023,0.023,0.024,0.788,0.065
49,0.025,0.024,0.025,0.449,0.048
50,0.026,0.025,0.027,0.269,0.040
51,0.027,0.027,0.028,0.125,0.027
52,0.029,0.028,0.029,0.028,0.019
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
