# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,0.075,0.017
2,-0.174,-0.183,-0.166,0.091,0.019
3,-0.158,-0.166,-0.149,0.138,0.023
4,-0.141,-0.149,-0.132,0.099,0.020
5,-0.123,-0.132,-0.115,0.091,0.020
6,-0.107,-0.115,-0.098,0.125,0.022
7,-0.089,-0.098,-0.081,0.096,0.020
8,-0.073,-0.081,-0.064,0.082,0.019
9,-0.055,-0.064,-0.047,0.085,0.020
10,-0.038,-0.047,-0.030,0.024,0.009
11,-0.022,-0.030,-0.013,0.010,0.006
12,-0.005,-0.013,0.004,0.017,0.009
13,0.013,0.004,0.021,0.010,0.007
14,0.030,0.021,0.038,0.019,0.009
15,0.046,0.038,0.055,0.048,0.015
16,0.064,0.055,0.072,0.088,0.020
17,0.081,0.072,0.089,0.123,0.023
18,0.098,0.089,0.106,0.113,0.022
19,0.115,0.106,0.123,0.172,0.028
20,0.132,0.123,0.140,0.220,0.032
21,0.149,0.140,0.157,0.245,0.034
22,0.166,0.157,0.174,0.279,0.037
23,0.182,0.174,0.191,0.446,0.049
24,0.200,0.191,0.208,0.378,0.044
25,0.217,0.208,0.225,0.552,0.055
26,0.234,0.225,0.242,0.622,0.058
27,0.251,0.242,0.259,0.847,0.069
28,0.268,0.259,0.276,0.955,0.074
29,0.285,0.276,0.293,1.167,0.089
30,0.301,0.293,0.310,1.500,0.101
31,0.319,0.310,0.327,1.704,0.111
32,0.336,0.327,0.344,2.111,0.129
33,0.353,0.344,0.361,2.325,0.139
34,0.370,0.361,0.378,3.009,0.164
35,0.387,0.378,0.395,3.379,0.177
36,0.404,0.395,0.412,4.330,0.220
37,0.421,0.412,0.429,5.097,0.245
38,0.438,0.429,0.446,5.782,0.272
39,0.455,0.446,0.463,6.956,0.318
40,0.472,0.463,0.480,8.172,0.374
41,0.489,0.480,0.497,10.391,0.445
42,0.506,0.497,0.514,10.962,0.488
43,0.523,0.514,0.531,14.318,0.601
44,0.540,0.531,0.548,16.623,0.691
45,0.556,0.548,0.565,20.977,0.854
46,0.574,0.565,0.582,30.123,1.181
47,0.591,0.582,0.599,35.841,1.435
48,0.608,0.599,0.616,41.582,1.737
49,0.625,0.616,0.633,56.664,2.219
50,0.642,0.633,0.650,66.281,2.713
51,0.659,0.650,0.667,94.428,3.956
52,0.676,0.667,0.684,115.273,4.832
53,0.693,0.684,0.701,142.508,6.271
54,0.710,0.701,0.718,191.417,8.238
55,0.727,0.718,0.735,255.647,11.648
56,0.744,0.735,0.752,327.845,16.471
57,0.761,0.752,0.769,399.832,19.657
58,0.778,0.769,0.786,495.003,24.174
59,0.795,0.786,0.803,579.084,30.432
60,0.812,0.803,0.820,700.034,36.179
61,0.829,0.820,0.837,608.993,31.791
62,0.846,0.837,0.854,630.424,32.156
63,0.863,0.854,0.871,621.618,31.775
64,0.880,0.871,0.888,544.186,27.807
65,0.897,0.888,0.905,450.245,23.349
66,0.914,0.905,0.922,333.544,16.633
67,0.931,0.922,0.939,274.621,12.804
68,0.948,0.939,0.956,220.470,10.264
69,0.965,0.956,0.973,191.607,8.470
70,0.982,0.973,0.990,128.023,5.588
71,0.999,0.990,1.007,100.260,4.747
72,1.016,1.007,1.024,65.533,3.566
73,1.033,1.024,1.041,43.419,2.745
74,1.050,1.041,1.058,19.557,1.579
75,1.067,1.058,1.075,13.536,1.269
76,1.084,1.075,1.092,4.585,0.637
77,1.101,1.092,1.109,1.809,0.328
78,1.118,1.109,1.126,0.420,0.114
79,1.135,1.126,1.143,0.107,0.055
80,1.152,1.143,1.160,0.000,0.000
81,1.169,1.160,1.177,0.000,0.000
82,1.186,1.177,1.194,0.000,0.000
83,1.203,1.194,1.211,0.000,0.000
84,1.220,1.211,1.228,0.000,0.000
85,1.237,1.228,1.245,0.000,0.000
86,1.254,1.245,1.262,0.000,0.000
87,1.271,1.262,1.279,0.000,0.000
88,1.288,1.279,1.296,0.000,0.000
89,1.304,1.296,1.313,0.000,0.000
90,1.322,1.313,1.330,0.000,0.000
91,1.339,1.330,1.347,0.000,0.000
92,1.356,1.347,1.364,0.000,0.000
93,1.373,1.364,1.381,0.000,0.000
94,1.390,1.381,1.398,0.000,0.000
95,1.407,1.398,1.415,0.000,0.000
96,1.424,1.415,1.432,0.000,0.000
97,1.441,1.432,1.449,0.000,0.000
98,1.458,1.449,1.466,0.000,0.000
99,1.475,1.466,1.483,0.000,0.000
100,1.492,1.483,1.500,0.000,0.000
